player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,瑠璃乃,さやか,慈,缀理,吟子,梢,小铃,花帆,姬芽
GRN5C49P3,67,265588998469236,擦擦者達 永瑠雲,VW65MCVF8,擦擦者達,3,10,10,10,10,10,10,10,10,10
XTY4GG18V,68,265373988443771,こーりん,1BME38BCD,さすさやクラブ,6,10,10,10,10,10,10,10,10,10
L13896J13,69,265085627591388,XLD,MAJT0THVB,归于虚幻后援会,9,10,10,10,10,10,10,10,10,10
FSHR5FP4W,70,265045760156393,Kian,0B4LPDY69,巣〜極楽〜,9,10,10,10,10,10,10,10,10,10
U1IQYBNI5,71,264976232726248,通りすがりの人,BKLW6CR5L,混合三文魚天空!,6,10,10,10,10,10,10,10,10,10
69B4P3TW1,72,264653126571333,ルアルディ,BKLW6CR5L,混合三文魚天空!,9,10,10,10,10,10,10,10,10,10
KBI8MUTYD,73,264454703755164,まけれれ,EYN9H9N16,蓮好好俱樂部,8,10,10,10,10,10,10,10,10,10
JRXUOPXXN,74,264310470582706,ぐんま,49AMYCXCD,ルドベキア,8,10,10,10,10,10,10,10,10,10
NY9X4SWNC,75,264211481879991,くりマロン,BKLW6CR5L,混合三文魚天空!,10,10,10,10,10,10,10,10,10,10
NC6WJYFVX,76,263512207204352,最低だ、僕は,11XTEEEJT,リンクラ料理部,14,10,10,10,10,10,10,10,10,10
KSVQ1ADIM,77,262431240835964,もぐなむ,MAJT0THVB,归于虚幻后援会,3,10,10,10,10,10,10,10,10,10
68S69TGO8,78,262330997099125,ｲﾉｳｴ,RFYKY8DCD,LA.LA.LA,5,10,10,10,10,10,10,10,10,10
AL804BYBX,79,262281579401755,はなぶさ,YE7CX8RNP,能京カバディ部,10,10,10,10,10,10,10,10,10,10
8GYTX89XA,80,262266559219091,久島鴎,FVJFA973A,新蓮天愛好者協會,8,10,10,10,10,10,10,10,10,10
XVMHQZ5Z7,81,262114905782981,タママ,PBRDPWEY1,무라무라회,8,10,10,10,10,10,10,10,10,10
RFP277XPM,82,261976787983633,スガ,11FB0EDDT,スクステ同好会,4,10,10,10,10,10,10,10,10,10
VCYWGAUP5,83,261963478181928,さくのえびふらい,BKLW6CR5L,混合三文魚天空!,11,10,10,10,10,10,10,10,10,10
6VAVCA9BY,84,261806169249838,oinari3,BKLW6CR5L,混合三文魚天空!,10,10,10,10,10,10,10,10,10,10
