player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,瑠璃乃,吟子,花帆,缀理,さやか,梢,小铃,姬芽,慈
TF3P7YXVG,173,418016124557548,擦擦者達　吉吉,VW65MCVF8,擦擦者達,5,10,10,10,10,10,10,10,10,10
YIGSDJFDL,174,417483888553474,月,YCTM6RYDP,金沢おでん同好会,6,10,10,10,10,10,10,10,10,10
NJ5M5IZWU,175,417307542128958,まき,R1RM3X0WV,後方腕組みオタク,3,10,10,10,10,10,10,10,10,10
RV0TDDA7D,176,416724386196579,ブリてっか,BKLW6CR5L,Mix鮭の空!!,5,10,10,10,10,10,10,10,10,10
JAG81QH05,177,415525347532417,たらみ,GXR6C85BT,花帆ちゃん親衛隊,3,10,10,10,10,10,10,10,10,10
2KPFCFVJ0,178,415393304728019,リセット,MAJT0THVB,眩耀夜行,0,10,10,10,10,10,10,10,10,10
HF5CLQ1F8,179,415365151256984,すがぽん,M5LHG6R4T,乙宗動物園,5,10,10,10,10,10,10,10,10,10
CH6EH94XB,180,415061892494171,ばやしこーと,VW65MCVF8,擦擦者達,5,10,10,10,10,10,10,10,10,10
CCQ5QCTL1,181,414900602685259,琥珀,GMEF2K8DL,花咲く泥も好き²,6,10,10,10,10,10,10,10,10,10
8XP3JM3HY,182,414639902599314,リンモリ,YE7CX8RNP,能京カバディ部,2,10,10,10,10,10,10,10,10,10
DLSZMF1HF,183,414613840320331,小牧,11XTEEEJT,リンクラ料理部,9,10,10,10,10,10,10,10,10,10
MTS3N3QJK,184,414022067177230,rifotaku,D5A2EEG7F,わたくしは大丈部,11,10,10,10,10,10,10,10,10,10
KY1DYH45V,185,413817404462126,ate_san,B5V2LNN43,WMW,7,10,10,10,10,10,10,10,10,10
FYK24K9Y1,186,413651314148841,卓球,HBUK6F7CC,乙宗梢なりきり部,5,10,10,10,10,10,10,10,10,10
8E70ID58F,187,413114378189047,あるとす,WN5B7VKPU,きんぴられんこん,7,10,10,10,10,10,10,10,10,10
K7QAEXJLJ,188,412937396083660,のりすけ,49AMYCXCD,ルドベキア,10,10,10,10,10,10,10,10,10,10
LQEN0GFVZ,189,412674303042177,ごろーざ,FVJFA973A,蓮ノ空愛好会,5,10,10,10,10,10,10,10,10,10
CRBY4XCB9,190,412529799214805,全許夫,VW65MCVF8,擦擦者達,7,10,10,10,10,10,10,10,10,10
V578L0R6J,191,411507641609969,mion,AXG81GPMP,蓮ノ空マタギ部,2,10,10,10,10,10,10,10,10,10
LWHJCVJ19,192,411054564109555,小泉コン,FC8NBAJBT,ラー麺二郎金沢店,4,10,10,10,10,10,10,10,10,10
JNM0HFUXA,193,410499090759961,唯,MAJT0THVB,眩耀夜行,2,10,10,10,10,10,10,10,10,10
5W83UKK4H,194,410240516529970,望月,1BME38BCD,さすさやクラブ,13,10,10,10,10,10,10,10,10,10
VVRBWNSVQ,195,409642473986472,かんべえ,WN5B7VKPU,きんぴられんこん,8,10,10,10,10,10,10,10,10,10
CX5BX990E,196,409432077090080,フツ奴,WN5B7VKPU,きんぴられんこん,2,10,10,10,10,10,10,10,10,10
5GUR9X53N,197,409367052790001,すてぽ,2B97MH4YA,同じ話し何回も…,3,10,10,10,10,10,10,10,10,10
EFW2PMAHB,198,408848705593180,くら,VW65MCVF8,擦擦者達,13,10,10,10,10,10,10,10,10,10
45NY6HUBX,199,408804420938743,かいこ,25PMPEMG7,星見製作,2,10,10,10,10,10,10,10,10,10
7Q17H65NQ,200,408780230091708,mitsu,YE7CX8RNP,能京カバディ部,6,10,10,10,10,10,10,10,10,10
7XT268BWG,201,407530656881144,冬はこずめぐ,FVJFA973A,蓮ノ空愛好会,7,10,10,10,10,10,10,10,10,10
VLVZCU5K1,202,407456811984411,ひなつき,B5V2LNN43,WMW,13,10,10,10,10,10,10,10,10,10
IMAK5NFHF,203,407275356810003,よもぎ,YE7CX8RNP,能京カバディ部,11,10,10,10,10,10,10,10,10,10
QTHXHSE6U,204,406818860727496,總想要,EYN9H9N16,蓮星学園,8,10,10,10,10,10,10,10,10,10
LKY79HKFR,205,406563492600135,しらす,FVJFA973A,蓮ノ空愛好会,5,10,10,10,10,10,10,10,10,10
VDNBJFHAE,206,405009489711942,稲妻葵,FVJFA973A,蓮ノ空愛好会,8,10,10,10,10,10,10,10,10,10
BJ2YEFM93,207,404711603438379,テンババア,EYN9H9N16,蓮星学園,3,10,10,10,10,10,10,10,10,10
91HY4FXBS,208,404636208315569,ももこ。,BKLW6CR5L,Mix鮭の空!!,4,10,10,10,10,10,10,10,10,10
64M70NFSR,209,403474973844295,擦擦者達 因幡,VW65MCVF8,擦擦者達,10,10,10,10,10,10,10,10,10,10
RND3BA6Q4,210,403430303030732,あゆ,49AMYCXCD,ルドベキア,7,10,10,10,10,10,10,10,10,10
7VGVR7YBY,211,403357556902764,BANGYOUグ,FVJFA973A,蓮ノ空愛好会,12,10,10,10,10,10,10,10,10,10
845LY9UX1,212,402943604278169,鈴木さつき,WN5B7VKPU,きんぴられんこん,2,10,10,10,10,10,10,10,10,10
8HYVGQUX7,213,399948556810012,まさき,CXG25026E,泥のみんなS,12,10,10,10,10,10,10,10,10,10
H4CWPEX7A,214,399504274454364,カイ,GXR6C85BT,花帆ちゃん親衛隊,6,10,10,10,10,10,10,10,10,10
ONG0YLGRM,215,399282273352679,でぇーき@めぐ党,11FB0EDDT,スクステ同好会,7,10,10,10,10,10,10,10,10,10
TXTPD6OZ9,216,398949369878214,stella,BKLW6CR5L,Mix鮭の空!!,7,10,10,10,10,10,10,10,10,10
4FGPNYMSS,217,398902012114604,てんよし,VW65MCVF8,擦擦者達,8,10,10,10,10,10,10,10,10,10
ROKS5RRX4,218,398689107986601,れんこん,BKLW6CR5L,Mix鮭の空!!,11,10,10,10,10,10,10,10,10,10
49TUEFEKF,219,398540378417890,もふもふまじん再,V6VCA0C4N,ドル家の『D』,12,10,10,10,10,10,10,10,10,10
HGC8Y4QUS,220,396940124589610,もがの,0UT59MJ8U,かほすこ同好会,4,10,10,10,10,10,10,10,10,10
ZHVYQOXPW,221,396647543889044,たかやん,VW65MCVF8,擦擦者達,14,10,10,10,10,10,10,10,10,10
1AZ5EJR7Z,222,395595123565694,Inahime,X7C21B7H7,泥,4,10,10,10,10,10,10,10,10,10
