player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,さやか,小铃,花帆,慈,姬芽,吟子,瑠璃乃,缀理,梢
RV0TDDA7D,ブリてっか,BKLW6CR5L,Mix鮭の空!!,14,110,11739019116998640,10,10,10,10,10,10,10,10,10
R3YC2XYYZ,秋,GPKTRBCTT,騎空団蓮ノ空支部,13,111,11737365372131940,10,10,10,10,10,10,10,10,10
67GP30NUW,yuba,11FB0EDDT,スクステ同好会,11,112,11730314181486920,10,10,10,10,10,10,10,10,10
OYHRPRDN6,トマト先生,YE7CX8RNP,蓮ノ大三十穣角,6,113,11725901663521470,10,10,10,10,10,10,10,10,10
62NPMRQF6,ふく,EYN9H9N16,蓮すきすきクラブ,11,114,11724298429765350,10,10,10,10,10,10,10,10,10
OWS2KA4SW,ごみょ,FVJFA973A,蓮ノ空愛好会,15,115,11721599473938900,10,10,10,10,10,10,10,10,10
M8KSSVGQS,おばすこ,BKLW6CR5L,Mix鮭の空!!,15,116,11714459183611910,10,10,10,10,10,10,10,10,10
XCRX2GAFB,なる,WN5B7VKPU,きんぴられんこん,14,117,11710747444919230,10,10,10,10,10,10,10,10,10
YVGO9EHKS,やたペン,HBM31HMUY,YUKIZURI,15,118,11687054354172190,10,10,10,10,10,10,10,10,10
RND3BA6Q4,あゆ,49AMYCXCD,ルドベキア,15,119,11681580250591160,10,10,10,10,10,10,10,10,10
LKY79HKFR,しらす,FVJFA973A,蓮ノ空愛好会,8,120,11681227232919180,10,10,10,10,10,10,10,10,10
OZHGPXIGS,まるごとみなみ,WN5B7VKPU,きんぴられんこん,14,121,11671668348136940,10,10,10,10,10,10,10,10,10
FN9BYATDE,EVO,11FB0EDDT,スクステ同好会,9,122,11651142098241130,10,10,10,10,10,10,10,10,10
S1JO65QZU,すと。,BKLW6CR5L,Mix鮭の空!!,9,123,11639995886451850,10,10,10,10,10,10,10,10,10
7VGVR7YBY,士道龍聖,FVJFA973A,蓮ノ空愛好会,15,124,11635902352688140,10,10,10,10,10,10,10,10,10
68S69TGO8,ｲﾉｳｴ,RFYKY8DCD,LA.LA.LA,8,125,11635654396188660,10,10,10,10,10,10,10,10,10
JC33CNHML,烈火シャワー,PBRDPWEY1,村村会,14,126,11633056776937210,10,10,10,10,10,10,10,10,10
H4VR0D1DV,そー,WN5B7VKPU,きんぴられんこん,10,127,11620372705820970,10,10,10,10,10,10,10,10,10
NOB5KDBV6,しる220,0UT59MJ8U,かほすこ同好会,15,128,11616472870818490,10,10,10,10,10,10,10,10,10
DP15KUDDM,やゆ,49AMYCXCD,ルドベキア,9,129,11593444439210120,10,10,10,10,10,10,10,10,10
ZX04ZZ2IW,きく,YCTM6RYDP,金沢おでん同好会,14,130,11586679017352290,10,10,10,10,10,10,10,10,10
