player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,姬芽,吟子,小铃,缀理,さやか,瑠璃乃,梢,花帆,慈
JAG81QH05,たらみ,GXR6C85BT,花帆ちゃん親衛隊,10,186,13693337046537390,10,10,10,10,10,10,10,10,10
YHD181KD3,AN@,FVJFA973A,蓮ノ空愛好会,14,187,13691475217028930,10,10,10,10,10,10,10,10,10
JME01B1A1,ハクチュー黄凛,WN5B7VKPU,きんぴられんこん,7,188,13674169761907030,10,10,10,10,10,10,10,10,10
UA5OC8495,zth,NC2YT2V28,蓮之愛同予者何人,15,189,13672193692929920,10,10,10,10,10,10,10,10,10
CPU567Q5P,あいざっく,8M6UDX260,ぽけもん好き,2,190,13667881375067880,10,10,10,10,10,10,10,10,10
5K59F4UVE,ガチャ至上主義,11FB0EDDT,スクステ同好会,15,191,13652651429480770,10,10,10,10,10,10,10,10,10
K7QAEXJLJ,のりすけ,49AMYCXCD,ルドベキア,15,192,13652112460967060,10,10,10,10,10,10,10,10,10
AKMY82517,いずのあいさん,VW65MCVF8,スリスリーズ,15,193,13639917392733840,10,10,10,10,10,10,10,10,10
ALF76WC94,あかつき,RWARTHA1M,乙宗梢大好き部,15,194,13634082166394800,10,10,10,10,10,10,10,10,10
C7IMXOP79,ナーガ,FVJFA973A,蓮ノ空愛好会,0,195,13626649560383920,10,10,10,10,10,10,10,10,10
TRLEB6AD0,ねんねこ,FC8NBAJBT,ラー麺二郎金沢店,15,196,13616256362613250,10,10,10,10,10,10,10,10,10
LWRG7TEM3,嘘っち,25PMPEMG7,星見プロ,1,197,13613153297434310,10,10,10,10,10,10,10,10,10
2288GCGEH,ふへほはひさん,EYN9H9N16,蓮すきすきクラブ,14,198,13595894781615660,10,10,10,10,10,10,10,10,10
ME00V6X4B,オラトニス,BKLW6CR5L,Mix鮭の空!!,15,199,13584333407892560,10,10,10,10,10,10,10,10,10
AT03UHE11,えむ,25PMPEMG7,星見プロ,15,200,13574717783161160,10,10,10,10,10,10,10,10,10
7JNX2DBCM,おぎくぼ,11FB0EDDT,スクステ同好会,11,201,13571461523127580,10,10,10,10,10,10,10,10,10
0DKJN8WXG,ごまッチョ,GXR6C85BT,花帆ちゃん親衛隊,13,202,13571094732396980,10,10,10,10,10,10,10,10,10
