player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,さやか,花帆,慈,小铃,吟子,瑠璃乃,梢,姬芽,缀理
XET9BO87Y,たつなが,HBUK6F7CC,乙宗梢なりきり部,4,1944,6193205138051510,10,10,10,10,10,10,10,10,10
D2T3YFID3,エルダずえ,2UKNVBMBU,梢ちゃん同好会,15,1945,6190609062363302,10,10,10,10,10,10,10,10,10
I2J1HK333,まっちゃ,Y4BKHX868,戒めのひとり旅,15,1946,6185556413893496,10,10,10,10,10,10,10,10,10
TX50ESWA5,かなと,X34LWGL6R,サークル2,4,1947,6179963015562595,8,10,10,8,10,7,10,7,10
1MGWOAM55,やよし,5KK3DFY18,MUGEN∞,13,1948,6177537239306769,10,10,10,10,10,10,10,10,10
BEK8M9CNK,ホオムベエス,X7C21B7H7,泥,3,1949,6177354433328383,8,8,9,9,9,7,10,6,10
DD2659JY7,氷狐,26JDLMBLN,徒町は強く生きる,4,1950,6177175740256724,8,9,10,9,9,7,10,6,10
E0H7KX5F4,ひこ,HBUK6F7CC,乙宗梢なりきり部,5,1951,6172066721047378,10,10,10,10,10,10,10,10,10
69QF5HPR0,雪徒,3BE2RELRC,見晴台,3,1952,6169243942128898,10,10,10,10,10,10,10,10,10
JBEMPA78R,あなた,494DMR1RJ,蓮ノ空推し活部,15,1953,6168297700180760,6,8,10,10,8,10,8,7,10
FU9G7NGUM,ツーベルク,XE8513HNP,喫茶カワウ空✨,0,1954,6164142591778438,10,10,10,10,10,10,10,10,10
ACX7610VH,へき,YVV9CMBLW,東京公演で沼落ち,2,1955,6162829542866821,10,10,10,10,10,10,10,10,10
KYH3BUB2R,青緑色,NG47YWRR1,繚乱！蓮ノ空,15,1956,6161481624831155,10,10,10,10,10,10,10,10,10
FD300VZ84,首先我不是白河豚,X19MP0NTT,蓮之空河豚养殖場,4,1957,6159065161099811,10,10,10,10,10,10,10,10,10
0KVSYEBVN,ちろまる,KW0RM1LEP,はすっこくらぶ,4,1958,6158403664105111,10,10,10,9,10,9,10,9,10
T8FWD5RRL,あおい,4XRHRYDW4,無言でエンジョイ,7,1959,6153932738838745,10,10,10,10,10,10,10,10,10
C2YJKTP3L,りょう,9UKKACGDU,蓮っ子CLUB,8,1960,6153375028345784,10,10,10,10,10,10,10,10,10
MDS3JLIP9,マヤしゃま,WX1DYC9Y1,ラナンキュラス,12,1961,6152610399357562,7,9,10,10,9,10,8,9,10
U5GTP9WG6,たびせみ,8JMW9G2XW,僕らのリンクラ！,15,1962,6152253966102275,8,9,10,10,10,8,10,10,10
L7ZAVOJ1R,葉月,2DYYAPFVN,蓮っ子村,8,1963,6147895473782200,9,8,9,10,9,9,8,9,10
4Y728RDJH,miyamiya,JVUNVCT8P,梢先輩のASMR,2,1964,6146320799989377,10,10,10,10,10,10,10,10,10
6HPLQEB8L,まさみ,7LMARTXVN,ご飯特盛肉蟹付き,13,1965,6146171070076863,10,10,10,10,10,10,10,10,10
J0CF7WY7R,おーちゃん,B5V2LNN43,WMW,7,1966,6145690862148167,10,9,10,10,9,10,10,10,10
UG4AE6K33,Eyk,Y6JNPC60C,綴理メイト,4,1967,6143737970883192,10,10,10,10,10,10,10,10,10
KO53RLH0L,あぽし,W26TRPM1R,めぐ党藤島派,6,1968,6139672256455069,10,10,10,10,10,10,10,10,10
Y2Q3U738Q,らきあす,M8FM7P139,蓮ノ空ひとり旅部,9,1969,6137041087408791,10,10,10,10,10,10,10,10,10
E6TYK4KM2,ｼｬｹ,NJBBTCY3A,かにかに！,2,1970,6121219680324726,8,8,8,10,10,6,10,7,10
453CGNJA9,カリウム,EY8YN8J6X,インド蓮ノ空支部,2,1971,6120631616200128,9,9,10,9,9,9,10,9,10
6EX2OW7N5,花咲かじいさん,6045Y2RW7,ポチっと！蓮ノ空,15,1972,6120424498237352,10,10,10,10,10,7,10,9,10
DR984WMXL,ゆいぱな,KW0RM1LEP,はすっこくらぶ,3,1973,6119732899176386,10,10,10,10,10,10,10,10,10
