player_id,player_name,search_guild_key,guild_name,总fanlv,DR数量,rank,point,结算前A RANK,结算前A分数,结算前B RANK,结算前B分数,结算前C RANK,结算前C分数,结算前音游 RANK,结算前音游分数,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
TPEKMFBTH,璃緒,57UT319NN,蓮ノ空同好会,306,0,11994,266855,0,0,0,0,0,0,0,0,2,2,2,3,2,1,3,4,19
V52XI1Q8J,t2,NL1MPRG05,とりあえず,1114,1,11996,266630,0,0,0,0,0,0,2213,102511651,6,6,8,2,5,7,9,10,53
V42GGKBEC,シュン,407VAU0TT,ログボ勢の集い,647,1,11996,266630,9381,133090474,8146,586815734,11551,985922,0,0,4,6,5,9,1,7,1,5,38
UYJ9261FR,kotora,AFELJ5FWF,こたろう,346,0,11998,266540,10318,9311159,8547,244264214,8417,467002097,0,0,5,5,7,1,1,7,5,5,36
ERVPLM347,ITF,8EX9KUG3E,コズエとツヅリ,894,2,11999,266360,0,0,0,0,0,0,2214,102298346,4,4,2,8,5,8,6,7,44
WWM8DECCU,もろうみ,NW3GK4CAD,ウイスキー,852,0,12000,266342,0,0,0,0,0,0,0,0,1,2,7,8,5,8,4,8,43
YJ79KFGCY,南宮那月,AAHB7C276,HaCordVN,348,0,12001,266320,10832,3128498,10403,4402856,11077,1886074,0,0,2,3,1,3,2,1,3,3,18
4YBANYAFP,Kamui,BA3L6N4AE,金沢出身関東在中,964,3,12002,266230,10718,3931117,10679,2815994,10876,2468362,0,0,6,5,5,10,5,7,5,7,50
7Q00KI7OR,もんど,VKNC8VYUB,てすと,847,2,12003,265960,11105,1819123,10288,5105338,10808,2715788,0,0,6,6,2,1,1,5,4,10,35
XB7KAXL1X,なお,XXMU9WLKB,梢の機械さん,380,0,12004,265870,10143,14618062,11035,1776457,11512,1041193,0,0,3,2,1,4,3,1,2,1,17
B8G1VBEK9,O,7D5TKBG45,リ!リ!リ！,260,0,12005,265780,9968,23322284,11784,556215,10663,3249778,0,0,2,3,3,2,1,1,2,1,15
XDV09M43B,どくだみ,3BDTCERX6,打ち返した流れ星,743,2,12006,265730,9200,234363000,8250,465908819,0,0,0,0,1,4,10,2,5,2,1,5,30
B4NFNM5TA,るーふぇ,WAT20PN3Y,こな党,312,0,12007,265550,10764,3623623,9398,28231952,8224,665256023,0,0,3,3,5,4,2,1,4,3,25
V0X9E3X48,ﾊﾞｲﾚｲﾝ,G8F0M2PH2,アフターウォール,796,0,12008,265510,10859,2974987,10742,2539068,10580,3626369,0,0,2,2,1,2,1,1,1,1,11
G5ML563GT,梦水梨子,Y337R7BW9,中国の蓮之空圈子,729,3,12008,265510,11763,565799,9635,16780100,10677,3181363,0,0,6,4,3,6,1,4,1,8,33
OV810QC3H,さんち,BW38LDPRF,蓮浦の星空,960,6,12010,265370,8899,528917018,8843,118122508,9254,49622978,0,0,2,2,2,5,7,7,1,7,33
TT0TGX8RB,でゅっちー,MVMP6NNXD,空き時間らくがき,795,2,12011,265240,10365,8338884,9914,9807019,9528,24347962,0,0,1,1,1,3,1,1,1,3,12
068NE88C8,アムリタ,AGJ215YND,蓮の空中國分校,756,0,12012,265100,8978,452170317,9276,38160051,8783,194144428,0,0,6,4,3,6,4,7,1,6,37
SILA21JL4,フルムーン,GLP0WPDRM,イベント用の泥,577,2,12013,265010,8799,640221757,9974,8803563,9395,33574584,0,0,10,2,1,10,1,5,4,3,36
GMV01X4TX,ひな,NCX28D4VB,Lyric,1077,0,12014,264970,10533,5440381,10764,2477962,10617,3448109,0,0,6,6,6,4,5,7,6,7,47
74PWFMD13,ゆどーふ,18YYNRFGA,LotusSky,913,1,12015,264830,8968,461234013,9473,23804794,8784,194000617,0,0,1,2,2,2,1,1,1,1,11
58KNKGEHN,れんこ,AVX749PPB,姫芽ちゃん親衛隊,513,0,12016,264740,9063,353215795,9795,12254787,8605,312677112,0,0,1,4,7,6,1,8,5,5,37
F30WG09WE,しのぶ,HWMV33W7Y,フラワー泥民館,1325,3,12017,264650,8945,484479244,10774,2452941,8792,187528982,0,0,6,2,2,6,4,5,5,7,37
6A4UFXJXC,おのまぁ,YMKU30246,参加賞がほしい,221,0,12018,264470,10949,2556076,8543,245904206,8467,425196953,0,0,3,3,5,6,2,1,5,7,32
