player_id,player_name,search_guild_key,guild_name,总fanlv,DR数量,rank,point,结算前音游分数,结算前音游 rank,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
23PTP9P8W,すいむ,3PLMXJ3BY,RR軍,966,2,13880,2619553,,,7,6,5,7,7,6,9,7,54
OZ24LHJ5Z,Rui,DULFP3TRN,めぐ党員の部屋,861,2,13881,2618886,,,4,1,8,4,7,4,5,5,38
WVEC13NL7,YUTO,UX96YX4T1,『位置について』,203,0,13882,2615366,,,4,5,2,1,4,2,1,3,22
2WK9W6VCU,SERENO,28XJ8NK4L,蓮ノ空まったり部,1281,10,13883,2614938,,,5,1,7,9,7,7,10,10,56
NCON36QRJ,トガネル,TK9E1BB1P,無言で自由,945,3,13884,2614818,,,8,6,7,8,7,2,10,10,58
MLCJGLANM,えすえすさん,FTY0R8KPH,泥の皆様,1160,10,13885,2614260,221871050.0,1869.0,7,1,4,8,9,2,5,5,41
UKXWMC3GW,クラム,R7VEXFUBP,蓮ノ空応援クラブ,106,0,13886,2613959,31728897.0,2987.0,8,8,7,2,5,4,2,4,40
R45TK7B3P,ゆず,E1HVJ71JR,ご自由にどうぞ,240,0,13887,2613852,,,8,9,6,4,3,5,3,2,40
5GHDUW0XJ,ちゃたまとら,XA0XD41CM,ぼっちぼっち,234,0,13888,2613568,,,7,7,6,8,2,3,7,7,47
9DR8ED6AC,まんゆー,D7UA5ER1E,UR報酬欲しい！,1002,2,13889,2611708,,,8,4,6,9,7,6,9,7,56
84K0P1DTD,とうわ,1UBNNHVLG,蓮箱推し（仮）,964,1,13890,2609593,,,2,4,7,2,2,1,6,3,27
JDCLJ573T,yuki,K3R1XY8UT,自由,789,0,13891,2609490,24078986.0,3141.0,2,6,6,5,1,2,1,7,30
7WPUXD786,メグム,C52VR77BJ,イベント参加用,396,0,13892,2609295,,,6,6,8,7,7,3,1,5,43
364UMT904,湯雲,BTVC9G95X,FES用,750,2,13893,2609227,,,2,1,2,1,1,2,1,1,11
6P325YVH1,かふぇ,T2XRMGEAE,蓮根無言会,687,0,13894,2608077,,,2,8,2,5,1,5,1,9,33
ARAK7T46X,ゆせ。,E7UBFLW56,同好会の同好会,735,2,13895,2607799,,,4,1,4,5,5,6,9,8,42
BN2KM0BJX,tak2311,EHC0RL69H,しらさぎ,208,0,13896,2606022,,,3,6,6,1,7,2,5,9,39
82CBPPX44,胡桃,BBNEWB1UA,蓮ノ空紅茶部,208,0,13897,2605863,,,3,2,2,1,1,2,1,2,14
GWAZYLH77,さなな,57HNJ07NK,みらぱ推活最前列,629,0,13898,2604904,,,8,4,5,8,6,10,5,9,55
EMEAE0LWB,S,31A7JKC69,蓮好きの巣窟,933,0,13899,2602684,,,6,4,4,8,5,5,10,8,50
3D29V5EEW,阿僧祇,1YHDY3DR3,蓮の咲く池,832,0,13900,2601318,,,6,5,6,5,6,7,5,6,46
2VNI0ZA5X,はなよーそろー,712BAU037,じゃんけん同好会,741,0,13901,2601093,,,5,1,6,4,5,4,7,1,33
CWGGMJAIG,Chisa,F2M746D4B,頑張らないクラブ,831,0,13902,2599581,,,5,8,4,1,1,2,4,8,33
N7MHHN7GB,いも,GBEJMUFWT,めぐちゃんズ(仮,727,2,13903,2599564,,,4,1,4,4,5,3,5,8,34
HT7G1W2TW,hozumi,54JWUD9X0,異次元からの者,249,0,13904,2599280,,,3,3,4,1,2,2,1,4,20
9B707WTM6,くま,U8GLCJVJP,コミュ障用誰でも,683,0,13905,2599094,,,6,5,6,5,1,5,6,5,39
9JHRFC1U5,あかあく,XURY539UN,筑波大ラ研,464,0,13906,2598803,,,2,1,3,1,1,1,1,1,11
1YVEBCYMR,木野,JU476V6K9,ポチッ！,700,0,13907,2598540,,,5,1,3,1,1,1,1,1,14
HY6AY91XI,ら！,FH7G62PKW,月火水木金土日,1188,7,13908,2595852,,,2,3,4,7,1,6,9,9,41
MYHV0RX8Y,うえさま,KPUYXN27J,蓮ノ空楽曲派,460,0,13909,2595553,,,2,1,4,2,3,1,1,2,16
YJGI89AE7,ドラゴン,XE8513HNP,喫茶カワウ空✨,604,0,13910,2594663,,,7,1,2,9,1,2,7,1,30
NQDGZNXJG,mrdrdj,PDMPF3VVV,r/LL,917,2,13911,2593557,,,6,5,4,7,8,7,7,10,54
H6GXU6RED,ガースー,48GTYR1VB,ハラショー！,465,0,13912,2593094,,,6,6,7,2,1,5,5,4,36
QKDV7NJVW,まとい,C2XLWUTL1,夕霧綴理親衛隊,842,4,13913,2592984,,,4,1,2,1,1,2,2,2,15
R6E6JMTYK,しゅー*,XYRA2MND0,蓮ノ空ゆっくり,217,0,13914,2591649,,,9,5,4,10,1,6,1,3,39
1B5ADLGE9,三輪88,4YJYLLDHH,めぐ党同好会,881,0,13915,2590594,,,7,6,6,7,6,5,8,8,53
1HO924SJF,ゆっち改,N45AC292K,蓮ノ空帰宅部,1049,3,13916,2590027,,,7,5,6,8,8,1,9,9,53
JHBBZR61I,さやまやか,APD9U5CFA,立ノ空スクステ部,631,1,13917,2589766,,,9,1,7,1,3,1,2,4,28
FTNOTGQ9X,ガシユン,GPKTRBCTT,騎空団蓮ノ空支部,919,0,13918,2589247,,,6,5,6,5,7,6,5,7,47
ATG8GU8FW,スモールさん,YVF1V2AH6,蓮ノ空全共闘,286,0,13919,2588689,,,4,3,2,1,1,1,2,1,15
K4FBNYYN1,みら,DHKUGEWBJ,めぐ党虹ヶ咲支部,189,0,13920,2588613,,,5,9,2,3,7,7,10,4,47
PVCIO22QE,けけさん,H1LTYMK0B,花帆が可愛いの会,869,5,13921,2588406,,,6,1,7,7,4,6,9,9,49
XXTWXKEUP,ぴろ,LETV4C1KG,無言の行,322,0,13922,2588287,,,6,6,8,8,6,7,7,8,56
XEA9J6AL3,いん,E76N52LMW,イベントのみ,369,0,13923,2587937,,,3,2,3,2,2,4,1,7,24
BSG9NCDIN,哈哈,YAD615PCK,蓮を咲かせる泥達,614,0,13924,2586831,,,2,7,2,4,1,1,1,1,19
3YLYSR5IA,ゆうぽよ,E050K9859,蓮党,280,0,13925,2585662,,,2,2,2,1,1,2,2,2,14
JN7YUEYNV,ゆあ,K25DPPGT9,圧倒的にまったり,811,4,13926,2585640,,,10,2,6,2,3,2,10,3,38
KUPEA3THR,ふなし,BXC1T2HY2,初心者の集い,647,0,13927,2585510,,,7,6,8,3,4,4,1,7,40
1KVU1WXMJ,まろん,YADX9DY49,ﾊｽﾉｿﾗｰ,242,0,13928,2585337,17380034.0,3271.0,4,6,2,1,1,1,1,1,17
U0VNG6G9J,月岡杏奈,TX85TKW7A,蓮ノ空女子部,840,2,13929,2583368,16114637.0,3300.0,8,9,6,1,8,7,9,10,58
