player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,花帆,さやか,姬芽,小铃,瑠璃乃,吟子,塞拉斯,泉,季度等级,104季度等级
3Q65ASSTC,ほうがく,YE7CX8RNP,蓮ノ大三十角ex,15,40,16172000,10,10,10,10,10,10,10,10,80,60
LQEN0GFVZ,ごろーざ,WN5B7VKPU,きんぴられんこん,15,41,16150000,10,10,10,10,10,10,10,10,80,60
42J4J5OSG,ハラシヨ,M5LHG6R4T,乙宗動物園,15,42,16085000,10,10,10,10,10,10,10,10,80,60
IEM5ZNZ0W,Xenos,GXR6C85BT,花帆ちゃん親衛隊,9,43,16072000,10,9,10,10,9,10,10,10,78,58
NC6WJYFVX,でら,1BME38BCD,さすさやクラブ,15,44,16037000,10,8,10,9,8,8,7,10,70,53
TUHKRV0IW,ポン,EYN9H9N16,蓮すきすきクラブ,15,45,16020000,10,10,10,10,10,10,10,9,79,60
PLE67URFB,DasserAN,M5LHG6R4T,乙宗動物園,8,46,16015000,10,10,10,10,10,10,10,10,80,60
4F1HIHA3J,きびだんごうどん,11FB0EDDT,スクステ同好会,15,47,15975000,10,9,10,9,10,9,9,10,76,57
KXMPLAX04,うぃーさん,9JTF508LB,スクスタ亡霊部,15,48,15922000,10,10,10,10,10,10,10,10,80,60
8DSWY1SNL,お茶とコーヒー,HBUK6F7CC,乙宗梢なりきり部,15,49,15915000,10,10,10,10,10,10,10,10,80,60
DES39P1DL,ェダ,B5V2LNN43,WMW,14,50,15899000,10,10,10,10,10,10,9,7,76,60
EQOU1ZZS7,ｱﾆｮ~ﾝ,VW65MCVF8,スリスリーズ,15,51,15844000,10,8,10,8,9,9,10,10,74,54
L6HBG7C3L,あまらく@,0TKFF5EG3,サークル名募集中,15,52,15829000,10,9,10,9,9,9,9,10,75,56
HVA8EZJWM,鍋,YCTM6RYDP,金沢おでん同好会,15,53,15815000,10,10,10,10,10,10,10,10,80,60
7Q17H65NQ,mitsu,YE7CX8RNP,蓮ノ大三十角ex,15,54,15812000,10,9,10,9,10,8,10,10,76,56
AJMEJX0KG,こーか,EYN9H9N16,蓮すきすきクラブ,15,55,15772000,10,10,10,10,10,10,10,10,80,60
