player_id,player_name,search_guild_key,guild_name,总fanlv,DR数量,rank,point,音游分数,音游 rank,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
BJ5GY7P3C,チラ,2NY9H8BR9,乙宗紅茶館,1208,7,2379,8115600,,,10,6,6,10,6,8,7,4,57
V4TWVNF3Q,Dice-K,VP0K6KF0K,蓮ノ空大好き!!,1405,19,2380,8115400,,,10,9,10,10,10,8,10,9,76
RK1U34LGB,亀タンク,JDAG79TG7,百合ノ空観察部,1371,16,2381,8114200,,,8,8,10,10,10,8,8,7,69
RWCQ6YE13,おかじゅん,2NY9H8BR9,乙宗紅茶館,1490,4,2382,8113800,,,9,8,10,10,10,9,10,8,74
DKPOAWBV8,Gato,7XH3K4GBT,LLP,1344,19,2383,8113080,,,10,10,10,10,10,10,10,10,80
NDF10E002,ゆかり,Y6JNPC60C,綴理メイト,1393,19,2384,8112600,,,10,10,10,10,10,10,10,10,80
FT0GTRT9V,ちゃんす,HE0GK3EPE,瑞蓮プロカ倶楽部,1149,10,2385,8112000,,,10,10,10,10,8,8,10,10,76
8CAL4FIWC,toshiki,VXF8P7NDC,どんぐり。,1493,15,2386,8111600,,,10,8,9,10,9,8,8,8,70
PW2IZOV8C,メティス,6045Y2RW7,ポチっと！蓮ノ空,1494,15,2387,8110800,,,10,9,10,8,8,6,8,6,65
HXNT169GH,きつかわ橘川,919XF8V2V,蓮之空大三腳,546,0,2388,8110000,,,8,7,7,6,7,4,1,2,42
DFZ2UBN71,瑞河の山賊,Y2R7E79U3,カワウソ同好会,1379,9,2389,8109400,,,10,8,10,10,10,9,10,9,76
C772TTBCE,watt,CX967RTGY,おんゆあさーくる,1349,16,2390,8108353,,,6,6,8,5,6,8,6,6,51
9T81DN43A,特空機1号,,,1019,0,2391,8106600,,,10,8,9,9,10,7,6,5,64
W05AYP371,なっとう,FE282F3VH,天悶部,1271,10,2392,8104200,,,10,6,9,10,9,7,8,7,66
D1CPMDAYW,ヨリック,N8L41JAA7,無言 ノルマなし,613,4,2393,8103018,20674224495.0,951.0,8,9,8,9,5,9,2,3,53
GXWEN5LY0,おまめp,J0N1E3Y09,月火水木金土日,984,1,2394,8101400,,,10,5,10,10,10,10,7,5,67
Y0VPKFMVH,相良茉優,J800VVPTN,Aqours,1252,11,2394,8101400,,,9,4,8,8,10,7,9,3,58
E09RNAVW7,tonkotu,AND13836G,乙宗梢親衛隊,862,0,2396,8101200,,,8,6,7,6,4,5,4,1,41
HWWN7ND5L,宮原修一,CXG25026E,泥のみんなS,1502,12,2397,8099200,,,10,10,10,10,10,10,10,10,80
WZP191BKC,けんたろう,G0J2F9NAL,さやさやさーくる,1516,9,2397,8099200,,,10,9,10,10,10,10,9,10,78
ISDSOLWC3,kenny,B5V2LNN43,WMW,1435,16,2399,8098000,,,10,9,10,10,9,10,7,4,69
AGE6RTXGC,しにふぃあん,,,587,0,2400,8097950,20118524302.0,965.0,10,10,10,10,9,10,10,10,79
XBJNXRJL0,しののめいずの,HWJ8XPW0T,箱推しなのだけど,1259,2,2401,8097600,,,10,7,6,10,8,8,7,6,62
L7ZAVOJ1R,葉月,2DYYAPFVN,蓮っ子村,1372,12,2402,8096400,,,10,7,8,9,9,9,8,7,67
BGYBB4EPE,Glitter,JDAG79TG7,百合ノ空観察部,1478,18,2403,8094600,,,8,10,10,9,9,9,9,7,71
OGQVCONVB,ひめらぎ,9GDHWXGVG,ルリと花咲く毎日,1395,17,2404,8094400,,,10,6,8,9,9,9,7,6,64
