player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,姬芽,花帆,慈,瑠璃乃,小铃,梢,缀理,さやか,吟子,昨天分数,是否出刀,未出刀人数
5THJYPBDP,ルッコラ,NDGW77R2V,こず花帆尊い,5,4186,438688697660314,4,6,5,10,1,5,10,2,7,438688697660314,False,7
1T8SDF9W5,真冬,H6JWBBGCG,蓮天・乙宗一心流,2,4187,437719763803047,10,1,10,3,1,2,9,9,5,342493053480192,True,16
BBJB4658L,ハルひ,YADX9DY49,ﾊｽﾉｿﾗｰ,6,4188,437050714811912,10,5,10,10,4,5,5,8,7,437050714811912,False,16
6HPLQEB8L,まさみ,7LMARTXVN,ご飯特盛肉蟹付き,11,4189,436959082854811,10,10,10,10,6,10,10,10,8,436959082854811,False,4
N1KVXP9P0,ダムド,UEJMMVF33,さやかほ緩々会,2,4190,436887573482333,2,10,10,10,1,10,10,5,7,436887573482333,False,3
TDTYCNO9S,アルコバレーノ,EECF9C0N3,蓮ノ空　茨城分校,0,4191,436886369264928,5,5,9,7,5,8,7,7,5,383997112510038,True,17
BL3A93DCK,KKShiori,4WWM4VVDK,蓮ノ空遊戯開発部,3,4192,436496690384332,6,3,10,3,2,9,9,2,7,436496690384332,False,16
NLH1J5W2D,にゃんこ,D7UA5ER1E,UR報酬欲しい！,0,4193,436308118052373,5,6,8,7,5,7,7,7,5,436308118052373,False,17
KVVW2YL67,トマトマト,JDAUTGR5N,花帆ウサギ,4,4194,436284489371922,10,10,10,10,5,8,10,7,10,353094521891229,True,5
M6T52JPTM,とがみ,LYPVAETHY,金沢の泥,0,4195,435923446166665,6,7,9,8,6,8,7,5,4,435923446166665,False,3
4UVXDTM30,ゴン,KGY709ULG,蓮の花束,0,4196,435381655243351,9,6,9,8,6,10,7,6,8,435381655243351,False,5
FSEH1ZGCC,ケイ,3FF3NB77X,せーはす愛好会,5,4197,434594811116818,5,6,10,10,4,6,7,6,5,434594811116818,False,13
2L1KMNGWU,薄荷,VLY5JDKCV,新規なのだけれど,0,4198,433560697754999,8,9,10,8,8,10,10,10,9,353808613634726,True,13
XUPBY395A,ぐちお,NMFBD39FM,蓮ノ空分室,6,4199,433181615456746,7,10,7,10,7,8,9,7,5,433181615456746,False,4
8PHVNYF0V,TA2,88DJ300PJ,めぐ党,0,4200,433148090291916,9,10,10,10,9,10,10,8,9,433148090291916,False,16
YGULHQHOJ,乃亜,95TAREFPT,ご自由にどうぞ,8,4201,433125585012678,7,9,9,9,6,10,9,9,7,433125585012678,False,21
YUUGQ6S6D,わかめとうふ,W3YKKRWHG,ルリと愉快な一家,4,4202,433062233132690,7,7,9,8,6,7,8,7,6,433062233132690,False,17
GXWEN5LY0,おまめp,J0N1E3Y09,月火水木金土日,1,4203,432373711233732,10,9,10,10,2,10,10,4,8,432373711233732,False,11
7J6C9ISNR,つくし,D7H8MN2U4,LLD,0,4204,432147446360733,5,6,7,6,5,6,5,4,4,432147446360733,False,21
18T943KO7,ポケっス,BT22M41DV,梢花帆吟子同好会,3,4205,431933537509428,7,8,9,9,8,8,9,9,8,349137309695321,True,13
UDO57A1F2,としあき,E76N52LMW,イベントのみ,3,4206,431672731849553,8,8,10,10,4,9,9,8,7,349916916626158,True,12
68NUMPMT7,G,YAD615PCK,蓮を咲かせる泥達,0,4207,431346515611124,7,7,10,3,5,6,6,6,5,431346515611124,False,14
7LZR2T26G,ぬまんちゅ,ABU58EVJ2,Quatuor,2,4208,431151935331839,10,7,10,10,5,7,8,7,5,431151935331839,False,20
EL6A1RE23,とみブレイク,5VCRU63W0,まっちみん,2,4209,430628818439059,7,7,10,10,8,6,9,8,8,400029301622099,True,1
Q2PK79FU5,銀色彗星,0XUV5025C,めぐめぐバブり隊,4,4210,430448016485389,7,6,10,10,7,7,7,5,7,430448016485389,False,9
M9CYN1PH9,角,XEENRBXCG,蓮ノ空休日クラブ,0,4211,430258301568168,6,7,10,8,7,9,10,9,7,430258301568168,False,15
V2AU5HAB1,三日月,NJBBTCY3A,かにかに！,13,4212,430128565008851,10,10,10,10,10,10,10,10,10,333427729394311,True,14
TM3G93TJ3,ヒナ,XLBU65J86,花の壁飾りクラブ,2,4213,429863959349619,10,7,9,10,6,5,10,4,9,429863959349619,False,19
8G1AY3XVY,フミー,22L92M15M,煌めく君と今を,6,4214,428777364386671,9,10,10,10,9,10,9,10,10,428777364386671,False,1
J4MCX1VK1,SDIAFOOT,N7GLY2RUW,百生銀行,8,4215,428376515278298,4,5,10,9,7,9,10,7,8,428376515278298,False,18
WWMNP9RZY,SASUKE,427WENUC4,心の癒し～蓮ノ空,2,4216,428165753710981,3,9,10,6,2,6,5,7,6,341470296462787,True,18
