player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,吟子,姬芽,缀理,瑠璃乃,梢,慈,小铃,花帆,さやか,季度等级
3YUU56XK2,ヤヤカルメ,AXG81GPMP,蓮ノ空マタギ部,0,2748,320954737389834,6,7,9,4,8,9,5,7,7,62
U0B63PU5M,ゆゆ,7R8NKPAB1,花帆推し倶楽部,0,2749,320571086546087,5,5,8,7,7,10,4,7,7,60
93Y6AAGB1,ユーロン,ELTW62751,安全バーは君の腕,2,2750,320520187355214,5,6,8,8,8,9,5,6,8,63
XO322P711,あち,B647MRPHR,壁の民女学院,13,2751,320221674163677,10,10,10,10,10,10,10,10,10,90
TVH6NVA7T,うさっちゃ,V830CTTX3,日野下後輩,5,2752,319913276934633,10,10,10,10,9,9,4,5,8,75
THH3KM7M7,ヒララ,LLDLG20UU,UR取り隊,1,2753,319812303863905,10,10,10,10,10,10,10,10,10,90
1PAP1H6LD,ろさ,1VPK1PKFW,すりすりの森,0,2754,319696384713101,7,8,4,8,1,9,4,6,4,51
V33DZ3IDJ,はっしー,6H800PBV7,新鮮館,2,2755,319637254101177,7,6,9,8,8,8,5,9,10,70
S0YIWRVSN,くにP,KXU941RFJ,梢先輩おめでとう,4,2756,319601245049014,4,5,6,6,5,8,4,6,6,50
91GN71K59,はばねろ,4URND90YY,参加賞狙い,2,2757,319565853490166,8,8,10,8,8,9,8,8,8,75
772T154U3,ハナムスビ,CXG25026E,泥のみんなS,3,2758,319521447300548,9,4,10,7,9,10,2,10,4,65
KNQ2IUHFM,ハムP,PDMPF3VVV,r/LL,2,2759,319370022809239,5,6,8,4,7,7,5,9,7,58
CTZDFU6ZO,ねこあゆ,07JW71HWG,良いチケで観よう,12,2760,319152772422174,5,6,9,7,9,9,4,8,8,65
DHTBGUFMD,増えたうさぎ,RF5215M2U,スクステ同好会②,0,2761,319068264727006,6,7,7,5,7,8,5,7,8,60
H6EGM5RKT,ドルド,5W8RPRVUA,ド！ド！泥！,4,2762,318950447234481,5,7,8,9,8,8,6,8,5,64
1U3IE6OEV,よすよす,V26546K3D,乙宗気合筋肉,10,2763,318740241621119,7,7,10,8,8,8,7,7,6,68
A2BDXAYKY,はいせ,7U20138DB,LGP,6,2764,318621626276492,6,5,9,7,7,8,6,7,8,63
IKIWLVB1B,フィリア,WE4AB37FP,めぐ党,5,2765,318580523598319,6,4,9,6,8,7,9,9,8,66
U0B2Z02K0,サトシ,DKNHY5HH6,なす料理研究会,0,2766,318463955257473,7,9,10,7,10,9,7,9,9,77
L1A0V6WAV,nico,F2M746D4B,頑張らないクラブ,2,2767,318310149374116,4,7,10,6,5,8,8,9,6,63
FT7V0M8BB,ベガ,GKR9TEBYC,毎日がホリデイ♪,4,2768,317950726187904,4,6,10,6,8,10,5,8,8,65
27JFRY8KM,Via,UVK38MFR2,蓮の虚無サー,1,2769,317790558184605,7,4,2,7,9,9,1,10,7,56
VL5H09GYG,台湾からのはんだ,GVY1F8C9D,花咲くラブライ部,12,2770,317487208046179,7,8,9,5,7,8,6,9,9,68
46A5H4H1W,ML173,YFADYJVW4,FPS好きクラブ,7,2771,317045668586295,6,4,8,3,10,4,6,8,5,54
997M8C4GV,い,48N7HVJH8,KER,1,2772,317037332450325,5,6,9,6,7,9,4,9,4,59
KJU1E14PH,ゆううう,GN9EEL045,きらくに,6,2773,317012479762588,8,9,7,8,8,8,7,8,8,71
Z0M1QY50D,ぺろすけ,0VP15L48C,ハスラー,5,2774,316872576476507,10,10,10,10,10,10,9,10,10,89
