player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,さやか,梢,缀理,吟子,慈,姬芽,花帆,瑠璃乃,小铃
TA02490KL,ホシノヒツギ,J800VVPTN,Aqours,8,110,5476899072701977,10,10,10,10,10,10,10,10,10
S1JO65QZU,すと。,BKLW6CR5L,Mix鮭の空!!,9,111,5474290491980092,10,10,10,10,10,10,10,10,10
V578L0R6J,mion,AXG81GPMP,蓮ノ空マタギ部,12,112,5473966061961137,10,10,10,10,10,10,10,10,10
IEBYCC1D7,わらび餅,RFYKY8DCD,LA.LA.LA,14,113,5469433284971990,10,10,10,10,10,10,10,10,10
62NPMRQF6,ふく,EYN9H9N16,蓮すきすきクラブ,9,114,5458859223559698,10,10,10,10,10,10,10,10,10
C7IMXOP79,ナーガ,FVJFA973A,蓮ノ空愛好会,0,115,5451414665455191,10,10,10,10,10,10,10,10,10
84U35FCIX,じゃじゃ,YCTM6RYDP,金沢おでん同好会,10,116,5451240866257028,10,10,10,10,10,10,10,10,10
IZUFEEX2U,アルメ,EYN9H9N16,蓮すきすきクラブ,15,117,5446613882609816,10,10,10,10,10,10,10,10,10
XCRX2GAFB,なる,WN5B7VKPU,きんぴられんこん,12,118,5440097036620910,10,10,10,10,10,10,10,10,10
U587LWLVX,asagi,RWARTHA1M,乙宗梢大好き部,4,119,5439133168032417,10,10,10,10,10,10,10,10,10
0Y3QCF38L,ギンッカ,M5LHG6R4T,乙宗動物園,7,120,5436796561444333,10,10,10,10,10,10,10,10,10
SM59T811D,Case,RWARTHA1M,乙宗梢大好き部,7,121,5426617408099588,10,10,10,10,10,10,10,10,10
4W6BIX284,リリィ♡,FK5MUK0ET,くる♡すきクラブ,15,122,5419837395897167,10,10,10,10,10,10,10,10,10
BJI9H7CC6,エイジ,PBRDPWEY1,村村会,12,123,5412261800588431,10,10,10,10,10,10,10,10,10
8EB0GXWX1,みむ。,EYN9H9N16,蓮すきすきクラブ,4,124,5404813458944316,10,10,10,10,10,10,10,10,10
MNV5KYXG7,六天,GXR6C85BT,花帆ちゃん親衛隊,9,125,5381990181640357,10,10,10,10,10,10,10,10,10
8OJ4K93MD,コロ,HBUK6F7CC,乙宗梢なりきり部,11,126,5380623087152699,10,10,10,10,10,10,10,10,10
10NAV71GP,あばば,NC2YT2V28,蓮之愛同予者何人,4,127,5379869406401018,10,10,10,10,10,10,10,10,10
FM1GCQSEE,Goona,NC2YT2V28,蓮之愛同予者何人,13,128,5375818913286112,10,10,10,10,10,10,10,10,10
CW1IJ4VQU,ALOMA,YE7CX8RNP,蓮ノ大三十角,3,129,5372574418335928,10,10,10,10,10,10,10,10,10
EFW2PMAHB,くら,YCTM6RYDP,金沢おでん同好会,15,130,5351191277633815,10,10,10,10,10,10,10,10,10
G9KY68ADP,よっしー,JE7V5MM31,蓮ノ沼に沈んだ泥,0,131,5343300761342278,10,10,10,10,10,10,10,10,10
OOC27PRN6,リリィ,DH6C5B7WF,蓮ノ空FC,1,132,5343253155523549,10,10,10,10,10,10,10,10,10
4KFUM6ADN,ねくすと,M5LHG6R4T,乙宗動物園,15,133,5340680115059722,10,10,10,10,10,10,10,10,10
15LURYMC1,ベルトーニ,FVJFA973A,蓮ノ空愛好会,15,134,5339374912529835,10,10,10,10,10,10,10,10,10
KY1DYH45V,ate_san,B5V2LNN43,WMW,15,135,5339131254777707,10,10,10,10,10,10,10,10,10
FSJBKEC6U,レアコイル,YE7CX8RNP,蓮ノ大三十角,7,136,5332389982756491,10,10,10,10,10,10,10,10,10
EEODMO0PN,kazami,VW65MCVF8,スリスリーズ,6,137,5332127016734432,10,10,10,10,10,10,10,10,10
CAH984HAW,タピエンル,VW65MCVF8,スリスリーズ,14,138,5326021079522495,10,10,10,10,10,10,10,10,10
KWNXKNY6X,ぷいにゅー,49AMYCXCD,ルドベキア,15,139,5309347331002075,10,10,10,10,10,10,10,10,10
F587HPJPF,神崎蘭子,KND3T7056,ぽかぽかモガの村,15,140,5308239483298855,10,10,10,10,10,10,10,10,10
6PNANEUV0,なの,WN5B7VKPU,きんぴられんこん,10,141,5307895896090040,10,10,10,10,10,10,10,10,10
845LY9UX1,鈴木さつき,WN5B7VKPU,きんぴられんこん,4,142,5296280584938172,9,10,10,9,10,10,9,10,9
KYXUCDX5P,米豆梨（みどり）,9YM3DBTB7,泥民館,2,143,5293101619249069,10,10,10,10,10,10,10,10,10
J4NN3D06A,斯波,FVJFA973A,蓮ノ空愛好会,15,144,5289223031120369,10,10,10,10,10,10,10,10,10
7PLTVA4SD,どんきちうどん,M5LHG6R4T,乙宗動物園,4,145,5287414086625298,10,10,10,10,10,10,10,10,10
DPQ6HPBXJ,黒い秋,49AMYCXCD,ルドベキア,4,146,5270663869799326,10,10,10,10,10,10,10,10,10
22F9H0NK0,かじみん,JTX1G19BP,さやかほ癒し会,15,147,5270407302664124,10,10,10,10,10,10,10,10,10
P8RB3BEJ1,Parare,6XX7GBM0K,ぷちぐる同好会,0,148,5266533293161438,10,10,10,10,10,10,10,10,10
1VM9SAJVY,ユデジロウ,FVJFA973A,蓮ノ空愛好会,11,149,5261091520641184,10,10,10,10,10,10,10,10,10
DEVDG82YE,全方位ジョーくん,N0EXH1CM1,ぱちぱち徒町,8,150,5257847298524807,10,10,10,10,10,10,10,10,10
RGE7T0KWP,なーるる,49AMYCXCD,ルドベキア,6,151,5257477016714147,10,10,10,10,10,10,10,10,10
IEM5ZNZ0W,Xenos,GXR6C85BT,花帆ちゃん親衛隊,6,152,5252582106772065,10,10,10,10,10,10,10,10,10
IMAK5NFHF,よもぎ,YE7CX8RNP,蓮ノ大三十角,13,153,5245905518587128,10,10,10,10,10,10,10,10,10
8XP3JM3HY,コイキング,YE7CX8RNP,蓮ノ大三十角,13,154,5245802613997673,10,10,10,10,10,10,10,10,10
935BA0WHY,にむ,11FB0EDDT,スクステ同好会,15,155,5243865751670951,10,10,10,10,10,10,10,10,10
7TAQGMS8W,ゆる,PBRDPWEY1,村村会,15,156,5234440854409333,10,10,10,10,10,10,10,10,10
PJYEBRURT,しょーじ,CTW8DKV5P,まったり,11,157,5211064602436908,10,10,10,10,10,10,10,10,10
5GUR9X53N,すてぽ,2B97MH4YA,同じ話し何回も…,7,158,5210256934575170,10,10,10,10,10,10,10,10,10
LDLTRQ88V,しらたま,YCTM6RYDP,金沢おでん同好会,15,159,5210207341280249,10,10,10,10,10,10,10,10,10
XTY4GG18V,こーりん,1BME38BCD,さすさやクラブ,14,160,5209785351258840,10,10,10,10,10,10,10,10,10
LEEU9JZFJ,きりんちゃん,49AMYCXCD,ルドベキア,13,161,5198501024736250,10,10,10,10,10,10,10,10,10
8KGF3M6WJ,ことねの,EYN9H9N16,蓮すきすきクラブ,14,162,5195903227021382,10,10,10,10,10,10,10,10,10
RFP277XPM,スガ,11FB0EDDT,スクステ同好会,15,163,5191624342056403,10,10,10,10,10,10,10,10,10
70NE2637U,りふいっと,BKLW6CR5L,Mix鮭の空!!,3,164,5186001874574799,10,10,10,10,10,10,10,10,10
W4E0R6NA9,そらをとぶ,BKLW6CR5L,Mix鮭の空!!,15,165,5185062481580771,10,10,10,10,10,10,10,10,10
FRTXRTHK1,コルド,49AMYCXCD,ルドベキア,13,166,5176282838163027,10,10,10,10,10,10,10,10,10
5T57VL8MF,柳田specⅡ,PBRDPWEY1,村村会,10,167,5171747717700762,10,10,10,10,10,10,10,10,10
DZ3B41G7E,お茶組織,CX967RTGY,おんゆあさーくる,8,168,5155916349862565,10,10,10,10,10,10,10,10,10
VX6FL3EOS,ミミル,EYEPHE14G,花上梢頭,15,169,5149039581354076,10,10,10,10,10,10,10,10,10
OYT13N3KM,ハノン,G59NGM0XA,シュリーレン,12,170,5134711216836442,10,10,10,10,10,10,10,10,10
NT480V79A,ゆざくら,PBRDPWEY1,村村会,12,171,5133487997867552,10,10,10,10,10,10,10,10,10
J9E2BXTUR,そーや,YE7CX8RNP,蓮ノ大三十角,10,172,5132978511444035,10,10,10,10,10,10,10,10,10
LKY79HKFR,シラス柳田リリエ,FVJFA973A,蓮ノ空愛好会,7,173,5132638610247896,10,10,10,10,10,10,10,10,10
4F1HIHA3J,きびだんごうどん,11FB0EDDT,スクステ同好会,10,174,5131430523110784,10,10,10,10,10,10,10,10,10
THT84VUB7,オム,8M6UDX260,ぽけもん好き,4,175,5118770995608763,10,10,10,10,10,10,10,10,10
ZAHTN08A4,まいにち,WTJV514G9,蓮ノ空のお弁当屋,10,176,5113138066626597,10,10,10,10,10,10,10,10,10
7L6LDY5MT,handaeun,YE7CX8RNP,蓮ノ大三十角,15,177,5103377468471169,10,10,10,10,10,10,10,10,10
AMV02DEFM,望月杏奈,FK5MUK0ET,くる♡すきクラブ,9,178,5101560332512435,10,10,10,10,10,10,10,10,10
VVRBWNSVQ,かんべえ,WN5B7VKPU,きんぴられんこん,15,179,5098987783731275,10,10,10,10,10,10,10,10,10
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,15,180,5098983854806138,10,10,10,10,10,10,10,10,10
76L1SWWX0,カプ・デカホ,GXR6C85BT,花帆ちゃん親衛隊,14,181,5098950716036382,10,10,10,10,10,10,10,10,10
XEDYAEF7D,waito,PBRDPWEY1,村村会,2,182,5097136322943482,10,10,10,10,10,10,10,10,10
68S69TGO8,ｲﾉｳｴ,RFYKY8DCD,LA.LA.LA,8,183,5094317841194790,10,10,10,10,10,10,10,10,10
TRLEB6AD0,ねんねこ,FC8NBAJBT,ラー麺二郎金沢店,15,184,5093355592237312,10,10,10,10,10,10,10,10,10
OWS2KA4SW,ごみょ,FVJFA973A,蓮ノ空愛好会,14,185,5090841912465536,10,10,10,10,10,10,10,10,10
Y2LLTQ4MF,Lautrum,M5LHG6R4T,乙宗動物園,15,186,5074023131009108,10,10,10,10,10,10,10,10,10
8DSWY1SNL,お茶とコーヒー,HBUK6F7CC,乙宗梢なりきり部,15,187,5071486937078968,10,10,10,10,10,10,10,10,10
8E70ID58F,あるとす,WN5B7VKPU,きんぴられんこん,15,188,5065993723621394,10,10,10,10,10,10,10,10,10
F8BJC61BY,全力幼_女,3HDDYR4FU,旅人,10,189,5064063024086894,10,10,10,10,10,10,10,10,10
EU76L0TJ7,とまき,EYN9H9N16,蓮すきすきクラブ,8,190,5054736520112060,10,10,10,10,10,10,10,10,10
CRBY4XCB9,すべゆるお,VW65MCVF8,スリスリーズ,12,191,5047941694864109,10,10,10,10,10,10,10,10,10
E0JO659QD,ソン,11XTEEEJT,リンクラ料理部,13,192,5041457704074704,10,10,10,10,10,10,10,10,10
DCU9XHY3U,しばひめ,YE7CX8RNP,蓮ノ大三十角,7,193,5037510515752564,10,10,10,10,10,10,10,10,10
H827FHG5T,つな,FC8NBAJBT,ラー麺二郎金沢店,15,194,5032549454878971,10,10,10,10,10,10,10,10,10
8ZJCO1B8D,149*2³,VW65MCVF8,スリスリーズ,6,195,5031817015149405,10,10,10,10,10,10,10,10,10
49TUEFEKF,もふもふまじん終,V6VCA0C4N,ドル家の『D』,13,196,5027988068229779,10,10,10,10,10,10,10,10,10
4YTEQDE04,せなねの,EYN9H9N16,蓮すきすきクラブ,12,197,5009954609475067,10,10,10,10,10,10,10,10,10
6B9EETA7A,かっぴ,11FB0EDDT,スクステ同好会,4,198,4998651998110052,10,10,10,10,10,10,10,10,10
1FO8RWDNB,☀︎,YE7CX8RNP,蓮ノ大三十角,12,199,4996334539948560,10,10,10,10,10,10,10,10,10
L71LEGR49,かんなぎ,3BDTCERX6,打ち返した流れ星,13,200,4996234867265811,10,10,10,10,10,10,10,10,10
IN27C39RY,スス,9YM3DBTB7,泥民館,14,201,4992608501928393,10,10,10,10,10,10,10,10,10
GRN5C49P3,みらくりえーるん,VW65MCVF8,スリスリーズ,15,202,4987237167569045,10,10,10,10,10,10,10,10,10
