player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,慈,さやか,瑠璃乃,小铃,吟子,梢,花帆,缀理,姬芽
MNV5KYXG7,六天,GXR6C85BT,花帆ちゃん親衛隊,9,120,4159730397842171,10,10,10,10,10,10,10,10,10
84U35FCIX,じゃじゃ,YCTM6RYDP,金沢おでん同好会,10,121,4159503008116809,10,10,10,10,10,10,10,10,10
8OJ4K93MD,コロ,HBUK6F7CC,乙宗梢なりきり部,11,122,4147277852409151,10,10,10,10,10,10,10,10,10
10NAV71GP,あばば,NC2YT2V28,蓮之愛同予者何人,4,123,4143976462356204,10,10,10,10,10,10,10,10,10
DPQ6HPBXJ,黒い秋,49AMYCXCD,ルドベキア,4,124,4116679269646301,10,10,10,10,10,10,10,10,10
EEODMO0PN,kazami,VW65MCVF8,スリスリーズ,6,125,4115551396365780,10,10,10,10,10,10,10,10,10
BJI9H7CC6,エイジ,PBRDPWEY1,村村会,12,126,4114838133514509,10,10,10,10,10,10,10,10,10
15LURYMC1,ベルトーニ,FVJFA973A,蓮ノ空愛好会,15,127,4113475032243239,10,10,10,10,10,10,10,10,10
SDS1BUPY2,にる,11XTEEEJT,リンクラ料理部,5,128,4112335083639035,10,10,10,10,10,10,10,10,10
CW1IJ4VQU,ALOMA,YE7CX8RNP,蓮ノ大三十角,3,129,4109848787982984,10,10,10,10,10,10,10,10,10
TA02490KL,ホシノヒツギ,J800VVPTN,Aqours,8,130,4097693128833050,10,10,10,10,10,10,10,10,10
SM59T811D,Case,RWARTHA1M,乙宗梢大好き部,7,131,4096631381430390,10,10,10,10,10,10,10,10,10
IEM5ZNZ0W,Xenos,GXR6C85BT,花帆ちゃん親衛隊,6,132,4089878125574596,10,10,10,10,10,10,10,10,10
EFW2PMAHB,くら,YCTM6RYDP,金沢おでん同好会,15,133,4089242388054788,10,10,10,10,10,10,10,10,10
XCRX2GAFB,なる,WN5B7VKPU,きんぴられんこん,12,134,4088125189115802,10,10,10,10,10,10,10,10,10
DEVDG82YE,全方位ジョーくん,N0EXH1CM1,ぱちぱち徒町,8,135,4087012497995448,10,10,10,10,10,10,10,10,10
6PNANEUV0,なの,WN5B7VKPU,きんぴられんこん,10,136,4086043566996746,10,10,10,10,10,10,10,10,10
FM1GCQSEE,Goona,NC2YT2V28,蓮之愛同予者何人,13,137,4084342259716479,10,10,10,10,10,10,10,10,10
F8BJC61BY,全力幼_女,3HDDYR4FU,旅人,10,138,4083829273605822,10,10,10,10,10,10,10,10,10
RGE7T0KWP,なーるる,49AMYCXCD,ルドベキア,6,139,4082557135633871,10,10,10,10,10,10,10,10,10
J4NN3D06A,斯波,FVJFA973A,蓮ノ空愛好会,15,140,4082538292312971,10,10,10,10,10,10,10,10,10
CAH984HAW,タピエンル,VW65MCVF8,スリスリーズ,14,141,4082082421241816,10,10,10,10,10,10,10,10,10
G9KY68ADP,よっしー,JE7V5MM31,蓮ノ沼に沈んだ泥,0,142,4080359029767931,10,10,10,10,10,10,10,10,10
OOC27PRN6,リリィ,DH6C5B7WF,蓮ノ空FC,1,143,4074317036033208,10,10,10,10,10,10,10,10,10
1VM9SAJVY,ユデジロウ,FVJFA973A,蓮ノ空愛好会,11,144,4070801240894992,10,10,10,10,10,10,10,10,10
IMAK5NFHF,よもぎ,YE7CX8RNP,蓮ノ大三十角,13,145,4069214227256794,10,10,10,10,10,10,10,10,10
FSJBKEC6U,レアコイル,YE7CX8RNP,蓮ノ大三十角,7,146,4064366206187958,10,10,10,10,10,10,10,10,10
KWNXKNY6X,ぷいにゅー,49AMYCXCD,ルドベキア,15,147,4063512761561946,10,10,10,10,10,10,10,10,10
RFP277XPM,スガ,11FB0EDDT,スクステ同好会,15,148,4057037833342462,10,10,10,10,10,10,10,10,10
7TAQGMS8W,ゆる,PBRDPWEY1,村村会,15,149,4054940846797546,10,10,10,10,10,10,10,10,10
P8RB3BEJ1,Parare,6XX7GBM0K,ぷちぐる同好会,0,150,4054495600600461,10,10,10,10,10,10,10,10,10
C7IMXOP79,ナーガ,FVJFA973A,蓮ノ空愛好会,0,151,4052782863150543,10,10,10,10,10,10,10,10,10
W4E0R6NA9,そらをとぶ,BKLW6CR5L,Mix鮭の空!!,15,152,4046789736944206,10,10,10,10,10,10,10,10,10
22F9H0NK0,かじみん,JTX1G19BP,さやかほ癒し会,15,153,4044514173177943,10,10,10,10,10,10,10,10,10
8XP3JM3HY,コイキング,YE7CX8RNP,蓮ノ大三十角,13,154,4037495837026254,10,10,10,10,10,10,10,10,10
LDLTRQ88V,しらたま,YCTM6RYDP,金沢おでん同好会,15,155,4034154007642847,10,10,10,10,10,10,10,10,10
VX6FL3EOS,ミミル,EYEPHE14G,花上梢頭,15,156,4032055252712888,10,10,10,10,10,10,10,10,10
FRTXRTHK1,コルド,49AMYCXCD,ルドベキア,13,157,4028604634633676,10,10,10,10,10,10,10,10,10
KYXUCDX5P,米豆梨（みどり）,9YM3DBTB7,泥民館,2,158,4026417164624925,10,10,10,10,10,10,10,10,10
YIGSDJFDL,あっきー,YCTM6RYDP,金沢おでん同好会,6,159,4025962195043646,10,10,10,10,10,10,10,10,10
XTY4GG18V,こーりん,1BME38BCD,さすさやクラブ,14,160,3998343799814525,10,10,10,10,10,10,10,10,10
4F1HIHA3J,きびだんごうどん,11FB0EDDT,スクステ同好会,10,161,3998184626877589,10,10,10,10,10,10,10,10,10
7PLTVA4SD,どんきちうどん,M5LHG6R4T,乙宗動物園,4,162,3995029912009170,10,10,10,10,10,10,10,10,10
935BA0WHY,にむ,11FB0EDDT,スクステ同好会,15,163,3992208599578272,10,10,10,10,10,10,10,10,10
NT480V79A,ゆざくら,PBRDPWEY1,村村会,12,164,3986527918428191,10,10,10,10,10,10,10,10,10
F587HPJPF,紫宮るな,KND3T7056,ぽかぽかモガの村,15,165,3986402988496238,10,10,10,10,10,10,10,10,10
LEEU9JZFJ,きりんちゃん,49AMYCXCD,ルドベキア,13,166,3982221844075949,10,10,10,10,10,10,10,10,10
