player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,缀理,吟子,さやか,瑠璃乃,慈,姬芽,花帆,梢,小铃,季度等级
ED3WCG3KU,しゅ,FVJFA973A,蓮ノ空愛好会,8,181,748214000641699,10,9,10,9,10,10,9,8,10,85
L71LEGR49,かんなぎ,3BDTCERX6,打ち返した流れ星,13,182,748035928642490,10,10,10,10,10,10,10,10,10,90
TXTPD6OZ9,stella,BKLW6CR5L,Mix鮭の空!!,14,183,747060827257145,10,10,10,10,10,10,10,10,10,90
ZAHTN08A4,まいにち,WTJV514G9,蓮ノ空のお弁当屋,10,184,743717444773898,10,10,10,10,10,10,10,10,10,90
ND6DAW05J,パトリシア,M5LHG6R4T,乙宗動物園,15,185,740327257892918,10,10,10,10,10,10,10,10,10,90
0Y3QCF38L,小泉くろ,M5LHG6R4T,乙宗動物園,7,186,740169201360597,10,10,10,10,10,10,10,10,10,90
ODE064I6J,ちあき,M5LHG6R4T,乙宗動物園,12,187,738577208875140,10,10,10,10,10,10,10,10,10,90
10NAV71GP,あばば,NC2YT2V28,蓮之愛同予者何人,4,188,737922388161152,10,7,10,9,10,10,10,10,8,84
OJ8LRLQKO,抹茶あいす,1DU9LCND7,蓮ノ空すこやか部,11,189,737834113706457,10,10,10,10,10,10,10,10,9,89
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,15,190,736025204158614,10,10,10,10,10,10,10,10,10,90
R82X6FBJ5,鈴葉,GXR6C85BT,花帆ちゃん親衛隊,12,191,736008389300352,10,10,10,10,10,10,10,10,10,90
Z4TLWEM1D,ちびこま,YE7CX8RNP,蓮ノ大三十角,6,192,735842514738883,10,10,10,10,10,10,10,10,10,90
NY9X4SWNC,くりマロン,BKLW6CR5L,Mix鮭の空!!,15,193,734632992982959,10,10,10,10,10,10,10,10,10,90
VE60S6VJV,ㅇㅇ(39.7),11FB0EDDT,スクステ同好会,5,194,733690260062311,10,9,10,10,10,10,10,10,9,88
935BA0WHY,にむ,11FB0EDDT,スクステ同好会,15,195,732627485332842,10,10,10,10,10,10,10,10,10,90
49TUEFEKF,もふもふまじん終,V6VCA0C4N,ドル家の『D』,13,196,731524413477551,10,10,10,10,10,10,10,10,10,90
OOC27PRN6,リリィ,DH6C5B7WF,蓮ノ空FC,1,197,730989719734314,10,10,10,10,10,10,10,10,10,90
RCB4C3Q5H,まいごう,NC2YT2V28,蓮之愛同予者何人,10,198,729080583180833,9,5,9,8,10,8,9,8,6,72
7A2IGCZZY,のぐまん,RFYKY8DCD,LA.LA.LA,6,199,728609742924913,10,10,10,10,10,10,10,10,10,90
QUQRGUWJL,にしおり,49AMYCXCD,ルドベキア,15,200,728048358782304,10,9,10,10,10,10,10,10,10,89
2288GCGEH,ふへほはひさん,EYN9H9N16,蓮すきすきクラブ,14,201,726764989088722,10,10,10,10,10,10,10,10,10,90
542A8BY8D,よしこぽけ,11FB0EDDT,スクステ同好会,4,202,726393290758885,10,10,10,10,10,10,10,10,10,90
W6WFFMRAU,ほむまん,0UT59MJ8U,かほすこ同好会,14,203,725646814087376,10,10,10,10,10,10,10,10,10,90
5T57VL8MF,柳田specⅡ,PBRDPWEY1,村村会,10,204,723963994532812,10,10,10,10,10,10,10,10,10,90
DES39P1DL,メタモン,EYN9H9N16,蓮すきすきクラブ,8,205,723049432961560,10,10,10,10,10,10,10,10,10,90
KJ69D4PA4,ぱん,G59NGM0XA,シュリーレン,13,206,721474260530731,10,10,10,10,10,10,10,10,10,90
EQCWYNLEG,サグ☆ナッツ,7R8NKPAB1,花帆推し倶楽部,6,207,719789601351682,9,8,10,10,10,10,10,10,9,86
G3D40UJXN,中野もにょ,FVJFA973A,蓮ノ空愛好会,3,208,719714344437042,10,7,10,10,10,8,10,10,7,82
TA02490KL,ホシノヒツギ,J800VVPTN,Aqours,6,209,717928079896294,9,8,10,8,9,10,10,10,8,82
8B1WWT6YA,まじまんじ,BH9YH1YL5,ラブライバーの森,1,210,717827960113130,10,10,10,10,10,10,10,10,10,90
INAGE6AD9,halxiel,X34LWGL6R,サークル2,12,211,716695618483375,10,10,10,10,10,10,10,10,10,90
W0WYHMBR4,リョータ,3BDTCERX6,打ち返した流れ星,13,212,715994233367358,10,10,10,10,10,10,10,10,10,90
