player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,小铃,姬芽,花帆,梢,吟子,瑠璃乃,慈,さやか,缀理,数量
838S79KWG,107,1090047555062048,紅蓮の破壊神,BKLW6CR5L,Mix鮭の空!!,5,10,10,10,10,10,10,10,10,10,1
KXMPLAX04,108,1089707647674104,ろーぱす,BKLW6CR5L,Mix鮭の空!!,3,10,10,10,10,10,10,10,10,10,1
76L1SWWX0,109,1089220946662911,カプ・デカホ,GXR6C85BT,花帆ちゃん親衛隊,8,10,10,10,10,10,10,10,10,10,1
QUQRGUWJL,110,1088823949876406,にしおり,F2CFWVMY9,藤島め組,9,9,10,10,10,10,10,10,8,8,1
RV0TDDA7D,111,1086711909004922,ブリてっか,BKLW6CR5L,Mix鮭の空!!,5,10,10,10,10,10,10,10,10,10,1
1FO8RWDNB,112,1076919518337876,色違いスターミー,YE7CX8RNP,能京カバディ部,9,10,10,10,10,10,10,10,10,10,1
NOB5KDBV6,113,1076824198014286,しる220,0UT59MJ8U,かほすこ同好会,4,10,10,10,10,10,10,10,10,10,1
LQEN0GFVZ,114,1075673291342134,ごろーざ,FVJFA973A,蓮ノ空愛好会,5,10,10,10,10,10,10,10,10,10,1
VG14SJGHN,115,1071595854633802,りょっぴー,FC8NBAJBT,ラー麺二郎金沢店,4,9,10,10,10,10,9,9,9,9,1
NLNKEMVRB,116,1070998869522592,高町なのはな,FVJFA973A,蓮ノ空愛好会,3,10,10,10,10,10,10,10,10,10,1
HY934N56T,117,1070982582082356,キラメキふたつ星,BKLW6CR5L,Mix鮭の空!!,4,10,10,10,10,10,10,10,10,10,1
W0WYHMBR4,118,1070435545043687,リョータ,3BDTCERX6,打ち返した流れ星,3,10,10,10,10,10,10,10,10,10,1
9RV301LEB,119,1069061806105259,いもむし,GXR6C85BT,花帆ちゃん親衛隊,7,10,10,10,10,10,10,10,10,10,1
XTY4GG18V,120,1068847465030442,こーりん,1BME38BCD,さすさやクラブ,6,10,10,10,10,10,10,10,10,10,1
LKY79HKFR,121,1068376312459017,しらす,FVJFA973A,蓮ノ空愛好会,5,10,10,10,10,10,10,10,10,10,1
8DV5XX99R,122,1066094203748052,あぐ゛,25PMPEMG7,星見プロ,3,10,10,10,10,10,10,10,10,10,1
BJI9H7CC6,123,1059908606794584,エイジ,KW0RM1LEP,はすっこくらぶ,6,10,10,10,10,10,10,10,10,10,1
SKN67I1NN,124,1057683450895505,在床上睡覺,MAJT0THVB,眩耀夜行,3,10,10,10,10,10,10,10,10,10,1
68X4A67UG,125,1055267729886129,いたこ,FE282F3VH,天悶部,3,10,10,10,10,10,10,10,10,10,1
XCRX2GAFB,126,1054515719389583,なる,WN5B7VKPU,きんぴられんこん,6,10,10,10,10,10,10,10,10,10,1
152BPF239,127,1054189401050739,たると,YE7CX8RNP,能京カバディ部,3,10,10,10,10,10,10,10,10,10,1
JAG81QH05,128,1053269696552108,たらみ,GXR6C85BT,花帆ちゃん親衛隊,3,10,10,10,10,10,10,10,10,10,1
RFP277XPM,129,1050775478764971,スガ,11FB0EDDT,スクステ同好会,4,10,10,10,10,10,10,10,10,10,1
P4ZNDWHDA,130,1047851253130361,どんき,GXR6C85BT,花帆ちゃん親衛隊,10,10,10,10,10,10,10,10,10,10,1
AL804BYBX,131,1046071721975812,はなぶさ,YE7CX8RNP,能京カバディ部,10,10,10,10,10,10,10,10,10,10,1
8W61A02JJ,132,1041952343130503,ごんべん京,W3YKKRWHG,ルリと愉快な一家,2,10,10,10,10,10,10,10,10,10,1
B6XUHLVUZ,133,1041514092529632,ればにら,RFYKY8DCD,LA.LA.LA,11,10,10,10,10,10,10,10,10,10,1
NY9X4SWNC,134,1040786954008934,くりマロン,BKLW6CR5L,Mix鮭の空!!,10,10,10,10,10,10,10,10,10,10,1
BRJ0XWX77,135,1039804500550269,しいのき,EYN9H9N16,蓮すきすきクラブ,11,10,10,10,10,10,10,10,10,10,1
CCQ5QCTL1,136,1037257965329147,琥珀,GMEF2K8DL,花咲く泥も好き²,6,10,10,10,10,10,10,10,10,10,1
K8XN5UVA3,137,1036436998491749,ツインドアノブ,W26TRPM1R,めぐ党藤島派,2,10,10,10,10,10,10,10,10,10,1
