行标签,求和项:point
798,520314665024588.0
799,520104103022802.0
800,519406417707967.0
801,519026154037165.0
802,518970198038867.0
803,518161099750472.0
804,518045705909882.0
805,517613451426024.0
806,516969446124765.0
807,516849439776346.0
808,516659469385741.0
809,516120763659594.0
810,516016005907166.0
811,515921542434217.0
812,515846370101651.0
813,515838210718802.0
814,515556937633421.0
815,515125166701231.0
816,512985883242172.0
817,512523063922442.0
818,512461036225212.0
819,512365075033918.0
820,512270837363536.0
821,512203762358795.0
822,510820740713340.0
823,510756652350150.0
824,510503543087459.0
825,510454849698038.0
826,509504557411018.0
827,509396721016271.0
828,509218878418202.0
829,508851043254135.0
830,508764679180651.0
831,508599109583218.0
832,508429252803013.0
833,508235451679414.0
834,507647052116269.0
835,507286046194212.0
836,507047402941899.0
837,506603515809154.0
838,506481379131508.0
839,506150118711265.0
840,505885964836512.0
841,505735805507299.0
842,505415891217742.0
843,505356074881872.0
844,505184982523968.0
845,504737888764645.0
846,503806591131452.0
847,503036625095633.0
848,503005775489116.0
849,502801123464352.0
850,502706300345730.0
851,502679150847350.0
852,502549436864080.0
853,502526752876433.0
854,502463380693329.0
855,502237044325965.0
856,501940837903563.0
857,501900397574374.0
858,501228733470733.0
859,500997321322576.0
860,500864933959701.0
861,500795598238717.0
862,500050136828184.0
863,499759231391787.0
864,499598087840021.0
865,499516035576054.0
866,499465134639622.0
867,499438917973643.0
868,499124346205733.0
869,498711957697687.0
870,498286289124533.0
871,498143360722337.0
872,498120325761942.0
873,497613740767472.0
874,497473230103020.0
875,496473313049223.0
876,496398337540943.0
877,496165108450358.0
878,495564751133634.0
879,494819926070261.0
880,494703244060829.0
881,494193632719978.0
882,494098990292908.0
883,493964495232422.0
884,493526971753093.0
885,493462375083305.0
886,493374239446626.0
887,492813733655307.0
888,492729779763102.0
889,492714055086276.0
890,492671669389994.0
891,491513251038614.0
892,491154395493298.0
893,491139812108200.0
894,490520464748996.0
895,490472739968619.0
896,490398962381918.0
897,490223829785326.0
898,490173550728203.0
899,490067506441060.0
900,488929737501890.0
901,488568395146888.0
902,488099011931646.0
903,488030682886148.0
904,486753438705810.0
905,486490145776252.0
906,485733878871073.0
907,485663427226122.0
908,485634533430060.0
909,484421282145956.0
910,484389950604175.0
911,483966249632899.0
912,483914173209155.0
913,482849477654844.0
914,482577584216604.0
915,482412309920829.0
916,482300565386250.0
917,481517350831193.0
918,481144648201999.0
919,480733949296824.0
920,480275154511488.0
921,479831925247565.0
922,479773057799861.0
923,479510961773246.0
924,479321671987220.0
925,479038385953397.0
926,478788352988104.0
927,478648359198667.0
928,478437141202512.0
929,478227719582132.0
930,477904936225326.0
931,477804146538318.0
932,477744378354627.0
933,477589230386006.0
934,477306798835225.0
935,477098560971709.0
936,476980231910417.0
937,476593259267713.0
938,476261072606728.0
939,476225218948181.0
940,475127124590526.0
941,474559885159643.0
942,474512604057446.0
943,474338093480408.0
944,473901984837560.0
945,473788301967924.0
946,473770016222807.0
947,473202938693314.0
948,473123391720434.0
949,473085270400029.0
950,472558377523374.0
951,472506555391710.0
952,472074996091794.0
953,472006262821908.0
954,471885372655730.0
955,471575561506890.0
956,471276883082180.0
957,471207370149265.0
958,470821370364241.0
959,470630195755398.0
960,470547051222450.0
961,470513526956649.0
962,470510756535884.0
963,470151940210953.0
964,469807461886898.0
965,469697850189770.0
966,469690635494010.0
967,469642307774442.0
968,469622852457469.0
969,469587305001155.0
970,468870738211725.0
971,468606592694128.0
972,468338787038491.0
973,467948857756339.0
974,466217209809185.0
975,466083590131756.0
976,465485282814237.0
977,465311260244943.0
978,465047863721448.0
979,464961705350688.0
980,464896920122137.0
981,464681547823008.0
982,464320488363937.0
983,464258781253900.0
984,464056765764155.0
985,463941539628026.0
986,463937291707567.0
987,463277827872877.0
988,462913249335377.0
989,462712438593233.0
990,462688501293925.0
991,462201178941008.0
992,461865534271619.0
993,461627919984166.0
994,461609531928789.0
995,461523635225121.0
996,460056913250939.0
997,459817795466790.0
998,459589881914093.0
999,459349665619652.0
1000,458784467952004.0
1001,458762680055990.0
1002,458148208356979.0
1003,457886392774778.0
1004,457191832494515.0
1005,457035781752716.0
1006,456365327948971.0
1007,456337086770877.0
1008,456245337227344.0
1009,456224008078196.0
1010,455743798842859.0
1011,455743628295776.0
1012,455576171809832.0
1013,454820562164260.0
1014,454813629007600.0
1015,454581980431132.0
1016,452862050870946.0
1017,451715625135710.0
1018,451487800425446.0
1019,450881255450770.0
1020,449826647884174.0
1021,449742501302488.0
1022,449704386186237.0
1023,449393274103523.0
1024,448768006887327.0
1025,448558510364759.0
1026,448362624856037.0
1027,448197334973336.0
1028,447988621899879.0
1029,447975901442890.0
1030,447963839970822.0
1031,447953047858675.0
1032,447618410714927.0
1033,446665844030381.0
1034,446655458424135.0
1035,446545109524509.0
1036,446482873165178.0
1037,445782858096635.0
1038,444539840754059.0
1039,443909839344951.0
1040,443863586034925.0
1041,443788011743722.0
1042,443684055811858.0
1043,443426673797923.0
1044,443412225867047.0
1045,442843102045921.0
1046,441910272740246.0
1047,441829690264901.0
1048,440966640254066.0
1049,440697717627795.0
1050,439644177421298.0
1051,439559006939782.0
1052,439557452610806.0
1053,438457295407396.0
1054,437954944379304.0
1055,437420615363862.0
1056,436358659209566.0
1057,434682722830428.0
1058,434559390150055.0
1059,434198507207962.0
1060,434182094361259.0
1061,434170079677669.0
1062,433810065213910.0
1063,433481939691008.0
1064,433271228278306.0
1065,433083533862864.0
1066,432872133345670.0
1067,432870423635721.0
1068,432765760533949.0
1069,431464017027238.0
1070,431316591242292.0
1071,431157398915561.0
1072,430685263244677.0
1073,429697899944080.0
1074,429403987667777.0
1075,429362565036520.0
1076,429043099093779.0
1077,428910013077843.0
1078,428431461273869.0
1079,428417446513377.0
1080,428292065730333.0
1081,428161565060238.0
1082,427717969903407.0
1083,427623978433643.0
1084,427620498060085.0
1085,426968104034163.0
1086,426912032156619.0
1087,426245010285905.0
1088,426219970248877.0
1089,426085411921210.0
1090,425728744458129.0
1091,425655182298318.0
1092,425406661192205.0
1093,424777612512062.0
1094,424637642131004.0
1095,423860907380522.0
1096,423521338181701.0
1097,423426692075399.0
1098,423361912594841.0
1099,423334811877887.0
1100,423194863884636.0
1101,423088495836300.0
1102,422541797784690.0
1103,422424389007619.0
1104,422165659910076.0
1105,422102263892278.0
1106,422066480751646.0
1107,422049528648536.0
1108,421503402830762.0
1109,421406507648733.0
1110,421063434567406.0
1111,421024893674409.0
1112,420611978143173.0
1113,420489911295106.0
1114,420382359286436.0
1115,419551252306119.0
1116,418015114139552.0
1117,417854398403398.0
1118,417416534036000.0
1119,416982199152877.0
1120,416323462126489.0
1121,415793539297857.0
1122,415764909770624.0
1123,415283477943536.0
1124,414549355786658.0
1125,414316260996250.0
1126,414176938740001.0
1127,414014637403855.0
1128,413787915375441.0
1129,413117864116572.0
1130,412791790801909.0
1131,412700522761548.0
1132,412578754071904.0
1133,412148258363757.0
1134,412038249025919.0
1135,412003167688932.0
1136,411668236841788.0
1137,410773359260751.0
1138,410730024704372.0
1139,410662546244200.0
1140,410575253168459.0
1141,410351743934628.0
1142,410143673254201.0
1143,409970869465245.0
1144,408974064334387.0
1145,408618772701621.0
1146,408365303776797.0
1147,408100436040740.0
1148,407448141367095.0
1149,407383484354677.0
1150,407018604566367.0
1151,406483737521697.0
1152,406096151908081.0
1153,405419751807741.0
1154,404917264810271.0
1155,404904878373575.0
1156,403837188501359.0
1157,403653280408957.0
1158,403638362836476.0
1159,403138706700130.0
1160,402740565695446.0
1161,402696322425098.0
1162,402520246533381.0
1163,402511184922250.0
1164,401874530880425.0
1165,401439728625843.0
1166,400783240770792.0
1167,400597417581076.0
1168,400555734502048.0
1169,400535013104640.0
1170,400529832726092.0
1171,400250939961641.0
1172,400057113870345.0
1173,399976994618026.0
1174,399463461952579.0
1175,399140133727718.0
1176,398674573006765.0
1177,398562683331427.0
1178,398426664087297.0
1179,398169407826680.0
1180,397847895281383.0
1181,397396884938819.0
1182,396233990715665.0
1183,395701654567799.0
1184,395626568775320.0
1185,394851162523673.0
1186,394781135586629.0
1187,394200869504292.0
1188,393958097103969.0
1189,393420383844751.0
1190,393376112041098.0
1191,393354665310975.0
1192,393319719347274.0
1193,393174383451341.0
1194,392840574494845.0
1195,392432221916651.0
1196,392356558057577.0
1197,391845467641255.0
1198,391764430613857.0
1199,391509618365788.0
1200,391383676694993.0
1201,390196844694739.0
1202,390190905430087.0
1203,390059996875074.0
1204,390025540628461.0
1205,389500605242029.0
1206,388751225551369.0
1207,388534812366946.0
1208,388409690301416.0
1209,388373786083482.0
1210,387965565589621.0
1211,387864774131939.0
1212,387562152097244.0
1213,387197489858382.0
1214,386621998613118.0
1215,386612260596907.0
1216,385895739202030.0
1217,384799863475656.0
1218,384741452999971.0
1219,384119110829678.0
1220,384019505422699.0
1221,383611949138863.0
1222,383329068718095.0
1223,383320911834228.0
1224,382364179545947.0
1225,382360703986672.0
1226,382320842650343.0
1227,382251321456785.0
1228,382154075958868.0
1229,382014581633749.0
1230,381880171545928.0
1231,381265629450815.0
1232,380944173434387.0
1233,380863588011076.0
1234,380648386260231.0
1235,380532244452012.0
1236,380200667446482.0
1237,379505569390329.0
1238,379372865120305.0
1239,378586809556351.0
1240,378483885677144.0
1241,378473258261930.0
1242,378166335183383.0
1243,377741293921759.0
1244,377206192436498.0
1245,376888945104645.0
1246,376829203067784.0
1247,376627788867444.0
1248,376596540192210.0
1249,376272408247643.0
1250,376217725413881.0
1251,376116173540224.0
1252,376086655319397.0
1253,376072426049928.0
1254,375885560729459.0
1255,375618610446940.0
1256,374534159656161.0
1257,374444318393653.0
1258,374370364099479.0
1259,374114193939865.0
1260,373754822248632.0
1261,373622384373020.0
1262,373599687670144.0
1263,373486262691126.0
1264,373214707397264.0
1265,372665542080639.0
1266,372318608858997.0
1267,371667571610318.0
1268,371615070176862.0
1269,371594683129172.0
1270,370477915616323.0
1271,370192351194480.0
1272,370189409856962.0
1273,369619282532644.0
1274,369403567418320.0
1275,369367430618399.0
1276,369139927451749.0
1277,369061876424922.0
1278,369000361353649.0
1279,368799586057867.0
1280,368703277652193.0
1281,368385022394138.0
1282,368319038809279.0
1283,367985977401967.0
1284,367532401792788.0
1285,367497827378146.0
1286,367435129899941.0
1287,367430844414426.0
1288,367128186326823.0
1289,367107588937974.0
1290,366930745370427.0
1291,366836862628952.0
1292,366675426430730.0
1293,366228912772117.0
1294,365719796440153.0
1295,365600097621825.0
1296,365526256345341.0
1297,365242436112526.0
1298,365177441125896.0
1299,365080336194063.0
1300,364878843651001.0
1301,364352027486535.0
1302,364296230618058.0
1303,364132459375088.0
1304,364058248128247.0
1305,363708622945521.0
1306,363485266071498.0
1307,363304338093545.0
1308,363218712878279.0
1309,363184698177725.0
1310,362719800858952.0
1311,362684239175146.0
1312,362295667332065.0
1313,361329402558050.0
1314,361312309467052.0
1315,361048089733297.0
1316,360431324416179.0
1317,360158498809552.0
1318,359998085668354.0
1319,359095980970279.0
1320,358927150327344.0
1321,358656363377590.0
1322,358559893045491.0
1323,358424776703970.0
1324,358076851597806.0
1325,358040129306790.0
1326,357922042017618.0
1327,357192054188231.0
1328,356681285001706.0
1329,356638396572236.0
1330,355945636200867.0
1331,355865628313859.0
1332,355762934967840.0
1333,355752716003287.0
1334,355728579813745.0
1335,355276561011292.0
1336,355150213100252.0
1337,355023955458177.0
1338,354864886548727.0
1339,354756306620199.0
1340,354721930492217.0
1341,354517422936158.0
1342,354453981242301.0
1343,354091422403256.0
1344,354037509631240.0
1345,354008206761196.0
