player_id,player_name,search_guild_key,guild_name,DR数量,rank,point, 结算前A分数 , 结算前A RANK , 结算前B分数 , 结算前B RANK , 结算前C分数 , 结算前C RANK ,结算前音游分数,结算前音游 rank,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
CAH984HAW,be proud,M5LHG6R4T,乙宗動物園,15,19,8730000," 3,054,507,801,641 ", 13 ," 3,146,086,061,270 ", 23 ," 1,245,841,737,929 ", 6 ," 13,325,770,835 ", 9 ,10,10,10,10,10,10,10,10,80
3Q65ASSTC,ほうがく,YE7CX8RNP,蓮ノ大三十角ex,16,20,8710000," 3,086,185,927,287 ", 11 ," 3,234,816,726,233 ", 11 ," 1,236,271,571,295 ", 10 ," 1,118,537,541 ", 722 ,10,10,10,10,10,10,10,10,80
OZHGPXIGS,まるごとみなみ,WN5B7VKPU,きんぴられんこん,17,21,8700000," 2,724,561,012,892 ", 82 ," 2,873,730,436,485 ", 78 ," 1,139,587,110,558 ", 47 ," 12,846,164,430 ", 10 ,10,10,10,10,10,10,10,10,80
TW9L2LKS7,スクステ反抗組織,YE7CX8RNP,蓮ノ大三十角ex,15,22,8695000," 3,009,294,664,270 ", 22 ," 3,282,922,108,243 ", 2 ," 1,213,608,986,212 ", 19 , - , - ,10,10,10,10,10,10,10,10,80
WBWATJ60W,†はとぴ†,YE7CX8RNP,蓮ノ大三十角ex,17,23,8685000," 9,926,406 "," 10,607 "," 50,518,882 "," 10,185 "," 3,034,113 "," 10,466 "," 12,643,276,898 ", 11 ,10,10,10,10,10,10,10,10,80
RKVK0YI1L,おらぴさん,1BME38BCD,さすさやクラブ,15,24,8670000," 2,737,418,161,638 ", 79 ," 2,962,615,895,104 ", 60 ," 1,074,820,356,224 ", 104 ," 12,564,051,917 ", 13 ,10,10,10,9,10,10,10,10,79
AJMEJX0KG,こーか,EYN9H9N16,蓮すきすきクラブ,16,25,8655000," 2,959,139,810,583 ", 35 ," 3,024,304,541,106 ", 50 ," 1,181,691,149,297 ", 29 ," 11,893,805,627 ", 14 ,10,10,10,10,10,10,10,10,80
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,15,26,8645000," 3,165,192,881,744 ", 5 ," 3,224,152,155,943 ", 12 ," 1,176,369,681,366 ", 32 ," 11,075,787,977 ", 20 ,10,10,10,10,10,10,10,10,80
9ENVXR95K,マオ,M5LHG6R4T,乙宗動物園,10,27,8640000," 17,304,215,201 "," 7,146 "," 1,032,034,080 "," 8,903 "," 799,635,647 "," 7,937 "," 11,764,156,998 ", 15 ,10,10,10,10,10,10,10,10,80
XTY4GG18V,こーりん,1BME38BCD,さすさやクラブ,15,28,8625000," 2,055,637,701,776 ", 309 ," 2,128,527,281,602 ", 335 ," 236,705,119 "," 8,585 "," 11,653,890,319 ", 16 ,10,9,9,10,10,10,10,10,78
KXMPLAX04,ろーぱす,3F9P3U95T,ଳ天地鱏明の空ଳ,17,29,8615000," 3,032,158,934,783 ", 15 ," 3,196,627,731,109 ", 17 ," 1,218,831,792,097 ", 17 , - , - ,10,10,10,10,10,10,10,10,80
0Y3QCF38L,月よみくらげ,M5LHG6R4T,乙宗動物園,12,29,8615000," 3,055,258,048,690 ", 12 ," 3,200,205,349,090 ", 16 ," 1,207,776,779,392 ", 21 ," 677,119,381 "," 1,004 ",10,10,10,10,10,10,10,10,80
NJ5M5IZWU,まき,3F9P3U95T,ଳ天地鱏明の空ଳ,16,31,8610000," 3,019,806,231,045 ", 17 ," 3,080,329,064,802 ", 37 ," 1,128,399,200,616 ", 55 ," 11,651,428,101 ", 17 ,10,10,10,10,9,10,10,10,79
TF3P7YXVG,アプリペイ,VW65MCVF8,スリスリーズ,15,32,8605000," 3,113,642,645,301 ", 10 , - , - ," 1,202,002,465,832 ", 24 , - , - ,10,10,10,10,10,10,10,10,80
42J4J5OSG,ハラシヨ,W26TRPM1R,めぐ党藤島派,17,32,8605000," 3,009,028,055,872 ", 23 ," 3,211,276,790,846 ", 15 ," 1,228,578,986,389 ", 14 , - , - ,10,10,10,10,10,10,10,10,80
TWKTW5AVC,ライト,GXR6C85BT,花帆ちゃん親衛隊,17,34,8595000," 922,261,594 "," 8,723 "," 18,162,623 "," 10,459 "," 270,498 "," 12,546 "," 11,532,880,961 ", 18 ,10,10,10,10,10,10,10,10,80
EJHLCHP8O,めぐみアキ,PDMPF3VVV,r/LL,8,35,8580000," 672,044,455,111 "," 1,880 "," 708,781,224,460 "," 1,971 "," 294,811,911,328 "," 1,876 "," 11,193,512,457 ", 19 ,10,10,10,8,9,9,9,10,75
U8OROTM2Y,なってしまった！,YCTM6RYDP,金沢おでん同好会,17,36,8550000," 1,892,056,606,077 ", 424 ," 2,003,128,553,006 ", 418 ," 661,036,379,544 ", 654 ," 11,068,261,980 ", 21 ,10,10,10,10,10,10,10,10,80
8XP3JM3HY,ハヤシモリ,,,13,37,8545000," 3,013,735,507,217 ", 21 ," 3,106,721,205,311 ", 29 ," 1,230,730,997,531 ", 13 ," 6,189,712,240 ", 108 ,10,10,10,10,10,10,10,10,80
U0L572GGD,ガリィ,F2CFWVMY9,藤島め組,16,38,8535000," 2,784,951,392,764 ", 70 ," 2,915,739,476,068 ", 69 , - , - ," 10,904,848,542 ", 22 ,10,10,10,10,10,10,10,10,80
WL6FFE9FY,もょもと,EYN9H9N16,蓮すきすきクラブ,17,39,8525000," 2,904,366,110,448 ", 52 ," 3,239,866,206,177 ", 10 ," 1,237,901,121,991 ", 9 , - , - ,10,10,10,10,10,10,10,10,80
TXTPD6OZ9,stella,3F9P3U95T,ଳ天地鱏明の空ଳ,15,39,8525000," 2,916,978,721,220 ", 49 ," 3,240,431,447,006 ", 9 ," 1,231,318,597,145 ", 12 , - , - ,10,10,10,10,10,10,10,10,80
U7NEBV4KH,こーど,49AMYCXCD,ルドベキア,17,41,8520000," 3,019,533,395,246 ", 18 ," 3,114,974,989,397 ", 27 ," 1,206,065,777,135 ", 22 , - , - ,10,10,10,10,10,10,10,10,80
64M70NFSR,あちあち,YE7CX8RNP,蓮ノ大三十角ex,15,41,8520000," 2,364,002,568,889 ", 174 ," 2,545,653,644,308 ", 148 ," 1,002,586,626,761 ", 165 ," 10,644,600,713 ", 23 ,10,10,10,10,10,10,10,10,80
IZUFEEX2U,アルメ,EYN9H9N16,蓮すきすきクラブ,17,43,8515000," 2,970,813,206,580 ", 32 ," 3,155,012,815,896 ", 21 ," 1,223,766,234,291 ", 16 ," 962,843,385 ", 808 ,10,10,10,10,10,10,10,10,80
7Q17H65NQ,mitsu,YE7CX8RNP,蓮ノ大三十角ex,15,44,8505000," 2,632,091,139,618 ", 97 ," 2,959,307,900,165 ", 62 ," 1,115,503,512,747 ", 66 ," 10,506,760,898 ", 24 ,10,10,10,10,10,10,10,10,80
5LL48ARPU,シュウ,3F9P3U95T,ଳ天地鱏明の空ଳ,17,45,8490000," 1,964,922,816,314 ", 373 ," 2,062,015,355,340 ", 374 ," 1,058,285,081,483 ", 120 ," 10,433,772,952 ", 25 ,10,10,10,10,10,10,10,10,80
KYXUCDX5P,米豆梨（みどり）,9YM3DBTB7,泥民館,10,46,8475000," 2,994,797,744,205 ", 27 ," 3,100,582,244,211 ", 32 ," 1,217,575,134,072 ", 18 , - , - ,10,10,10,10,10,10,10,10,80
WY7ASMM7N,ちゅん,,,10,46,8475000," 521,437,744,271 "," 2,285 "," 553,440,015,209 "," 2,403 "," 53,705,386,560 "," 4,831 "," 10,400,715,862 ", 26 ,10,9,10,9,10,9,9,10,76
L2WFYHDCX,khani,0TKFF5EG3,サークル名募集中,17,48,8460000," 117,556,961,565 "," 4,962 "," 330,187,497,848 "," 3,418 "," 91,436,847,506 "," 3,944 "," 10,392,716,611 ", 27 ,10,10,10,10,10,10,10,10,80
K7QAEXJLJ,のりすけ,49AMYCXCD,ルドベキア,17,48,8460000," 3,007,417,736,242 ", 24 ," 3,110,151,023,612 ", 28 ," 1,187,884,556,267 ", 28 ," 2,900,032,060 ", 298 ,10,10,10,10,10,10,10,10,80
TKLRD66RN,Fさん,3F9P3U95T,ଳ天地鱏明の空ଳ,15,50,8450000," 2,990,151,628,482 ", 29 ," 3,106,382,684,431 ", 30 ," 1,202,359,299,980 ", 23 , - , - ,9,9,9,9,10,9,10,10,75
IMAK5NFHF,よもぎ,YE7CX8RNP,蓮ノ大三十角ex,17,51,8445000," 2,506,746,040,954 ", 128 ," 2,567,243,537,090 ", 143 ," 1,126,445,347,159 ", 57 ," 10,366,826,290 ", 28 ,10,10,10,10,10,10,10,10,80
M30MWLT24,ゆあゆあ,05KN1RR3U,さやかほ花卉園,17,52,8430000," 2,974,991,504,699 ", 31 ," 3,059,900,010,162 ", 40 ," 1,153,074,882,933 ", 41 ," 10,325,400,857 ", 29 ,10,10,10,10,10,10,10,10,80
IN27C39RY,スス,9YM3DBTB7,泥民館,17,52,8430000," 2,912,865,361,302 ", 50 ," 3,126,075,617,224 ", 25 ," 1,231,614,710,529 ", 11 , - , - ,10,10,10,10,10,10,10,10,80
