player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,梢,花帆,さやか,缀理,吟子,姬芽,瑠璃乃,慈,小铃,季度等级
6X3LMM5NH,151,3118464862872590,ズライカ,X7C21B7H7,泥,15,9,9,10,10,9,9,9,10,9,84
J4NN3D06A,152,3111745214901771,斯波,FVJFA973A,蓮ノ空愛好会,15,8,8,10,10,9,8,9,8,8,78
FYCBDQWGV,153,3107782830916135,コトブキ,AXG81GPMP,蓮ノ空マタギ部,10,9,9,10,10,8,7,8,8,7,76
838S79KWG,154,3101399173897297,春日影,BKLW6CR5L,Mix鮭の空!!,10,10,10,10,10,10,10,10,10,10,90
INAGE6AD9,155,3099921005089517,halxiel,X34LWGL6R,サークル2,12,7,8,8,7,8,7,7,8,7,67
FYK24K9Y1,156,3097070814486631,卓球,HBUK6F7CC,乙宗梢なりきり部,15,9,8,10,10,9,8,10,10,8,82
FSJBKEC6U,157,3095493857827846,かじもとん,YE7CX8RNP,蓮ノ大三十角,7,8,9,10,10,9,8,8,10,8,80
VFEKJ4R8Q,158,3086335209955370,はやみん,VW65MCVF8,スリスリーズ,14,9,10,10,9,7,7,10,10,7,79
EEODMO0PN,159,3084887016064708,kazami,VW65MCVF8,スリスリーズ,6,9,9,9,10,8,10,9,9,8,81
CCQ5QCTL1,160,3078012301774530,琥珀,GMEF2K8DL,花咲く泥も好き²,15,8,9,10,10,10,8,9,7,8,79
NY9X4SWNC,161,3072938523904547,くりマロン,BKLW6CR5L,Mix鮭の空!!,15,8,7,10,7,8,7,8,9,7,71
J9E2BXTUR,162,3072336742678401,そーや,YE7CX8RNP,蓮ノ大三十角,10,10,10,10,10,10,10,10,9,10,89
UYWXG3CKZ,163,3069245808484246,はすた,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,9,9,9,9,86
NK48LNWT8,164,3061777694755245,Eri_Maki,1BME38BCD,さすさやクラブ,12,8,8,10,10,8,8,8,8,8,76
WPLF5HB13,165,3056238056436857,ふっと,11XTEEEJT,リンクラ料理部,15,9,10,10,10,10,10,9,10,10,88
NJTVVJ3AR,166,3042230984948982,もつに,EYN9H9N16,蓮すきすきクラブ,15,6,7,8,9,7,6,7,6,6,62
CRBY4XCB9,167,3040390650718229,すべゆるお,VW65MCVF8,スリスリーズ,12,10,10,10,10,9,9,8,10,9,85
OWS2KA4SW,168,3038170894202137,ごみょ,FVJFA973A,蓮ノ空愛好会,14,9,9,10,10,9,8,10,7,8,80
8DM3VEOM6,169,3024824755459458,のん,GVT61ATX0,なのだけれど,9,10,8,9,10,7,7,10,7,7,75
BRJ0XWX77,170,3023391191509116,しいのき,EYN9H9N16,蓮すきすきクラブ,15,9,9,10,10,8,7,9,8,8,78
Z55OCBCZ1,171,3015597591508790,すこや,RFYKY8DCD,LA.LA.LA,15,7,7,9,9,7,7,7,7,7,67
EMFP5HG3T,172,3014003142756775,さりっく,GXR6C85BT,花帆ちゃん親衛隊,15,9,9,10,9,9,9,9,8,9,81
L6A36K16J,173,3013745038699961,和泉妃愛,FK5MUK0ET,くる♡すきクラブ,10,7,9,10,10,7,7,8,8,8,74
W51RD80OU,174,3008738624076634,赤飯のごま塩,49AMYCXCD,ルドベキア,15,7,7,10,10,9,7,8,7,8,73
XB2VHAJYV,175,3004003716570506,まさお,GMEF2K8DL,花咲く泥も好き²,3,8,7,10,10,6,9,8,7,10,75
TRLEB6AD0,176,3003125966548829,ねんねこ,FC8NBAJBT,ラー麺二郎金沢店,15,8,7,10,10,7,8,8,9,6,73
NT480V79A,177,3001279956038122,ゆざくら,PBRDPWEY1,村村会,12,10,10,10,10,9,10,10,10,9,88
P4BD94K88,178,3000738655472354,悠木　皆守,11XTEEEJT,リンクラ料理部,15,10,10,10,10,10,10,10,10,10,90
VD8CGKV44,179,2999931379022796,のたく,79C17CHA2,蓮ノ空出張部,14,10,8,10,10,8,8,9,8,8,79
9NMP2LJU2,180,2993027098998683,くぼっち,EYN9H9N16,蓮すきすきクラブ,15,10,10,10,10,10,9,9,10,10,88
D8MCKLGHY,181,2983949187209178,じゃからか,M5LHG6R4T,乙宗動物園,15,10,10,10,10,10,10,10,10,10,90
EFW2PMAHB,182,2981646846468304,くら,YCTM6RYDP,金沢おでん同好会,15,7,9,9,10,7,7,8,7,7,71
CZKJL4VOV,183,2979236555681988,波田陽区,FVJFA973A,蓮ノ空愛好会,15,10,10,10,10,10,10,10,10,10,90
AFMBX6BPP,184,2978252800614779,美鳩,PBRDPWEY1,村村会,11,10,10,10,10,10,10,10,10,10,90
G8M0NAAWE,185,2976111995234460,かのひと,FK5MUK0ET,くる♡すきクラブ,10,10,10,10,10,10,10,10,10,10,90
ZHVYQOXPW,186,2974563035194477,たかやん,VW65MCVF8,スリスリーズ,15,7,8,10,10,7,7,8,8,7,72
F81U86M87,187,2968040776133424,スコープドッグ,H6JWBBGCG,蓮天・乙宗一心流,15,10,10,10,10,10,10,10,10,10,90
22F9H0NK0,188,2961401445964655,かじみん,JTX1G19BP,さやかほ癒し会,15,8,9,10,10,8,8,8,9,8,78
DPQ6HPBXJ,189,2944863994997024,黒い秋,49AMYCXCD,ルドベキア,4,9,9,10,10,8,8,8,9,9,80
49TUEFEKF,190,2940865759962488,もふもふまじん終,V6VCA0C4N,ドル家の『D』,12,8,8,10,9,8,7,8,8,8,74
5GUR9X53N,191,2938289371331099,すてぽ,2B97MH4YA,同じ話し何回も…,7,10,10,10,10,9,10,10,10,9,88
6PNANEUV0,192,2937835762077323,なの,WN5B7VKPU,きんぴられんこん,10,7,10,10,10,8,7,10,7,7,76
IN27C39RY,193,2932794099872305,スス,9YM3DBTB7,泥民館,14,10,9,10,10,8,8,8,10,8,81
H827FHG5T,194,2929728529997963,つな,FC8NBAJBT,ラー麺二郎金沢店,15,9,10,9,10,8,8,10,9,8,81
I3Z8DKKMK,195,2929160935935919,naru,YCTM6RYDP,金沢おでん同好会,15,6,9,10,10,9,7,9,6,9,75
N6KDBV2A2,196,2921353846348571,ハンバーグ,7R8NKPAB1,花帆推し倶楽部,15,9,10,10,10,8,8,8,8,8,79
R82X6FBJ5,197,2915218915856784,鈴葉,GXR6C85BT,花帆ちゃん親衛隊,12,8,9,9,8,7,6,8,9,8,72
Y2LLTQ4MF,198,2913352640124115,Lautrum,M5LHG6R4T,乙宗動物園,15,10,10,10,10,8,9,10,10,9,86
AL804BYBX,199,2908422986751047,はなぶさ,YE7CX8RNP,蓮ノ大三十角,15,7,9,10,9,7,7,8,7,7,71
SKN67I1NN,200,2906469801913412,在床上睡覺,FH7G62PKW,月火水木金土日,12,6,7,8,8,5,5,6,6,5,56
8Q0P3A5Y5,201,2903114539629013,よしお,CM5THHYHB,「」ノ空だけれど,15,8,9,10,10,9,8,10,8,8,80
TQX0EQZK8,202,2902993227098798,そらた,W26TRPM1R,めぐ党藤島派,11,9,8,10,10,8,6,8,7,7,73
MHUB8095B,203,2902196528927502,どらろー,25PMPEMG7,星見プロ,15,7,9,10,10,7,8,10,7,7,75
KYXUCDX5P,204,2899894135266236,米豆梨（みどり）,9YM3DBTB7,泥民館,2,10,10,10,10,10,10,10,10,10,90
62NPMRQF6,205,2895191888133090,ふく,EYN9H9N16,蓮すきすきクラブ,9,10,10,10,10,7,8,9,8,9,81
W0WYHMBR4,206,2889871727742158,リョータ,3BDTCERX6,打ち返した流れ星,13,7,7,8,10,7,7,7,8,7,68
4F1HIHA3J,207,2884738816510918,きびだんごうどん,11FB0EDDT,スクステ同好会,10,8,8,10,10,8,9,9,8,8,78
LEEU9JZFJ,208,2883233181466248,きりんちゃん,49AMYCXCD,ルドベキア,13,10,8,9,10,5,8,7,5,10,72
8E70ID58F,209,2865524462101089,あるとす,WN5B7VKPU,きんぴられんこん,15,8,9,10,8,9,8,8,8,8,76
4NF07ZA7K,210,2864329305906171,ゆーさく,VW65MCVF8,スリスリーズ,15,9,9,10,9,9,8,8,9,9,80
