player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,姬芽,吟子,缀理,瑠璃乃,慈,小铃,花帆,さやか,梢,季度等级
5LL48ARPU,193,527179768999066,シュウ,BKLW6CR5L,Mix鮭の空!!,15,6,6,10,10,6,8,7,6,6,65
XTY4GG18V,194,525722278127781,こーりん,1BME38BCD,さすさやクラブ,14,6,7,7,7,7,6,7,7,6,60
9RV301LEB,195,524144681141848,いもむし,GXR6C85BT,花帆ちゃん親衛隊,15,6,7,6,9,5,6,9,7,9,64
6PNANEUV0,196,523799828620234,なの,WN5B7VKPU,きんぴられんこん,10,7,7,7,10,7,7,9,9,7,70
AJ713D5X4,197,522887302491562,キョウ,RFYKY8DCD,LA.LA.LA,3,6,6,8,7,6,6,7,8,7,61
WPLF5HB13,198,521344459480804,ふっと,11XTEEEJT,リンクラ料理部,15,9,9,9,8,10,9,10,9,8,81
BMM78P2WR,199,520559900111526,(・8・),M5LHG6R4T,乙宗動物園,15,9,8,8,9,9,9,9,8,9,78
8W61A02JJ,200,520342883510329,ごんべん京,W3YKKRWHG,ルリと愉快な一家,9,8,7,8,8,8,7,8,8,8,70
72CKW0EAA,201,519918315859766,にっぴー,PBRDPWEY1,村村会,12,6,6,7,7,7,6,8,7,6,60
NJ5M5IZWU,202,517949294027145,まき,M5LHG6R4T,乙宗動物園,5,10,10,7,6,10,6,8,10,9,76
TD60MU94M,203,517909971424065,チロリン,RFYKY8DCD,LA.LA.LA,9,9,9,9,9,9,9,10,9,10,83
BAM3IRQNY,204,517906641501672,Zero,RWARTHA1M,乙宗梢大好き部,4,8,8,10,10,8,8,10,10,10,82
J9E2BXTUR,205,517843190673963,そーや,YE7CX8RNP,蓮ノ大三十角,10,9,8,10,10,9,9,10,10,10,85
WP2XGUKDR,206,517744732454363,はむはむ,EYN9H9N16,蓮すきすきクラブ,6,6,7,7,7,7,6,7,6,7,60
VFEKJ4R8Q,207,516590664855399,ほうせきさがし,VW65MCVF8,スリスリーズ,14,6,7,7,10,9,6,10,8,9,72
152BPF239,208,515836293106058,たると,YE7CX8RNP,蓮ノ大三十角,6,7,7,8,7,7,7,8,8,8,67
7TAQGMS8W,209,515177808242443,ゆる,PBRDPWEY1,村村会,15,7,6,6,6,6,6,7,7,7,58
UYWXG3CKZ,210,514192684128044,はすた,BKLW6CR5L,Mix鮭の空!!,15,9,9,9,8,8,9,10,9,10,81
8E70ID58F,211,514069294505568,あるとす,WN5B7VKPU,きんぴられんこん,15,7,8,8,7,8,7,7,10,8,70
H827FHG5T,212,513600616831068,つな,FC8NBAJBT,ラー麺二郎金沢店,14,8,8,7,9,8,7,9,7,8,71
2288GCGEH,213,513126482183441,ふへほはひさん,EYN9H9N16,蓮すきすきクラブ,14,7,8,10,10,7,8,8,9,8,75
