player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,姬芽,瑠璃乃,さやか,慈,梢,花帆,吟子,小铃,缀理
3YY8CPUK5,みきた,7UBUGF7G1,ワイのサークル,1,12965,37530424272,4,4,4,4,5,4,8,8,4
UUF29HMLM,バッサ,,,0,12966,37512039540,3,3,2,4,1,1,1,2,2
OKWF0EDSV,まりんらいなー,A8BJ5V3ET,はすのそら,0,12967,37437427048,4,5,5,5,5,5,6,6,5
4YOJJDG89,鷹木遊,CT8XW752X,蓮ノ空写真部,0,12968,37381049314,4,4,1,8,9,3,4,5,7
T61I10GX7,まこと,FFEFNVBD1,AZUNAランド,1,12969,37270024787,1,7,1,1,4,6,4,9,4
0L5MX46RI,八尋,LG3XF86RM,ハロめぐ党無言可,2,12970,37221665615,4,4,4,1,4,4,8,4,1
7VN9YEEN4,葉月ニナ,KBJ2P8T0Y,人見知りの集い,1,12971,37146355763,4,4,1,8,8,3,4,7,6
MGHJTKV3N,花海棠蕾の丸凛然,,,0,12972,37111244649,4,4,4,4,5,4,5,6,4
R6FKYEEYR,コウ,N1JAJ83CA,蓮ノ空園芸部,1,12973,37093752490,4,6,4,8,3,7,6,5,7
9ANG18HNL,うめきち,XXVVJY6FE,ZECT,1,12974,37073229188,4,5,6,6,7,10,7,4,5
DWYJ97LE4,アブレイ,VLY5JDKCV,新規なのだけれど,0,12975,37047341477,4,4,4,5,4,4,6,5,4
VBW50N2T4,seto,DDKKFN9Y5,箱推単推両方OK,2,12976,36961139116,1,1,1,1,1,1,2,1,1
5ORM0EQA8,ウォッカ,WBW66DMUB,るりめぐ研究所,1,12977,36945853395,4,5,5,5,7,5,6,6,5
2RB81C33D,りょうま,06DCWC1RE,とりあえず参戦用,0,12978,36907767647,1,1,1,1,1,1,4,1,1
HHKP4XO3J,Rino,KA652DGYV,ゆるリンクラ,4,12979,36885304965,5,7,5,7,8,7,7,7,7
T9BIGMK58,かほがガオー!,73N4AB3LR,かほ子のイオン,1,12980,36838784599,1,1,1,9,1,1,6,8,1
LUOB2LWQN,あき,,,0,12981,36822771625,1,1,1,2,2,1,1,3,4
QODCT4FMP,みなみ,M44P06CH5,つづさや見守り隊,0,12982,36820051379,4,7,2,4,10,4,6,3,1
SUGL4ZTMJ,プラネタリウム,V8XX999F6,卍蓮村幼稚園卍,3,12983,36812727045,4,4,1,7,7,4,6,9,5
1K5HWWY2G,学院,7X71T9R7J,憩いの場所,2,12984,36793297865,2,7,1,4,9,6,7,4,5
5UM0Q3UJB,嵯峨政風,RM7N1JDB5,無言推奨不干渉会,0,12985,36778635966,4,7,6,5,5,4,6,7,7
B1TKH3A07,タクト,X45T3U322,アニメ最高クラブ,2,12986,36769960059,1,5,1,1,1,1,2,5,1
1L84V6MDN,シン,JNL5NM6EL,fyyy,0,12987,36766094075,8,7,1,5,9,1,1,4,9
WGHE7NWYM,リン,1D7T2UXC2,無言でのんびり,4,12988,36723207215,1,9,1,1,4,3,7,9,6
5011G8FPR,ドラキー,F6JMFHJK4,猫神教meow派,0,12989,36688388068,1,1,1,3,1,1,3,1,5
6M4GJJIWC,つみ,VXDPPJJL1,蓮ノ空リボ課金部,1,12990,36662547206,1,7,4,4,9,4,4,4,7
HCD8701LT,へのじ,PG2NURUKJ,へのじサークル,0,12991,36628275968,1,4,5,5,7,4,5,4,5
GA8HC9AR6,まさにゃん,639NXLKJ5,Lotusky,1,12992,36617299513,1,1,1,1,3,3,3,1,1
3MH65KA10,たまゆら,26JDLMBLN,徒町は強く生きる,0,12993,36605482785,4,2,5,8,8,6,5,5,6
91Y6837WN,No91,AC53CK0L3,迷宮Orion,0,12994,36591585231,3,2,9,2,1,2,1,1,2
PU8WTNE81,かりんとう,WTJV514G9,蓮ノ空のお弁当屋,0,12995,36573622357,7,5,5,6,5,7,6,5,6
8CA30E1E6,木蓮,EEP20F2M8,綴理の綴り,3,12996,36544393518,5,7,4,7,1,1,6,6,2
30A3C3EHD,NagiTs,YDYH4VRRP,レンクウ,2,12997,36418209779,1,1,1,8,7,1,5,1,1
9B707WTM6,くま,U8GLCJVJP,コミュ障用誰でも,0,12998,36415036536,4,4,4,5,6,5,4,4,4
C2WGUXXC1,リヨ,E8P2VN49C,ポタリング部,0,12999,36409417854,5,4,1,8,4,4,1,4,1
FSVIPMV9W,とき,XN2VEA6DN,無言,5,13000,36376016686,2,6,4,4,3,5,8,6,4
0XMRJJME8,なりくん,,,1,13001,36370380706,1,7,4,8,7,1,1,5,1
Y5C8UW2YN,masa,E719GTAYV,めぐ待機室,3,13002,36330677545,4,4,4,4,4,5,5,5,4
JQ4QSOCAV,琢磨,MVRFVTGU6,無言&出入り自由,0,13003,36273300096,1,1,1,1,1,1,1,2,1
2RJUEWNW3,いそふらぼん,,,3,13004,36229298233,1,4,1,7,10,3,4,4,8
LKU7T3M61,ゆずころ,E58FYF67C,ロータスランド,2,13005,36227839969,5,5,5,5,8,7,7,4,4
HERU8LE3W,朝霧,L6MF2MPBN,みらくらぱーく！,0,13006,36182680508,4,5,1,5,9,4,4,2,7
GX7A38BNT,こずえ,8MDA3A0AK,イベント用,2,13007,36179608880,1,2,1,9,1,1,3,1,1
UPDBPVI0Q,はすかぷ,LHXNEF3D5,まるまるサークル,0,13008,36139358573,4,6,5,5,6,6,7,5,4
