player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,瑠璃乃,花帆,慈,梢,缀理,さやか,小铃,姬芽,吟子
8UJPHW4X4,ふじこ,CDY5ND029,鳥もも塩だれ定食,0,15877,3621391205,4,4,1,2,1,1,1,1,1
HFA1JGBAU,ビショップ,NMT63RUDV,泥村,3,15878,3617973871,9,4,9,4,5,9,10,9,4
2KQBKT3EH,Ashley,CTYKFVT46,蓮ノ空帰宅部,1,15879,3612909438,6,4,7,5,5,4,6,2,5
M0944945X,佐田,BCJRMHE75,梢すきすきクラブ,0,15880,3610721710,2,8,5,5,8,1,6,1,7
OA52K1DPM,こはく,CP3KWKH07,まったり社会人部,1,15881,3610472460,2,1,4,4,8,1,1,1,2
TE9QZWX4C,ちょーさん,D1590FXAP,ちょーさん団,0,15882,3607260157,4,4,4,4,4,4,4,4,2
P761TAJQN,すのー,,,0,15883,3602575314,1,2,1,6,1,1,1,1,3
AMUEJPRVH,クロト,,,0,15884,3591722354,4,5,4,5,4,7,5,4,5
X88H2D6JA,あき,1EL57CDR0,なんもわからん,0,15885,3578830402,1,2,1,1,1,1,1,1,4
AWWYJREFV,ふりかけ,TB7GJ57D7,シャイニーフラワ,0,15886,3569922834,1,1,1,4,1,1,1,1,2
EXTLWJW4M,zoids,865UE9UC6,蓮ノ空うどん部,0,15887,3568542112,1,1,1,1,1,2,1,1,2
RLLK0FRL5,プリウス,9D722M8KC,蓮ノ空同好会,0,15888,3563802816,1,1,1,1,1,1,4,1,3
AODWYRMVT,アツシ,7MXXR7UBG,放課後リンクラ部,0,15889,3562252471,5,1,1,1,1,1,5,4,1
88HM9920O,雪風,RGR1NVGWH,無言推奨・自由村,1,15890,3548550418,5,5,1,5,1,4,1,1,4
37TK4NI43,オレンジライン,31A7JKC69,蓮好きの巣窟,0,15891,3548159667,4,5,5,5,4,5,5,4,7
RL0TGKQ9B,*さくらん,E17AJTJ9D,楽しみ隊,1,15892,3547734807,2,1,5,8,1,1,1,1,3
EMSVB860D,しんやさん,K3LMN5JHH,金沢カレーの皿,1,15893,3546346545,1,1,1,1,1,3,4,1,2
VU84CL8UR,サム,VF517JBVB,無言でいいよ。,1,15894,3543977573,1,2,1,1,1,2,1,1,2
5SQQB020D,らっこ,KCDM7GKM3,能京カバディ部,0,15895,3539411483,5,2,7,1,8,9,4,4,4
A5CYW5VH9,マチコ,,,0,15896,3538300705,1,1,1,1,1,1,1,1,1
GD4URRICF,高坂 久美子,75UJ5RB97,蓮ノ空雪野球部,0,15897,3538053395,4,4,4,4,4,4,5,1,4
BUT5EQ43T,あに丸,WE9N74D6D,あにまるサークル,0,15898,3533846068,5,2,7,5,7,4,7,4,4
Y491WT6GV,めんだこ隊長,RWG56GK19,e+本社ヲ爆破ス,4,15899,3533282091,1,1,4,4,5,5,5,1,2
DIREP1W4U,アスパラ,EEP20F2M8,綴理の綴り,5,15900,3530011721,7,7,7,5,7,5,7,4,6
ZVDP6NRMM,KEi,W6JWRJGJH,ハロめぐ同盟,6,15901,3519981713,1,2,4,5,8,4,5,1,2
0L4XR0TD1,Mako,Y5J5Y90CD,まるまるサークル,0,15902,3512243767,1,2,1,2,1,1,1,1,2
N50PHHK4M,みりあ,W3UUXHMDV,水彩ブーケ,2,15903,3509609463,5,1,6,5,1,2,8,3,3
9PGCHLVTH,みきを,,,0,15904,3507571267,1,1,1,1,1,1,3,1,1
