player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,吟子,缀理,花帆,梢,小铃,慈,さやか,姬芽,瑠璃乃
O083WAH9W,INKIBOX,YC3DCPM7M,福井大学ラ研,0,16483,3176161001,2,1,1,1,4,4,1,1,1
ALBMXR034,胡 こころ,,,0,16484,3175378990,1,1,1,4,1,1,3,1,1
H4338GKZ9,LuchoTK,BXHG2KXAD,idol.st,0,16485,3173805271,2,1,1,1,1,1,1,1,1
AGNVXACC8,からあげ,3HDDYR4FU,旅人,1,16486,3167647583,2,7,1,1,1,7,4,1,5
UYXAFA85U,トキサメ,PXDL7Y3VM,ビギナーズ,0,16487,3166858506,2,7,5,6,5,10,5,10,4
6HVBK1KC9,神葉,FV38N1J23,イベント用,0,16488,3166840031,2,1,1,1,1,1,1,1,1
JHHHCGZAB,TIM,VUY2B6P0F,エンジョイ,1,16489,3165735984,4,1,1,5,3,1,4,1,1
Y0L16JP1W,ユキコ,J7V3NXF0C,GADリンクラ店,0,16490,3163471763,1,1,1,1,1,1,1,1,1
ZE55UCKJB,さんだるぽん,58FD7UF8J,としとしサークル,0,16491,3160512041,7,2,2,7,7,5,1,1,1
HD4W6928E,Plum,A8BJ5V3ET,はすのそら,4,16492,3157564145,6,4,5,7,4,4,1,5,1
8X8FD1U99,ゆぅ栗ウッド,C021HVB2B,第3芸能科,0,16493,3156215515,2,7,1,1,1,1,1,1,2
UYHHBA4SG,ウィークリー,4FXPC55PY,PPIHクラブ,0,16494,3152952454,4,7,1,8,4,5,4,4,4
37NROHDN8,こめ,8BAYBXUXC,スリブ大好き♪,0,16495,3148029789,3,1,1,1,1,1,1,1,1
ETURKKUBB,ハロハロ,,,1,16496,3146842136,9,1,10,9,1,1,2,1,2
BLM803UH0,ででまる,,,0,16497,3145940937,1,4,3,4,2,3,4,1,3
9XCWT9KJU,みと,N752V1LD6,思想の溜まり場,2,16498,3142837642,2,1,1,1,1,1,1,1,1
EXC6VKWGG,豪,VA6X5YNNF,スリーズ分家,0,16499,3134081221,3,1,3,4,2,1,1,1,3
12E88DG34,クヌギ,UJKBB2FCD,にするか,0,16500,3124638431,1,1,1,1,1,1,1,1,1
C7UTEVO0A,RENA,W2HEPMM2A,無言。ぼっち。,0,16501,3124246693,2,2,1,1,1,1,1,1,1
MXH24NMLU,あずらえる,8BAYBXUXC,スリブ大好き♪,0,16502,3122899714,4,1,7,6,1,2,2,4,3
5Y4C5BCT5,ダル,XHJLF3R8H,ゆったりプレイ,0,16503,3115765833,4,7,2,6,5,9,1,5,1
7M1J8RMT5,もあいける,,,0,16504,3114780025,4,1,1,1,4,1,1,4,1
L5N87C0HE,アスラン,,,0,16505,3111178779,3,1,1,1,1,1,1,1,1
AMMIZBV97,アルル,36T6UB6YA,まったり箱推し部,1,16506,3110535349,2,1,1,1,1,1,1,1,1
B8UMX4FAZ,しきぷー,KPLDLRJ9N,デュタラノピア,0,16507,3107945216,5,4,6,6,4,4,4,4,4
AUMZ8B2VS,ちーちゃん,97BGFLKW9,◯◯◯,0,16508,3101888125,3,4,1,1,1,1,3,1,1
AVATXW4RB,ミドリ,JPNNY7W5F,ログイン勢,0,16509,3101257033,2,4,5,1,2,1,1,1,5
3YVLNMB40,鉑,,,1,16510,3096071637,4,1,1,1,4,4,1,2,4
24PJNQ62P,カワイ,151T5VP5D,ひとりぼっち,1,16511,3088229151,1,1,3,2,1,1,1,1,1
RYRD99RMA,あおい,G202YTPW1,無言倶楽部,0,16512,3087399934,3,2,3,3,2,3,1,1,2
TK1PN67W9,そよくら,G0H0FDFCP,チョコ食べ放題,0,16513,3086481460,1,1,1,1,1,1,1,1,1
993YWB5UV,木村真純,,,0,16514,3083208922,4,4,3,4,4,4,3,1,4
U2NMH1GLY,鯖,W189BP629,みんなのみかん畑,0,16515,3076244744,2,1,1,3,3,1,1,1,1
F1LKYHLMX,pppandy,VLY5JDKCV,新規なのだけれど,0,16516,3074812980,1,1,1,4,1,1,1,1,1
6TYJK8TYQ,みっくす,,,0,16517,3068203657,1,1,1,1,1,5,1,1,1
KVE59EH18,ゆいてゃ,,,1,16518,3067894802,3,1,1,1,1,1,1,1,1
04KAB33K8,あまごい,R9TC4WP0R,月夜見くらぶ＾～,0,16519,3066581368,2,1,1,1,5,5,1,5,5
E3FM7CAVZ,ゆうなぎ,NFMEGRJ45,社畜無言サークル,0,16520,3062306992,2,4,4,4,1,1,4,1,4
97U6ADYFR,color2,9E910GGD2,蓮ノ空給湯室,0,16521,3060734897,6,1,1,1,2,9,5,1,1
XUW64W3VL,ちー,,,0,16522,3060672805,5,3,4,5,7,3,3,2,5
UTBYOM58D,ツナマヨおにぎり,VXF8P7NDC,どんぐり。,2,16523,3053272008,2,1,1,1,1,1,1,1,1
VGBFJJTHK,タカオミ,,,0,16524,3053087409,1,1,1,2,1,1,8,1,4
BP2FHDBHH,moroka,,,0,16525,3050887483,1,1,1,1,1,1,1,1,1
1PH2N5YEG,たけのこ,9D722M8KC,蓮ノ空同好会,0,16526,3042701194,2,4,3,3,2,3,4,1,3
IQUYQ2D23,たくみ,,,0,16527,3037683264,1,1,1,1,1,1,1,2,1
U32QZP1ET,宮子,PWK02KG0F,メメントの森公園,0,16528,3037398682,2,1,1,1,5,1,1,1,5
P8U7EYRTT,はな,HB9AU9DJJ,聖心党,1,16529,3035999998,2,1,1,1,1,1,1,1,1
0NONM98TC,rAin,JH5FX56N2,のんびり,0,16530,3027379140,2,1,1,1,3,1,1,1,1
4NMCTYGRL,ノア,NJBBTCY3A,かにかに！,0,16531,3017367469,6,4,5,7,5,1,1,1,5
UJBCR14U8,むぅ,H80CRGF4B,はっす,0,16532,3012887127,1,1,1,2,2,1,1,1,1
F72XG123C,Mel,GHP9942F3,御徒町,0,16533,3008580279,1,3,1,1,4,1,1,2,1
T3AXKACUE,ノリタマ,M1DLCR0R8,花帆護サークル,0,16534,3005387766,10,4,10,10,4,4,4,1,4
JEJCXJ0P7,yuu,,,0,16535,3005029014,1,2,3,1,3,1,1,1,1
8UNH926Z7,げおるげ,J79LGCKKF,蓮ノ空コーラス部,1,16536,3003277638,6,4,8,8,7,4,5,1,5
D2HRR151R,紅風紀,CJF72KJ6W,紅風紀ソロ,0,16537,3002183267,4,4,6,4,6,4,4,1,4
5HHB92JM2,ひろと,PMDUBHJ9U,楽しいが1番,0,16538,2996465883,1,4,3,3,2,2,3,2,3
UMADQKENY,しらす,,,0,16539,2991742099,1,1,1,1,4,1,1,1,1
FURE9JONM,TERIA,FHN78V2DJ,無言でどうぞ,0,16540,2989587048,4,1,4,4,4,1,1,4,9
2XDJIROFV,かさJun,,,0,16541,2976431663,1,1,1,1,1,1,1,1,1
P34Y41XP8,紗雾,,,0,16542,2975262410,1,1,1,1,1,1,1,1,1
T383UW51V,Vsj,6FWRD1K40,いちじょ海賊団,0,16543,2972975004,2,1,1,1,1,1,1,1,1
G60KW9AA1,養豬,4NFMU2WME,好きだかんな？,0,16544,2961599083,2,1,7,1,7,10,1,5,8
46JM8C6V8,あずき,,,0,16545,2958618477,1,5,1,1,1,1,2,1,1
PEYBCN5PB,PottoJ,,,0,16546,2957182888,3,1,1,1,1,1,1,1,1
VEU5VMG9R,れちょるべ,578YG6EAT,桜桃花束愛聴会,2,16547,2951756825,7,5,8,8,6,6,1,4,5
6A3XLD2GG,Roa,30W3RA65G,蓮ノ空自由クラブ,0,16548,2951083769,2,1,1,1,2,2,1,1,1
2T5G00AHU,りょう,TR057C1UW,蓮ノ空ぼっち部,0,16549,2950661928,2,6,1,1,2,1,1,1,1
496NISNZ0,Jan,J80MEYHBC,Nymphaea,1,16550,2944217072,3,1,1,1,1,1,1,1,2
CLZI4CXG9,えき,W0JAK2W58,夕方五重奏団,3,16551,2942306541,1,3,1,1,6,1,1,1,1
VP6FE3UEA,ならすふ,DH97ANN9G,ツキマカセ,0,16552,2939580038,3,1,1,1,1,1,1,1,1
WRT22J4NT,マサオ,0R8BXPRC1,ポチっ！とクラブ,0,16553,2936014724,2,4,1,4,2,4,1,1,1
YH9TMNEJ7,がっちゅ,,,0,16554,2926642882,4,4,1,4,5,5,5,4,1
KAC4FJPYD,だそて,DW13FCXPT,Mulbungs,0,16555,2913120202,2,1,1,4,1,10,1,1,10
2T8O3BZT8,D.Knight,,,0,16556,2912531524,4,5,1,9,1,5,1,4,1
FRCOITRF2,ニンネコ,,,0,16557,2911906837,1,2,1,2,1,3,1,1,1
5JR3HND33,みつしん,0VEMMV8E2,スリブとまったり,4,16558,2909687582,7,5,1,1,5,7,5,4,7
AY2GRN0T7,なき,F08AHUJJ0,綴理のお世話係,0,16559,2909495297,3,7,1,2,2,8,1,1,1
YAX2WA2M6,陸奥朱雀,F5XJ40VXD,ココロの旅,0,16560,2908589007,1,5,1,4,1,5,1,1,1
BFAUF3F96,くろ@紬,4K4JXGNX0,蓮ノ空P活クラブ,0,16561,2907656602,2,1,1,1,1,1,1,1,1
WFN3X0G2H,Rice,XK83VXEED,TUAS,0,16562,2906358958,2,1,1,10,1,5,5,5,1
