player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,吟子,花帆,小铃,さやか,姬芽,瑠璃乃,塞拉斯,泉,季度等级,104季度等级
KBI8MUTYD,まけれれ,EYN9H9N16,蓮すきすきクラブ,13,28,24650000,8,10,7,8,7,8,10,6,64,48
K8XN5UVA3,ツインドアノブ,W26TRPM1R,めぐ党藤島派,13,29,24630000,9,10,9,8,8,8,10,8,70,52
FVG9O3T6M,少結,P8W50773L,蓮ノ空見守り隊,15,30,24432000,6,10,6,7,6,7,6,6,54,42
AJMEJX0KG,こーか,EYN9H9N16,蓮すきすきクラブ,15,31,24430000,9,10,9,10,9,9,10,10,76,56
4W6BIX284,リリィ♡,FK5MUK0ET,くる♡すきクラブ,15,32,24377500,9,9,9,9,8,9,10,8,71,53
IMAK5NFHF,よもぎ,YE7CX8RNP,蓮ノ大三十角ex,15,33,24351500,10,10,10,10,10,10,10,10,80,60
BMM78P2WR,(・8・),M5LHG6R4T,乙宗動物園,15,34,24317000,9,10,9,9,9,9,10,8,73,55
OWS2KA4SW,ごみょ,,,15,35,24266000,9,10,9,9,9,8,5,6,65,54
9ENVXR95K,マオ,M5LHG6R4T,乙宗動物園,10,36,24249500,7,10,7,7,7,6,7,6,57,44
XCRX2GAFB,なる,WN5B7VKPU,きんぴられんこん,15,37,24225000,8,8,8,9,8,9,10,5,65,50
24M5TJDPS,わるつ,0TKFF5EG3,サークル名募集中,15,37,24225000,8,8,8,8,8,8,10,7,65,48
PLE67URFB,DasserAN,M5LHG6R4T,乙宗動物園,8,39,24153000,7,7,7,7,7,7,10,8,60,42
8XP3JM3HY,ハヤシモリ,CX967RTGY,おんゆあさーくる,13,40,24151500,7,8,7,10,7,10,7,6,62,49
NLNKEMVRB,なのはな,0UT59MJ8U,かほすこ同好会,13,41,24136000,7,7,7,8,7,7,10,6,59,43
1Y0XFNNDJ,かなたなか,EYN9H9N16,蓮すきすきクラブ,15,42,23983500,7,10,8,8,6,8,8,6,61,47
RKVK0YI1L,おらぴさん,1BME38BCD,さすさやクラブ,15,43,23945000,8,10,8,8,8,8,10,7,67,50
WCN6J32TG,しみちゃん,0TKFF5EG3,サークル名募集中,15,44,23943500,7,10,7,8,7,7,9,7,62,46
OZHGPXIGS,まるごとみなみ,WN5B7VKPU,きんぴられんこん,15,45,23939500,7,10,8,8,8,8,10,6,65,49
K7QAEXJLJ,のりすけ,49AMYCXCD,ルドベキア,15,46,23895000,9,8,9,9,8,8,10,8,69,51
V578L0R6J,mion,AXG81GPMP,蓮ノ空マタギ部,15,47,23848500,6,10,6,7,6,7,8,6,56,42
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,15,48,23826500,8,10,7,9,7,8,10,7,66,49
KXMPLAX04,ろーぱす,2VB9FPCTL,音ゲー待機室,15,49,23727500,7,10,7,8,8,7,9,7,63,47
XB2VHAJYV,まさお,GMEF2K8DL,花咲く泥も好き²,4,50,23726000,7,10,8,8,8,8,8,6,63,49
P4ZNDWHDA,どんき,GXR6C85BT,花帆ちゃん親衛隊,15,51,23720000,8,10,9,8,9,8,10,8,70,52
IN27C39RY,スス,9YM3DBTB7,泥民館,15,52,23706000,9,9,9,9,9,9,10,8,72,54
TUHKRV0IW,ポン,EYN9H9N16,蓮すきすきクラブ,15,53,23698000,9,10,8,9,8,6,7,6,63,50
L5FWMMCWN,クルス人,PBRDPWEY1,村村会,9,54,23602500,6,7,6,10,7,6,10,7,59,42
TXTPD6OZ9,stella,M5LHG6R4T,乙宗動物園,15,55,23593500,8,10,7,8,8,9,7,5,62,50
HGC8Y4QUS,もがの,0UT59MJ8U,かほすこ同好会,8,56,23540000,9,10,9,10,9,9,10,9,75,56
ALF76WC94,あかつき,MMK6BEW4K,蓮ノ湖横断し隊,15,57,23503000,10,10,9,10,10,10,10,9,78,59
LQEN0GFVZ,ごろーざ,WN5B7VKPU,きんぴられんこん,15,58,23439000,7,10,7,8,7,8,9,7,63,47
KY1DYH45V,ate_san,B5V2LNN43,WMW,15,59,23421000,8,9,10,10,8,9,10,8,72,54
BRJ0XWX77,しいのき,V4A5MP41E,徒町チャレンジ！,15,60,23407000,7,10,7,6,7,7,6,5,55,44
3Q65ASSTC,ほうがく,YE7CX8RNP,蓮ノ大三十角ex,15,61,23363000,7,10,7,8,7,7,9,7,62,46
JRXUOPXXN,ぐんま,49AMYCXCD,ルドベキア,15,62,23334000,9,10,7,10,8,8,8,5,65,52
J9C1NN8VB,私はマグネット,VW65MCVF8,スリスリーズ,15,63,23324000,6,10,6,6,5,9,9,7,58,42
SM59T811D,Case,RWARTHA1M,乙宗梢大好き部,12,64,23301500,9,10,9,8,8,8,7,6,65,52
JC33CNHML,かすかす,PBRDPWEY1,村村会,15,65,23273000,8,10,8,8,7,7,7,6,61,48
EEODMO0PN,kazami,VW65MCVF8,スリスリーズ,9,66,23218500,8,8,7,7,7,8,10,6,61,45
TW9L2LKS7,パワッチョ,YE7CX8RNP,蓮ノ大三十角ex,15,67,23213500,7,7,7,7,7,6,10,9,60,41
5W83UKK4H,望月,1BME38BCD,さすさやクラブ,15,68,23206500,8,10,7,8,8,7,10,7,65,48
TKLRD66RN,ふじー,GXR6C85BT,花帆ちゃん親衛隊,15,69,23139500,7,10,6,7,6,7,9,7,59,43
CL0CDYUYY,かなちゃん,PBRDPWEY1,村村会,15,70,23124000,7,10,7,8,7,7,8,6,60,46
L6HBG7C3L,あまらく@,0TKFF5EG3,サークル名募集中,15,71,23121500,7,9,7,7,7,7,7,5,56,44
7604CH5KV,hiro,FK5MUK0ET,くる♡すきクラブ,15,72,23110500,6,7,6,6,6,6,10,6,53,37
BJI9H7CC6,エイジ,PBRDPWEY1,村村会,12,73,23046500,8,10,8,8,8,8,7,6,63,50
C7IMXOP79,ナーガ,FVJFA973A,月猫愛好会,0,74,23043500,8,10,8,8,8,7,10,9,68,49
B6XUHLVUZ,ればにら,RFYKY8DCD,LA.LA.LA,15,75,23002000,9,9,9,10,9,9,10,9,74,55
1FREY7CCF,ぱむぱむ,HE0GK3EPE,瑞蓮プロカ倶楽部,15,76,22953000,7,7,7,7,7,8,10,8,61,43
8GYTX89XA,桂木しづみ,,,15,77,22951500,7,10,7,7,7,7,10,8,63,45
DRSNNTTME,もや,YE7CX8RNP,蓮ノ大三十角ex,4,78,22946500,8,10,6,6,7,6,10,9,62,43
VGWT7LCX7,ZUC,2VB9FPCTL,音ゲー待機室,12,79,22908500,8,10,7,8,8,8,5,4,58,49
L6A36K16J,なりり(本物),FK5MUK0ET,くる♡すきクラブ,12,80,22898000,6,10,7,6,10,6,6,6,57,45
DEVDG82YE,ジョーくん,N0EXH1CM1,ぱちぱち徒町,9,81,22888500,10,10,10,10,10,10,10,10,80,60
IEM5ZNZ0W,Xenos,GXR6C85BT,花帆ちゃん親衛隊,9,82,22880500,9,9,8,8,8,8,10,6,66,50
M30MWLT24,ゆあゆあ,05KN1RR3U,さやかほ花卉園,15,83,22874000,9,10,8,9,8,6,10,9,69,50
76L1SWWX0,カプ・デカホ,GXR6C85BT,花帆ちゃん親衛隊,15,84,22859000,8,10,8,8,8,9,9,8,68,51
JAG81QH05,たらみ,GXR6C85BT,花帆ちゃん親衛隊,10,85,22858000,9,10,8,8,8,7,8,7,65,50
M8KSSVGQS,辛味チキン,2VB9FPCTL,音ゲー待機室,15,86,22842500,8,10,7,8,7,8,10,7,65,48
U7NEBV4KH,こーど,,,15,87,22837000,7,10,7,7,7,7,9,7,61,45
M13CTUF6N,ニール,49AMYCXCD,ルドベキア,15,88,22793000,8,10,7,9,8,8,10,8,68,50
DES39P1DL,ェダ,B5V2LNN43,WMW,14,89,22789000,6,10,7,7,7,6,5,5,53,43
02DY8MLAP,蓮き,YFADYJVW4,FPS好きクラブ,15,90,22765000,8,10,9,9,9,9,10,9,73,54
H4VR0D1DV,そー,WN5B7VKPU,きんぴられんこん,11,91,22754000,8,10,9,8,8,8,10,8,69,51
4F1HIHA3J,きびだんごうどん,11FB0EDDT,スクステ同好会,15,92,22751500,7,9,7,7,7,7,9,8,61,44
NC6WJYFVX,でら,1BME38BCD,さすさやクラブ,15,93,22744500,6,10,6,6,6,6,5,5,50,40
MEGKKH1W5,17,HE0GK3EPE,瑞蓮プロカ倶楽部,15,94,22730000,8,9,7,7,8,8,10,8,65,47
7RODEB74T,しよー,RWARTHA1M,乙宗梢大好き部,15,95,22726500,6,10,7,7,8,6,8,6,58,44
CZKJL4VOV,リリエンフェル党,M5LHG6R4T,乙宗動物園,15,96,22707500,7,9,7,7,7,8,10,6,61,45
6X3LMM5NH,ズライカ,X7C21B7H7,泥,15,97,22687500,8,8,8,8,8,8,10,7,65,48
XTY4GG18V,こーりん,1BME38BCD,さすさやクラブ,15,98,22631500,7,10,6,7,7,7,7,5,56,44
7Q17H65NQ,mitsu,YE7CX8RNP,蓮ノ大三十角ex,15,99,22603000,7,9,6,7,6,8,9,6,58,43
Y2LLTQ4MF,Lautrum,M5LHG6R4T,乙宗動物園,15,100,22602500,9,8,7,9,7,8,10,8,66,48
KWNXKNY6X,応愛こず,49AMYCXCD,ルドベキア,15,101,22589000,8,9,8,8,8,7,8,2,58,48
8OJ4K93MD,コロ,HBUK6F7CC,乙宗梢なりきり部,15,102,22582000,7,7,7,7,7,7,10,5,57,42
8Q0P3A5Y5,よしお,CM5THHYHB,「」ノ空だけれど,15,103,22540500,8,10,8,8,8,7,7,6,62,49
ON66GC85Z,ミツボシ,JTX1G19BP,さやかほ癒し会,15,104,22508500,6,7,6,7,6,7,10,8,57,39
EMFP5HG3T,さりっく,GXR6C85BT,花帆ちゃん親衛隊,15,105,22479500,8,8,7,7,8,8,10,7,63,46
PG3THEV4C,あお,EYN9H9N16,蓮すきすきクラブ,10,106,22477500,8,9,6,6,6,6,8,6,55,41
V6X4BPJ37,SHIRO,G59NGM0XA,シュリーレン,15,107,22454500,10,10,8,10,10,8,10,5,71,56
30CWC728L,naonao,2K5AM4RV0,とろぺりです,4,108,22441500,8,10,9,8,9,8,8,8,68,52
4NF07ZA7K,ゆーさく,VW65MCVF8,スリスリーズ,15,109,22432500,9,10,8,9,8,8,10,10,72,52
W51RD80OU,赤飯のごま塩,49AMYCXCD,ルドベキア,15,110,22431500,7,10,7,7,7,7,8,7,60,45
KN3FIHXL7,トミィ,RFYKY8DCD,LA.LA.LA,9,111,22412000,8,8,9,8,9,8,10,7,67,50
0DKJN8WXG,ごまッチョ,GXR6C85BT,花帆ちゃん親衛隊,14,112,22388350,9,10,9,9,9,10,10,8,74,56
JVDRVFFBP,たなばた野郎,EYN9H9N16,蓮すきすきクラブ,15,113,22366500,6,7,6,6,6,6,10,4,51,37
7TAQGMS8W,ゆる,PBRDPWEY1,村村会,15,114,22363000,6,9,7,7,7,6,8,6,56,42
RRW2O1DH8,ふかひれ,49AMYCXCD,ルドベキア,15,115,22312000,7,9,7,7,8,7,10,7,62,45
L71LEGR49,かんなぎ,3BDTCERX6,打ち返した流れ星,15,116,22299500,8,9,8,7,7,7,10,7,63,46
6NJM4GUG6,Sea,VW65MCVF8,スリスリーズ,6,117,22297500,7,6,6,6,6,6,10,9,56,37
ODE064I6J,ちあき,M5LHG6R4T,乙宗動物園,12,118,22296000,8,8,6,8,6,7,9,4,56,43
N6KDBV2A2,ハンバーグ,7R8NKPAB1,花帆推し倶楽部,15,118,22296000,9,10,10,8,9,8,10,8,72,54
G25EXFDYH,いかずちさんだー,25PMPEMG7,星見プロ,7,120,22294500,7,9,7,6,9,6,8,5,57,44
4KFUM6ADN,ねくすと,M5LHG6R4T,乙宗動物園,15,121,22286000,7,10,8,8,7,7,6,5,58,47
64M70NFSR,いなば,VW65MCVF8,スリスリーズ,15,122,22272500,10,6,6,7,6,7,10,7,59,42
