player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,grade pt,塞拉斯,泉,花帆,姬芽,小铃,瑠璃乃,さやか,吟子,季度等级,104季度等级
Y2LLTQ4MF,Lautrum,M5LHG6R4T,乙宗動物園,15,107,44850000,3915,10,8,8,7,7,8,9,9,66,48
0DKJN8WXG,ごまッチョ,GXR6C85BT,花帆ちゃん親衛隊,14,108,44779350,3914,10,8,10,9,9,10,9,9,74,56
W4E0R6NA9,そらをとぶ,0TKFF5EG3,サークル名募集中,15,109,44748000,3914,10,8,8,7,7,8,7,7,62,44
8Q0P3A5Y5,よしお,CM5THHYHB,「」ノ空だけれど,15,110,44729500,3913,7,6,10,8,8,7,8,8,62,49
BJ2YEFM93,テンババア,EYN9H9N16,蓮すきすきクラブ,15,111,44718000,3912,6,6,10,7,7,7,8,8,59,47
W51RD80OU,赤飯のごま塩,49AMYCXCD,ルドベキア,15,112,44717000,3911,8,7,10,8,8,8,8,8,65,50
30CWC728L,naonao,2K5AM4RV0,とろぺりです,4,113,44698500,3911,8,8,10,9,9,8,8,8,68,52
7TAQGMS8W,ゆる,PBRDPWEY1,村村会,15,114,44632500,3910,8,6,9,7,7,6,7,6,56,42
U0L572GGD,ガリィ,F2CFWVMY9,藤島め組,15,115,44620000,3909,10,8,5,6,6,8,8,6,57,39
ON66GC85Z,ミツボシ,JTX1G19BP,さやかほ癒し会,15,116,44562000,3909,10,8,7,6,6,7,7,6,57,39
4KFUM6ADN,ねくすと,M5LHG6R4T,乙宗動物園,15,117,44551500,3908,6,5,10,7,8,7,8,7,58,47
67GP30NUW,yuba,11FB0EDDT,スクステ同好会,13,118,44533500,3907,9,6,10,6,8,7,9,9,64,49
EMFP5HG3T,さりっく,GXR6C85BT,花帆ちゃん親衛隊,15,119,44510500,3907,10,7,8,8,7,8,7,8,63,46
G25EXFDYH,いかずちさんだー,25PMPEMG7,星見プロ,7,120,44448000,3906,8,5,9,9,7,6,6,7,57,44
6NJM4GUG6,Sea,VW65MCVF8,スリスリーズ,6,121,44442500,3905,10,9,6,6,6,6,6,7,56,37
RRW2O1DH8,ふかひれ,49AMYCXCD,ルドベキア,15,122,44432500,3905,10,7,9,8,7,7,7,7,62,45
QUQRGUWJL,にしおり,49AMYCXCD,ルドベキア,15,123,44425500,3904,8,6,10,7,7,6,7,7,58,44
KN3FIHXL7,トミィ,RFYKY8DCD,LA.LA.LA,9,123,44425500,3904,10,7,8,9,9,8,8,8,67,50
NY9X4SWNC,くりマロン,,,15,125,44403500,3903,10,7,8,7,8,9,8,7,64,47
8ZJCO1B8D,セラスリーズ,VW65MCVF8,スリスリーズ,7,126,44400000,3902,10,6,6,7,7,6,6,10,58,42
M6J593C9W,うらかつ,0TKFF5EG3,サークル名募集中,15,127,44334500,3901,10,6,7,8,9,9,8,7,64,48
V6X4BPJ37,SHIRO,G59NGM0XA,シュリーレン,15,128,44308500,3901,10,5,10,10,8,8,10,10,71,56
9RV301LEB,いもむし,GXR6C85BT,花帆ちゃん親衛隊,15,129,44233500,3900,10,5,7,7,7,7,7,7,57,42
64M70NFSR,いなば,VW65MCVF8,スリスリーズ,15,130,44227500,3899,10,7,6,6,6,7,7,10,59,42
S1JO65QZU,すと。,PBRDPWEY1,村村会,9,131,44225000,3899,5,5,10,5,5,5,9,9,53,43
EQOU1ZZS7,セラセラース,VW65MCVF8,スリスリーズ,15,132,44214500,3898,10,6,6,6,7,6,6,6,53,37
5UT1FEC2R,みけ,N1DJVPGP8,いつでも咲けるよ,4,133,44148500,3897,10,7,7,9,7,9,8,6,63,46
L13896J13,XLD,NC2YT2V28,蓮之愛同予者何人,15,134,44097500,3897,10,7,7,9,9,7,7,8,64,47
FYK24K9Y1,卓球,HBUK6F7CC,乙宗梢なりきり部,15,135,44079500,3896,10,7,8,8,8,8,8,8,65,48
ODE064I6J,ちあき,M5LHG6R4T,乙宗動物園,12,136,44068000,3896,9,4,8,6,6,7,8,8,56,43
GVYNT65U1,スバるん,YE7CX8RNP,蓮ノ大三十角ex,15,137,44064500,3895,4,5,10,8,9,8,9,9,62,53
GUUN5GB0W,むうげ,BKUHCT7WF,蓮女お嬢様部,12,138,44031000,3894,10,8,10,8,8,8,8,8,68,50
LKY79HKFR,シラス柳田リリエ,HE0GK3EPE,瑞蓮プロカ倶楽部,8,139,43995500,3894,10,5,10,5,5,7,8,9,59,44
FRTXRTHK1,コルド,49AMYCXCD,ルドベキア,15,140,43982000,3893,10,7,9,7,6,7,8,7,61,44
3Q65ASSTC,ほうがく,YE7CX8RNP,蓮ノ大三十角ex,15,141,43967000,3892,9,7,10,7,7,7,8,7,62,46
MGGGX0GH1,石もふ,VW65MCVF8,スリスリーズ,15,142,43939500,3892,9,7,10,8,6,6,7,6,59,43
PFLJMTJPB,カリウム,RXXUPMWB9,待機室跡地観測所,9,143,43923000,3891,10,10,10,10,10,10,10,10,80,60
OOC27PRN6,リリィ,,,2,144,43908500,3890,7,6,10,8,7,6,7,8,59,46
5K59F4UVE,ガチャ至上主義,11FB0EDDT,スクステ同好会,15,145,43879500,3890,10,8,6,7,6,8,6,7,58,40
ZHVYQOXPW,たかやん,VW65MCVF8,スリスリーズ,15,146,43876500,3889,8,8,10,8,6,8,7,8,63,47
KYXUCDX5P,米豆梨（みどり）,9YM3DBTB7,泥民館,4,147,43844500,3888,10,8,8,8,8,8,9,9,68,50
ND6DAW05J,パトリシア,M5LHG6R4T,乙宗動物園,15,148,43812500,3888,10,7,7,7,7,7,9,7,61,44
FYG0EH5AJ,R’s八重歯,W26TRPM1R,めぐ党藤島派,15,149,43788000,3887,9,7,10,10,9,9,10,9,73,57
LXROXCRPX,たな,RFYKY8DCD,LA.LA.LA,15,150,43777500,3887,8,6,10,8,9,7,9,9,66,52
YIGSDJFDL,あっきー,YCTM6RYDP,金沢おでん同好会,15,151,43765200,3886,5,5,10,7,5,5,6,8,51,41
8E70ID58F,あるとす,WN5B7VKPU,きんぴられんこん,15,152,43746000,3885,10,6,8,8,8,8,8,8,64,48
QOE50Z9JA,フェス,49AMYCXCD,ルドベキア,15,153,43735500,3885,10,7,10,8,8,9,9,8,69,52
7PLTVA4SD,どんきちうどん,M5LHG6R4T,乙宗動物園,4,154,43704000,3884,10,4,10,8,9,8,7,7,63,49
HY934N56T,ゆ、指輪！？！？,V4A5MP41E,徒町チャレンジ！,10,155,43688000,3883,8,6,10,7,7,7,7,7,59,45
JIKYKGGNX,ぬー,HBUK6F7CC,乙宗梢なりきり部,15,156,43686000,3883,10,8,8,7,7,8,8,7,63,45
W0WYHMBR4,リョータ,3BDTCERX6,打ち返した流れ星,13,157,43684500,3882,8,6,10,6,7,7,7,10,61,47
J4NN3D06A,斯波,,,15,158,43683305,3882,10,9,10,7,8,9,10,8,71,52
152BPF239,たると,YE7CX8RNP,蓮ノ大三十角ex,10,159,43678500,3881,7,7,10,7,7,8,9,7,62,48
V4BF6FLLT,あめたま,2K5AM4RV0,とろぺりです,10,160,43659000,3880,8,5,10,8,8,8,9,8,64,51
9LL7HBP0W,ALKY,X7C21B7H7,泥,15,161,43629500,3880,9,7,10,7,7,8,8,7,63,47
45NY6HUBX,かいこ,25PMPEMG7,星見プロ,14,162,43626000,3879,7,4,10,7,8,8,7,7,58,47
