player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,塞拉斯,花帆,姬芽,瑠璃乃,吟子,小铃,泉,さやか,季度等级
FRTXRTHK1,コルド,49AMYCXCD,ルドベキア,15,142,7327000,7,6,7,7,7,6,7,7,54
NY9X4SWNC,くりマロン,,,15,143,7325000,8,7,7,7,7,7,7,7,57
4TIMH0CPX,ソフール,KXB93FVTR,フラワーガーデン,15,144,7324500,8,6,6,6,8,7,9,9,59
152BPF239,たると,YE7CX8RNP,蓮ノ大三十角ex,10,145,7321000,6,9,6,8,6,6,6,8,55
7A2IGCZZY,のぐまん,RFYKY8DCD,LA.LA.LA,7,146,7314500,6,6,6,6,6,6,6,6,48
LKY79HKFR,シラス柳田リリエ,HE0GK3EPE,瑞蓮プロカ倶楽部,8,147,7306500,9,7,5,7,7,5,5,7,52
G25EXFDYH,いかずちさんだー,25PMPEMG7,星見プロ,7,148,7297500,5,6,9,6,7,7,5,6,51
22F9H0NK0,かじみん,JTX1G19BP,さやかほ癒し会,15,149,7296000,6,6,6,6,7,6,6,7,50
WIN8KLGAN,もり,1BME38BCD,さすさやクラブ,3,150,7291000,8,7,7,7,7,7,8,7,58
MGGGX0GH1,石もふ,VW65MCVF8,スリスリーズ,15,151,7286000,7,6,8,6,6,6,7,7,53
DE7022HYW,ルビー,RFYKY8DCD,LA.LA.LA,12,152,7283000,9,7,8,7,6,7,9,7,60
ND6DAW05J,パトリシア,M5LHG6R4T,乙宗動物園,15,153,7280500,8,6,6,7,6,6,7,9,55
LDLTRQ88V,しらたま,YCTM6RYDP,金沢おでん同好会,15,154,7278000,10,7,6,7,7,6,6,7,56
ZWGHFBK3S,DSsuzu,YCTM6RYDP,金沢おでん同好会,15,154,7278000,5,7,7,7,6,7,5,7,51
LVRF4GDVF,るびたぬ,VW65MCVF8,スリスリーズ,15,154,7278000,8,5,5,5,5,5,6,5,44
49TUEFEKF,もふもふまじん,V6VCA0C4N,ドル家の『D』,15,157,7277500,6,5,5,5,7,5,6,8,47
CW1IJ4VQU,ALOMA,YE7CX8RNP,蓮ノ大三十角ex,3,158,7274000,7,7,6,7,6,8,4,7,52
FCED0MOWI,つかべん,RWARTHA1M,乙宗梢大好き部,15,159,7273500,8,7,7,7,9,7,8,7,60
8ZJCO1B8D,セラスリーズ,VW65MCVF8,スリスリーズ,7,160,7272500,6,5,5,5,10,5,5,6,47
DUGKFJTKX,松山 祐季,NK8CTXAEA,蓮ノ空卓球部,15,161,7265000,7,8,8,9,8,8,8,8,64
19KYGA4WX,ココ,25PMPEMG7,星見プロ,15,162,7259500,8,8,7,8,8,8,7,8,62
8E70ID58F,あるとす,WN5B7VKPU,きんぴられんこん,15,163,7257500,10,6,7,7,7,7,5,7,56
8YL7FPM4D,Pカッパー,FK5MUK0ET,くる♡すきクラブ,15,164,7256500,6,5,9,8,9,7,8,8,60
RBOS9CUIB,たわ,W3YKKRWHG,ルリと愉快な一家,15,165,7255500,8,7,6,8,7,6,8,7,57
PG3THEV4C,あお,EYN9H9N16,蓮すきすきクラブ,10,166,7253000,6,6,6,6,8,6,6,6,50
9LL7HBP0W,ALKY,X7C21B7H7,泥,15,166,7253000,7,7,7,7,7,7,7,7,56
L2DNOMKBV,レーン,0TKFF5EG3,サークル名募集中,13,168,7252500,7,7,7,8,7,7,7,8,58
P4BD94K88,ﾛｰﾗ･ﾘﾙﾚ,HE0GK3EPE,瑞蓮プロカ倶楽部,15,169,7248500,6,5,5,5,6,5,6,5,43
ME00V6X4B,オラトニス,PBRDPWEY1,村村会,15,170,7246500,5,5,7,6,7,7,6,6,49
4N9BBW8FA,レベレンドX,PDMPF3VVV,r/LL,15,171,7245500,7,10,6,8,7,6,7,7,58
7JNX2DBCM,おぎくぼ,11FB0EDDT,スクステ同好会,11,172,7243500,8,5,7,5,7,6,6,6,50
GVYNT65U1,スバるん,YE7CX8RNP,蓮ノ大三十角ex,15,173,7240000,3,7,8,8,8,9,4,8,55
6PNANEUV0,なの,WN5B7VKPU,きんぴられんこん,15,174,7237500,5,6,7,6,7,6,5,6,48
V45G4Y8ER,ニッケル,GXR6C85BT,花帆ちゃん親衛隊,15,175,7234500,6,8,7,7,8,7,6,8,57
W0WYHMBR4,リョータ,3BDTCERX6,打ち返した流れ星,13,176,7231000,7,6,6,6,9,6,6,7,53
M6J593C9W,うらかつ,0TKFF5EG3,サークル名募集中,15,177,7228000,6,7,7,9,7,9,6,7,58
AL804BYBX,はなぶさ,YE7CX8RNP,蓮ノ大三十角ex,15,177,7228000,8,6,6,5,5,5,8,6,49
VD8CGKV44,のたく,79C17CHA2,蓮ノ空出張部,14,179,7224500,7,7,6,7,8,7,6,7,55
YVGO9EHKS,やたペン,HBM31HMUY,YUKIZURI,15,180,7223500,5,6,7,7,8,7,5,7,52
9RV301LEB,いもむし,GXR6C85BT,花帆ちゃん親衛隊,15,181,7223000,10,5,6,6,7,6,5,5,50
D47ZTCSNE,与謝野ユキオ,HBUK6F7CC,乙宗梢なりきり部,0,182,7220500,6,6,6,6,7,6,6,7,50
LEEU9JZFJ,きりんちゃん,49AMYCXCD,ルドベキア,15,183,7218000,9,5,5,4,6,10,2,10,51
ZUIWXH7GR,オバタさん,DEBX34M9U,のっぽさん,15,184,7217000,8,7,8,7,8,7,7,8,60
K8XEDFZF2,だいこんばたけ,8R49BTWW6,蓮女お嬢様クラブ,11,185,7213000,6,6,6,6,7,6,6,7,50
C9DT5IUUS,みしゃにー,NDFW9C99C,蓮じらし,12,186,7210500,8,8,7,7,8,7,8,7,60
BJ2YEFM93,テンババア,EYN9H9N16,蓮すきすきクラブ,15,187,7209000,5,7,7,7,7,7,6,8,54
FN9BYATDE,EVO,11FB0EDDT,スクステ同好会,9,188,7205500,6,6,6,6,7,6,6,6,49
QOE50Z9JA,フェス,49AMYCXCD,ルドベキア,15,189,7204000,10,7,7,8,8,7,6,7,60
8DM3VEOM6,のん,GVT61ATX0,なのだけれど,11,190,7202500,3,7,7,7,10,7,4,7,52
