player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,A分数,A rank,B分数,B rank,C分数,C rank,姬芽,泉,さやか,花帆,瑠璃乃,小铃,吟子,塞拉斯
T4A6WVL36,キングクルール,,,0,15850,3093460,,,,,,,1,1,1,1,1,1,1,1
MRFNU8UFP,じょじょざっく,,,0,15851,3093240,59186666.0,13223.0,298018450.0,12118.0,,,1,4,1,1,1,1,1,4
CYUCLM972,僕らい,,,0,15852,3093230,56238956.0,13276.0,307851069.0,12067.0,,,1,1,1,3,1,1,1,1
DC4CED312,ひめぎん,,,0,15853,3092925,,,,,,,2,1,4,4,2,1,1,1
H5K8ZTPCD,かいわれ,XY11YD61J,車団団,0,15854,3092860,,,,,,,1,1,1,1,1,1,1,1
C21L92Y19,メトロ,MD802VP2H,専門演習F4,0,15855,3092825,85002076.0,12696.0,180461137.0,12729.0,,,1,1,1,1,1,1,4,4
DDNAV94LA,DGriphon,,,0,15856,3092760,136379386.0,11891.0,45309883.0,13549.0,,,1,1,2,4,1,1,1,7
VXKU7PNY2,かっぱ,8WRERP3MJ,ゆっくりよわよわ,0,15857,3092740,,,,,,,1,1,4,2,1,1,2,1
03F7RP6KC,どっと-さんま-,ETAMCYHME,蓮ノ空お昼寝部,0,15857,3092740,128719614.0,11980.0,63309789.0,13464.0,,,1,1,1,1,1,1,1,1
BAK27FTK1,ケットシー,YVFP54NA2,無言OK！,0,15859,3092480,,,,,171972974.0,12220.0,4,4,1,2,1,4,2,7
LJNN5DVN7,黒髪,,,0,15860,3092430,57139254.0,13255.0,273018448.0,12248.0,,,1,4,1,1,1,1,1,4
93YX8UDF6,izuan,KPVJD4A1H,WINS金沢,0,15861,3092240,48232096.0,13435.0,,,193569466.0,12093.0,1,4,2,1,1,1,1,4
JGTHB35F6,康介,HDD9DJVTB,Lotusky,0,15862,3092120,,,,,,,1,1,1,1,1,1,1,5
