player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,花帆,小铃,さやか,瑠璃乃,姬芽,吟子,泉,塞拉斯,季度等级,104季度等级
M6J593C9W,うらかつ,0TKFF5EG3,サークル名募集中,15,129,36868500,7,9,8,9,8,7,6,10,64,48
8ZJCO1B8D,セラスリーズ,VW65MCVF8,スリスリーズ,7,130,36835500,6,7,6,6,7,10,6,10,58,42
S1JO65QZU,すと。,PBRDPWEY1,村村会,9,131,36811000,10,5,9,5,5,9,5,5,53,43
FYK24K9Y1,卓球,HBUK6F7CC,乙宗梢なりきり部,15,132,36798500,8,8,8,8,8,8,7,10,65,48
GVYNT65U1,スバるん,YE7CX8RNP,蓮ノ大三十角ex,15,133,36795000,10,9,9,8,8,9,5,4,62,53
64M70NFSR,いなば,VW65MCVF8,スリスリーズ,15,134,36737000,6,6,7,7,6,10,7,10,59,42
L13896J13,XLD,NC2YT2V28,蓮之愛同予者何人,15,135,36724500,7,9,7,7,9,8,7,10,64,47
EQOU1ZZS7,セラセラース,VW65MCVF8,スリスリーズ,15,136,36703000,6,7,6,6,6,6,6,10,53,37
5K59F4UVE,ガチャ至上主義,11FB0EDDT,スクステ同好会,15,137,36696500,6,6,6,8,7,7,8,10,58,40
GVNJDLBW8,皇帝ペンギン1号,LHXNEF3D5,まるまるサークル,11,138,36689000,6,7,6,5,5,5,5,10,49,34
GUUN5GB0W,むうげ,BKUHCT7WF,蓮女お嬢様部,12,139,36684000,10,8,8,8,8,8,8,10,68,50
LKY79HKFR,シラス柳田リリエ,HE0GK3EPE,瑞蓮プロカ倶楽部,8,140,36675500,10,5,8,7,5,9,5,10,59,44
PFLJMTJPB,カリウム,RXXUPMWB9,待機室跡地観測所,9,141,36630500,10,10,10,10,10,10,10,10,80,60
5UT1FEC2R,みけ,N1DJVPGP8,いつでも咲けるよ,4,142,36630000,7,7,8,9,9,6,7,10,63,46
ZHVYQOXPW,たかやん,VW65MCVF8,スリスリーズ,15,143,36580000,10,6,7,8,8,8,8,8,63,47
