player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,A分数,A rank,B分数,B rank,C分数,C rank,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级,104季度等级
MC8L7AX2W,ジャベリン宮田,FJMA5BPPE,蓮ノ空すきすき部,0,8726,2783450,180194461816.0,8323.0,36489051944.0,8597.0,17658700250926.0,6635.0,9,9,8,2,5,2,4,8,47,35
J8KMXPAX5,まきお*,0CEA9XFKR,蓮ノ空の泥人会,0,8727,2783387,4458468481221.0,5991.0,10036677313149.0,5417.0,1799731674710.0,7980.0,6,8,7,6,9,2,5,8,51,38
FZ3HI1NYS,てぃもうさ,J0N1E3Y09,月火水木金土日,0,8728,2782000,355225666568.0,7882.0,536012695218.0,7276.0,1476124221309.0,8091.0,5,10,6,8,8,6,7,9,59,43
MG9OXO6MR,小原鞠莉,1UBNNHVLG,蓮箱推し（仮）,2,8729,2781750,283017026809.0,8051.0,1741206397011.0,6460.0,915129938219.0,8366.0,2,10,5,4,8,7,7,10,53,36
AGE515J84,まる,E6WR9G75P,安養寺姫芽推し会,0,8730,2781350,275800820280.0,8066.0,297666386997.0,7661.0,779746571041.0,8453.0,5,10,8,1,10,3,1,6,44,37
KWVCK1KA9,座敷よねよね,PJN52E7JX,ひよっこ,1,8731,2780900,213117200020.0,8218.0,1088112825360.0,6804.0,2217121036784.0,7853.0,4,10,6,5,7,4,5,8,49,36
0RRU916UV,唯ちゃん,BKUHCT7WF,蓮女お嬢様部,2,8732,2780770,342801229.0,12101.0,681900811518.0,7113.0,75274704610506.0,5250.0,6,8,9,6,8,5,7,8,57,42
AGNY1A44A,へなちょこ,394UG5LNY,行ってらっしゃい,2,8733,2780400,124606683818.0,8502.0,1549641717620.0,6550.0,5796100475524.0,7284.0,7,9,9,6,7,6,7,7,58,44
9024T5RV2,アイプリ57話,KND3T7056,ぽかぽかモガの村,8,8734,2780122,8641833864.0,9608.0,1127169982467.0,6777.0,1866695431130.0,7954.0,5,3,2,6,8,5,7,9,45,29
UEHS8GPM9,フブ,MVRFVTGU6,無言&出入り自由,2,8735,2779987,334332706583.0,7933.0,54925300745.0,8450.0,20061993001813.0,6539.0,5,8,7,7,5,4,7,7,50,36
J1W38K38L,/μ/Jason,546E85JGG,月猫ぱーく！！！,7,8736,2779500,273962001259.0,8069.0,776497407561.0,7021.0,1186088119317.0,8218.0,7,9,8,7,10,6,7,7,61,47
6PEXKRVFE,伴　蓮弘,6JCMUJX7E,同輩,1,8737,2779200,635424560581.0,7476.0,426097616513.0,7441.0,1028717061722.0,8301.0,3,10,8,4,8,6,7,8,54,39
0VQSAJ8ZL,れんこん,BBNEWB1UA,蓮ノ空紅茶部,14,8738,2777950,125317959446.0,8500.0,24129904761.0,8735.0,6228118895109.0,7244.0,10,10,10,8,10,8,10,10,76,56
Y82F962XV,和奏,7UX6117P2,重曹圖書館,9,8739,2776550,236661603600.0,8158.0,476196842057.0,7363.0,535351512514.0,8634.0,9,10,10,6,7,6,4,7,59,48
5DMKM5EVL,173,NY54H2A8T,日本めぐ党,0,8740,2775918,14342255191.0,9354.0,2933224119189.0,6157.0,1493555489625.0,8081.0,7,7,8,6,7,1,4,7,47,36
PHP2TF1HR,Yuino,BXHG2KXAD,idol.st,8,8741,2775800,747512346834.0,7357.0,288048120459.0,7681.0,4883703885459.0,7385.0,9,8,9,8,7,9,9,5,64,50
PTXCBKWO2,Rr,HK0E91U71,放課後写真部,1,8742,2774161,,,,,,,3,6,6,7,9,5,8,9,53,36
FSMWNS12O,まじゅ,DULFP3TRN,めぐ党員の部屋,2,8743,2774012,,,,,,,6,9,6,7,7,6,4,7,52,41
RPK48P5X9,みずゆう,PH0YEPJD8,蓮ノ空北國金沢校,3,8744,2773374,916719475128.0,7185.0,61948810546.0,8405.0,9354155463291.0,7002.0,6,9,8,5,8,5,7,9,57,41
JXD4N9BAM,マックル,JFNKGWBVV,ダブルマック,6,8745,2773235,644753272790.0,7466.0,3547342475.0,9688.0,991863408017.0,8323.0,6,7,6,4,5,7,7,7,49,35
73MD83B04,干潟デス,PV0H53DEC,Leave me,1,8746,2773140,192722002450.0,8274.0,1006166422716.0,6845.0,275691869827.0,8907.0,4,8,6,4,8,4,4,8,46,34
XWRVJ7WF7,rinsessa,FG4170141,♪さやか愛好会♪,0,8747,2772575,595249703835.0,7536.0,195654071009.0,7899.0,909485700995.0,8368.0,6,10,3,4,10,1,1,2,37,34
62QHSCDVS,しぐま,9U8KNU6U9,対抗戦用,3,8748,2772500,11293896249926.0,5286.0,14573553610318.0,5147.0,30632748626569.0,6227.0,7,6,6,1,5,1,8,10,44,26
J6EK8H0MR,ゆうちょ,YNR28303K,りんくらぶ,2,8749,2772266,,,,,,,5,9,7,6,8,5,1,2,43,40
4R386HDXY,眼鏡,R3UE4PGCE,うさぎ小屋,0,8750,2772262,5242346793637.0,5881.0,7082463088555.0,5661.0,20543950466117.0,6523.0,4,2,2,1,4,1,1,1,16,14
KR59L23MD,なな,E0JM59N1E,花咲梢,0,8751,2771850,547441284557.0,7597.0,516123286842.0,7312.0,1211488568115.0,8202.0,10,8,6,4,8,7,7,8,58,43
R13OARJ8A,Alex_Rin,18YYNRFGA,LotusSky,0,8752,2771577,77044793137.0,8684.0,21547232431.0,8774.0,23353304719545.0,6424.0,7,10,10,6,9,7,5,7,61,49
JPUCRAAZ0,はなぽこ,HBCC35887,そりゃー!!!,7,8753,2771000,110404845217.0,8560.0,330570181190.0,7597.0,2148758490011.0,7867.0,10,10,10,3,10,6,6,8,63,49
0WKAX4ED9,と〜る,R2AU5KW91,蓮ノ空無限加速部,1,8754,2770811,1092581020071.0,7043.0,278036741553.0,7701.0,786299606228.0,8446.0,1,3,2,1,1,1,1,1,11,9
7U81AJ05E,絆,AAHB7C276,HaCordVN,0,8755,2770385,4366727044.0,10013.0,4933629341478.0,5869.0,35309119927775.0,6116.0,2,6,7,3,2,2,1,2,25,22
58KNKGEHN,れんこ,AVX749PPB,姫芽ちゃん親衛隊,0,8756,2769836,,,871705559636.0,6951.0,3263186979735.0,7617.0,6,7,8,6,4,4,5,8,48,35
MAH780W6U,ろな,BKUHCT7WF,蓮女お嬢様部,0,8757,2768206,1002977131787.0,7110.0,3660150514521.0,6040.0,41641555258770.0,5938.0,6,6,8,7,8,5,5,8,53,40
28A26DM5W,いなずさ,PH0YEPJD8,蓮ノ空北國金沢校,2,8758,2768200,351383831502.0,7897.0,528987090912.0,7288.0,1688370042892.0,8016.0,6,8,10,10,9,8,6,5,62,51
FUWKK2F57,T橋,LLDLG20UU,UR取り隊,2,8759,2767786,487244868277.0,7686.0,65548058026.0,8385.0,12039524069736.0,6874.0,6,9,5,3,9,2,2,2,38,34
M78REGYTY,みど,WX1DYC9Y1,ラナンキュラス,3,8760,2767638,,,,,,,6,7,6,5,8,7,6,8,53,39
1KF25J19H,まっきー,0NLHKATWL,生きてるだけ偉い,0,8761,2766450,703542589543.0,7398.0,477440435198.0,7359.0,1212002836126.0,8201.0,10,10,10,10,10,10,10,10,80,60
2QUMUYSCN,コキャーマ,71U58RMK3,蓮ノ空長野支部,5,8762,2766262,112600599017.0,8553.0,476148309574.0,7364.0,4575738431024.0,7421.0,7,7,8,5,7,5,7,9,55,39
YBBG3SHRJ,む〜ん,9VDEWVP01,瑠璃乃の集い,4,8763,2765450,547772848370.0,7596.0,321495423858.0,7612.0,2123814286004.0,7879.0,8,9,7,6,7,4,7,8,56,41
Y5RTHZ7EV,幸せの青い手拭い,5YXVKDEKV,サークル(仮),0,8764,2764500,38282481990.0,8957.0,600724853809.0,7193.0,2441032356146.0,7796.0,5,9,8,3,7,6,1,1,40,38
701WFGVYP,ひろきち,R801YPW1C,さっぱり塩ダレ,2,8765,2763050,270708544090.0,8079.0,92994558758.0,8237.0,7523753098783.0,7138.0,7,9,9,6,7,7,7,8,60,45
TNF32G80P,ゆゆゆ,6KUYCDLGR,かよちんは宇宙,2,8766,2762962,848915618081.0,7255.0,828854583736.0,6989.0,717709625267.0,8495.0,9,10,10,7,9,8,8,9,70,53
BJSVZ9WDU,シア,EEP20F2M8,綴理の綴り,0,8767,2762586,320626019844.0,7969.0,334271623405.0,7589.0,4986754220661.0,7371.0,4,7,7,8,8,7,7,9,57,41
360HD65ED,かいせんどん,JU71U26N3,目指すは上位帯,1,8768,2762350,346940347601.0,7906.0,294201303523.0,7666.0,1372140646384.0,8138.0,2,1,2,2,1,2,2,3,15,10
UPGXXWLLP,すず,T48KV9EP2,無言ぱーく,1,8769,2762289,,,,,,,1,5,2,1,1,1,1,1,13,11
2R7A1GAWJ,あわ,2JVBK752G,卍愛蓮説卍,0,8770,2760310,,,,,,,5,3,6,2,1,2,1,1,21,19
LUNL3885T,零,XHJLF3R8H,ゆったりプレイ,4,8771,2759699,,,,,,,8,10,6,1,7,5,5,4,46,37
MP505MLEV,わらび,2JK7E4115,ラ！推し,6,8772,2759500,,,,,,,7,7,7,10,10,7,5,10,63,48
CA3PEGT3B,きいす,TK9E1BB1P,無言で自由,8,8773,2758950,168843171968.0,8352.0,157265362923.0,8017.0,2791418569984.0,7720.0,10,10,10,9,10,8,8,9,74,57
G8J92XYF7,チョコザイ,EJY6B26D1,After見たい,0,8774,2758100,629342957492.0,7483.0,448878412065.0,7402.0,773008123228.0,8461.0,7,6,9,6,5,4,4,4,45,37
60HF6MPEV,Eatfan,26JDLMBLN,徒町は強く生きる,0,8775,2757150,541566103042.0,7606.0,299379367458.0,7660.0,328132057416.0,8831.0,5,10,8,5,10,7,4,6,55,45
F8B6BNFEW,小春,3A63DYH54,LLすこすこ部,3,8776,2757074,,,,,,,7,10,9,7,9,4,8,10,64,46
V5CUIKT4V,しゃも,FMKP92LRL,目が霞む人達,4,8777,2755450,535732918325.0,7613.0,634119233312.0,7158.0,548603804713.0,8618.0,8,10,10,7,6,7,6,6,60,48
74MCEJUW5,キンゼン,AWFDLJ1HC,小蓮花（重生版x,0,8778,2755208,,,,,,,2,3,1,4,1,2,3,2,18,13
YUJ4AAJ7G,かぃり,XHJLF3R8H,ゆったりプレイ,8,8779,2755100,263036898405.0,8101.0,353556150300.0,7558.0,479965057900.0,8678.0,10,10,10,10,10,10,10,10,80,60
6E9GJG777,DaKenKen,2VJG66JTH,まったり,4,8780,2755088,1134782509129.0,7013.0,611530196178.0,7182.0,2127916535193.0,7877.0,4,3,6,3,9,10,5,6,46,35
AKC093Z20,りんか,BW38LDPRF,蓮浦の星空,1,8781,2754475,462291280320.0,7721.0,521401971843.0,7302.0,751786657958.0,8474.0,7,7,7,6,7,2,6,2,44,36
8RP1J54FD,菊花亭,FHN78V2DJ,無言でどうぞ,4,8782,2754412,422683389769.0,7782.0,316893950274.0,7622.0,1468505446021.0,8093.0,7,8,6,6,3,5,1,2,38,35
781R7UUNE,にわか,BCJRMHE75,梢すきすきクラブ,2,8783,2753850,611824910682.0,7505.0,578509209308.0,7228.0,21696907457442.0,6472.0,8,8,8,7,8,4,7,8,58,43
U6JC4E2X7,イラデス。,NDGW77R2V,こず花帆尊い,0,8784,2753399,105905600197.0,8582.0,90260869332.0,8248.0,32071399642847.0,6188.0,10,10,10,8,9,9,2,7,65,56
BNYTD5GLJ,じょん,89K9Y7MX7,初心者歓迎,2,8785,2753174,282386972383.0,8055.0,339299603735.0,7580.0,122835094273612.0,4472.0,6,6,5,9,4,4,7,1,42,34
XEB9MWG8K,ゆーせー,RM7N1JDB5,無言推奨不干渉会,2,8786,2751975,42123426719.0,8912.0,53059481462.0,8469.0,1923228053473.0,7938.0,3,8,2,4,9,4,8,9,47,30
GVBPHDQ89,TAKA,CPWFKH8JM,私の部屋,2,8787,2751937,391367692293.0,7829.0,243949103318.0,7774.0,1201865707574.0,8209.0,5,9,7,6,8,4,7,9,55,39
BVGILPKLX,しかまろ,1XX6FWJRB,オートスキップ団,5,8788,2751871,,,,,,,4,10,8,10,10,8,8,10,68,50
TN8RW3SIF,ラブライブ！,M4B9VNG7R,蓮ノ空SIクラブ,4,8789,2751150,271885279673.0,8075.0,145392579428.0,8050.0,1027890711011.0,8302.0,1,9,8,7,8,5,7,8,53,38
9OL5GFZYN,たくみ,JY79RPB1D,リンクラゆる部,10,8790,2750524,,,,,,,7,8,7,8,8,6,7,9,60,44
13UK8JHJB,K.きくち,JRFM5DW6T,咲く蓮の花,8,8791,2749100,101994575406.0,8598.0,650356281638.0,7138.0,1029268190628.0,8299.0,10,10,10,10,10,10,10,10,80,60
BFERXX3NE,SE,YFADYJVW4,FPS好きクラブ,12,8792,2748659,,,,,,,2,10,7,7,9,4,7,8,54,39
M3BYX4MLR,はぴぴ,C021HVB2B,第3芸能科,0,8793,2747578,835829233452.0,7267.0,903993441687.0,6921.0,1527783142413.0,8065.0,6,6,7,7,5,1,5,7,44,32
1GYLKG7A1,なな,3L3TAA862,チーム用務員,0,8794,2746624,251879600682.0,8125.0,196549582719.0,7896.0,2165694905101.0,7862.0,6,6,7,6,8,4,9,6,52,37
9AKRX9C07,まろやか苺,WN3LHKX0L,レンコンおいしい,2,8795,2746525,297959282374.0,8012.0,148337321430.0,8041.0,220442535907.0,8976.0,3,9,8,4,9,5,5,8,51,38
Y6PLNY9Q9,あや,LHXNEF3D5,まるまるサークル,2,8796,2746087,,,,,,,5,3,3,3,1,2,1,1,19,17
6Y76XUG15,ケロキュア,8MTLYLH9F,木星月華黄金宮,12,8797,2745187,490590153095.0,7677.0,1370461311691.0,6630.0,1514549561681.0,8069.0,5,10,10,5,10,5,10,10,65,45
CPVU3C1HN,isikkoro,RNJ306W6N,日曜日よりの使者,2,8798,2745036,,,,,,,2,8,7,1,7,1,1,7,34,26
0R9N4DJ9T,かげなり,9TGLGHE4R,聖地になる前巡礼,1,8799,2745000,481909585804.0,7692.0,424655497342.0,7444.0,838823014686.0,8417.0,5,5,6,4,5,4,2,2,33,29
U815HVVK6,ひいろ,6D49YVAT7,ユニット愛で隊,5,8800,2744841,725055519333.0,7380.0,2199279977164.0,6310.0,12916586154872.0,6826.0,5,8,7,2,8,1,7,10,48,31
AM3DYQOEX,しろみど,E1HVJ71JR,ご自由にどうぞ,0,8801,2744400,960161960414.0,7143.0,486641205391.0,7349.0,933638671244.0,8353.0,3,4,2,2,1,1,4,1,18,13
P1UC335FE,えちご,5WUDLMWEP,蓮ノ空は明日ノ空,5,8802,2743850,256794095385.0,8114.0,573757289508.0,7231.0,1974546255876.0,7925.0,2,9,9,9,9,7,2,8,55,45
5WKVI7CO2,やよ壱,HBD61R6WC,梢先輩すきすき部,4,8803,2743787,,,,,,,2,7,6,8,10,8,8,9,58,41
0VFKZG71V,トリンスラン,9XNH0HDBN,蓮ノ空∞園芸部,0,8804,2743400,436625761712.0,7763.0,353699940585.0,7557.0,122280135075.0,9191.0,5,6,7,5,9,1,8,8,49,33
X02CAVAJH,ムカイ・リー,6C9R15BLY,スクスタ避難民,0,8805,2742893,197232945448.0,8258.0,387429148609.0,7494.0,222195916783.0,8975.0,6,10,9,4,7,4,7,7,54,40
TJIGPWLPR,Vanilla,8FR866PRY,蓮っ子みらくラブ,9,8806,2742600,619742427063.0,7493.0,215147518964.0,7846.0,704032730073.0,8505.0,8,10,10,9,10,8,9,10,74,55
DGU77C4F9,TANAKAja,GK7JNB0NW,参加賞取り隊,2,8807,2741850,500665276100.0,7666.0,301214257066.0,7655.0,738442037631.0,8481.0,4,10,10,6,6,5,6,7,54,41
P3RJDJGGY,アックア,KC1W74B9B,蓮六園,0,8808,2741338,1097643675130.0,7041.0,403665565598.0,7473.0,3161700777304.0,7642.0,9,9,2,1,4,1,7,10,43,26
YBCG8HRKA,hyrr,M0T3JUMGL,めぐ推し,9,8809,2740845,45470177138.0,8880.0,200811664150.0,7880.0,641188083520.0,8559.0,8,9,10,10,6,5,4,10,62,48
90PZ7LCO1,桜井,W2HEPMM2A,無言。ぼっち。,0,8810,2740187,260922416519.0,8106.0,272967384428.0,7711.0,3249496729605.0,7620.0,6,10,6,7,9,6,7,9,60,44
X6N1NFZ50,飲茶,H1LTYMK0B,花帆が可愛いの会,4,8811,2739950,364619131469.0,7866.0,248502462186.0,7763.0,1083882339387.0,8277.0,5,8,8,7,10,8,7,10,63,46
