player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,姬芽,吟子,小铃,慈,瑠璃乃,さやか,花帆,缀理,梢
JAG81QH05,151,826392941136054,たらみ,GXR6C85BT,花帆ちゃん親衛隊,10,10,10,10,10,9,10,10,9,10
8YL7FPM4D,152,826213790873945,小指,FK5MUK0ET,くる♡すきクラブ,15,10,10,10,10,10,10,10,10,10
B6XUHLVUZ,153,825581064051977,ればにら,RFYKY8DCD,LA.LA.LA,12,8,9,9,10,9,10,10,9,9
M8KSSVGQS,154,824223345511541,おばすこ,BKLW6CR5L,Mix鮭の空!!,14,10,10,10,10,10,10,10,10,10
DES39P1DL,155,823565168056823,せっちゃんex,YE7CX8RNP,能京カバディ部,8,6,6,10,7,10,10,10,9,10
V578L0R6J,156,822304710446277,mion,AXG81GPMP,蓮ノ空マタギ部,12,10,10,10,10,10,10,10,10,10
5K59F4UVE,157,820655435385504,ガチャ至上主義,MAJT0THVB,眩耀夜行,12,6,6,8,7,7,8,8,9,10
CCQ5QCTL1,158,820260386694411,琥珀,GMEF2K8DL,花咲く泥も好き²,13,7,9,8,10,9,10,9,10,10
OZHGPXIGS,159,820183002942005,まるごとみなみ,WN5B7VKPU,きんぴられんこん,9,8,9,7,9,8,9,10,10,10
YVGO9EHKS,160,819883066096183,やたペン,HBM31HMUY,YUKIZURI,6,10,9,10,10,9,9,10,10,10
1AZ5EJR7Z,161,819658043483311,Inahime,X7C21B7H7,泥,12,10,10,10,10,10,10,10,10,10
M13CTUF6N,162,818102643881043,ニール,49AMYCXCD,ルドベキア,14,10,10,10,10,10,10,10,10,10
12Y4UB4XJ,163,816250752830587,かぴたる,49AMYCXCD,ルドベキア,13,8,6,7,8,8,9,10,10,9
X777VD1EQ,164,815080602445629,まいん,49AMYCXCD,ルドベキア,9,10,10,10,10,10,10,10,10,10
91HY4FXBS,165,814574800923439,ももこ。,BKLW6CR5L,Mix鮭の空!!,12,8,8,8,10,9,10,10,10,10
AL804BYBX,166,814528315526567,はなぶさ,YE7CX8RNP,能京カバディ部,12,8,6,7,9,8,8,8,9,10
U0L572GGD,167,814461572604038,ガリィ,F2CFWVMY9,藤島め組,9,10,10,10,10,10,10,10,10,10
67GP30NUW,168,814426880893129,yuba,11FB0EDDT,スクステ同好会,8,10,10,8,10,10,8,10,10,10
NC9GIFJB0,169,813447456628217,だむ,FVJFA973A,蓮ノ空愛好会,14,10,10,10,10,9,9,8,8,10
KWNXKNY6X,170,813093120663058,応愛こず,49AMYCXCD,ルドベキア,15,9,9,10,9,10,8,8,9,10
V7YLMH2IY,171,812991651145696,黎 獄,BKLW6CR5L,Mix鮭の空!!,13,9,9,10,10,8,8,9,10,10
MTS3N3QJK,172,810247920364016,rifotaku,D5A2EEG7F,わたくしは大丈部,15,9,9,9,10,10,10,10,10,10
9NMP2LJU2,173,806059194949566,くぼっち,EYN9H9N16,蓮すきすきクラブ,14,10,10,10,10,10,10,10,10,10
62NPMRQF6,174,805803589386061,ふく,EYN9H9N16,蓮すきすきクラブ,8,8,9,9,10,7,8,10,10,10
CH6EH94XB,175,805798148549086,ばやしこーと,VW65MCVF8,スリスリーズ,14,9,9,9,9,10,10,9,10,10
LKY79HKFR,176,804516949644504,決意のハロめぐ,FVJFA973A,蓮ノ空愛好会,5,8,8,7,10,8,7,8,9,9
