player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,结算前A分数,结算前A rank,结算前B分数,结算前B rank,结算前C分数,结算前C rank,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级,104季度等级
JAG81QH05,たらみ,GXR6C85BT,花帆ちゃん親衛隊,10,123,14570000,3.44027E+14,224,3.00475E+14,127,4.45567E+14,93,10,10,10,10,10,9,9,10,78,59
Z4TLWEM1D,ちびこま,YE7CX8RNP,蓮ノ大三十角ex,12,124,14565000,3.81412E+14,107,2.39525E+14,299,4.40733E+14,104,10,9,10,10,9,10,5,9,72,58
3Q65ASSTC,ほうがく,YE7CX8RNP,蓮ノ大三十角ex,15,125,14561000,4.00016E+14,59,1.90038E+14,546,5.15844E+14,29,10,10,10,10,10,9,10,10,79,59
1FREY7CCF,ぱむぱむ,HE0GK3EPE,瑞蓮プロカ倶楽部,15,126,14558000,3.85718E+14,96,3.31819E+14,76,4.10239E+14,157,9,10,9,9,9,9,10,10,75,55
KWNXKNY6X,応愛果林,49AMYCXCD,ルドベキア,15,127,14553000,3.88906E+14,87,3.15136E+14,104,4.15721E+14,147,10,10,9,9,10,9,7,10,74,57
EMFP5HG3T,さりっく,GXR6C85BT,花帆ちゃん親衛隊,15,128,14552000,3.70661E+14,134,3.00709E+14,125,4.41436E+14,103,10,10,10,9,10,9,8,10,76,58
AKMY82517,いずのあいさん,VW65MCVF8,スリスリーズ,15,129,14515000,3.92359E+14,79,3.57415E+14,49,2.37161E+14,1052,10,10,10,10,9,2,10,10,71,51
56DXP4XGM,aki_,0UT59MJ8U,かほすこ同好会,9,130,14510000,0,0,3.20629E+14,93,3.06455E+14,539,10,10,10,10,10,10,10,10,80,60
45NY6HUBX,かいこ,25PMPEMG7,星見プロ,14,131,14496000,3.78646E+14,112,2.9284E+14,150,3.97713E+14,184,10,10,10,10,10,10,9,10,79,60
JLADG5GPX,うぇすとれ,PBRDPWEY1,村村会,15,132,14478000,3.83671E+14,99,3.05764E+14,117,4.02907E+14,173,10,10,10,10,10,10,10,10,80,60
DEVDG82YE,ジョーくん,11FB0EDDT,スクステ同好会,9,133,14462000,3.52719E+14,193,3.26861E+14,87,3.98377E+14,180,10,10,10,10,10,10,10,10,80,60
FCED0MOWI,つかべん,RWARTHA1M,乙宗梢大好き部,15,134,14458000,3.4759E+14,214,2.96198E+14,140,4.41966E+14,100,10,10,10,10,10,10,10,10,80,60
WK70A6MEG,こへい,N7GLY2RUW,百生銀行,15,135,14457000,3.62406E+14,163,3.09093E+14,109,4.11783E+14,153,10,10,10,10,10,10,10,10,80,60
W51RD80OU,赤飯のごま塩,49AMYCXCD,ルドベキア,15,136,14456000,3.88668E+14,88,3.27787E+14,84,4.20641E+14,138,10,10,10,10,10,10,10,10,80,60
KN3FIHXL7,トミィ,RFYKY8DCD,LA.LA.LA,10,137,14454000,3.71163E+14,132,3.12958E+14,105,3.82033E+14,224,10,10,10,10,10,10,10,10,80,60
7L6LDY5MT,handaeun,YE7CX8RNP,蓮ノ大三十角ex,15,138,14437000,3.40044E+14,239,3.17156E+14,98,3.97627E+14,185,10,10,10,10,10,10,10,10,80,60
ZWGHFBK3S,DSsuzu,YCTM6RYDP,金沢おでん同好会,15,138,14437000,3.50454E+14,199,3.26157E+14,88,4.19384E+14,142,10,10,9,10,10,9,8,10,76,58
K4IYCBPH8,ふるさと,B2KV0EVPD,蓮ちゅきクラブ,2,140,14420000,3.5241E+14,195,2.8588E+14,168,4.30432E+14,123,9,10,10,8,10,8,8,10,73,55
4NF07ZA7K,ゆーさく,VW65MCVF8,スリスリーズ,15,141,14418000,3.9982E+14,60,2.88535E+14,161,4.21215E+14,137,10,10,10,10,10,10,10,10,80,60
85NX5JDGB,いろはす,GKR9TEBYC,毎日がホリデイ♪,15,142,14413000,3.78661E+14,111,3.33237E+14,75,3.68565E+14,266,10,10,10,10,10,10,10,10,80,60
NXLLUPEY0,ゆ〜いん,R181MKNX1,みらくらは人生！,12,142,14413000,3.63107E+14,160,2.75484E+14,189,3.98868E+14,178,10,10,10,10,10,10,10,10,80,60
LEEU9JZFJ,きりんちゃん,RWARTHA1M,乙宗梢大好き部,15,144,14411000,3.90775E+14,81,2.29175E+14,352,4.46716E+14,91,7,10,10,10,10,10,6,10,73,57
4YTEQDE04,まんまる,B2KV0EVPD,蓮ちゅきクラブ,15,145,14409000,3.22461E+14,318,2.66813E+14,210,3.67683E+14,269,9,10,10,10,10,9,10,10,78,58
H4VR0D1DV,そー,WN5B7VKPU,きんぴられんこん,11,146,14402000,3.77215E+14,116,2.94705E+14,144,4.44403E+14,97,9,10,9,9,10,9,9,10,75,56
4F1HIHA3J,きびだんごうどん,11FB0EDDT,スクステ同好会,15,147,14398000,3.63657E+14,156,2.95492E+14,142,4.69663E+14,63,10,10,10,10,10,10,10,10,80,60
84CN09DR5,むすび,0TKFF5EG3,サークル名募集中,14,147,14398000,3.46836E+14,217,2.98357E+14,133,4.28486E+14,126,9,10,10,10,9,10,6,10,74,58
