player_id,player_name,search_guild_key,guild_name,DR数量,rank,point, 结算前A分数 , 结算前A rank , 结算前B分数 , 结算前B rank , 结算前C分数 , 结算前C rank ,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
0R6JF8Y94,ししゃーも,0TKFF5EG3,サークル名募集中,14,43,16135000," 630,531,299,529,398 ", 23 ," 475,823,460,599,763 ", 95 ," 500,655,332,334,689 ", 40 ,10,10,10,10,10,10,10,10,80
MEGKKH1W5,75,HE0GK3EPE,瑞蓮プロカ倶楽部,16,45,16080000," 622,115,507,147,273 ", 70 ," 480,107,911,153,999 ", 82 ," 500,627,855,148,281 ", 41 ,10,10,10,10,10,10,10,10,80
4W6BIX284,リリィ♡,FK5MUK0ET,こな♡すきクラブ,16,46,16052000," 627,282,676,137,982 ", 40 ," 469,699,599,724,481 ", 119 ," 489,706,609,581,735 ", 96 ,10,10,10,10,10,10,10,10,80
L6HBG7C3L,あまらく@,0TKFF5EG3,サークル名募集中,16,47,16025000," 628,628,524,208,068 ", 34 ," 484,137,081,002,997 ", 66 ," 501,554,149,909,271 ", 37 ,10,10,10,10,10,10,10,10,80
M6J593C9W,うらかつ,0TKFF5EG3,サークル名募集中,16,48,16020000," 623,303,745,180,162 ", 59 ," 491,030,157,196,444 ", 44 ," 497,354,564,018,560 ", 59 ,10,10,10,10,10,10,10,10,80
U7NEBV4KH,こーど,49AMYCXCD,ルドベキア,16,49,15975000," 615,590,174,584,373 ", 116 ," 498,077,308,582,497 ", 20 ," 506,624,898,773,970 ", 18 ,10,10,10,10,10,10,10,10,80
L6A36K16J,なりり♪♪♪♪♪,FK5MUK0ET,こな♡すきクラブ,16,50,15949000," 623,077,972,841,313 ", 62 ," 472,252,579,591,352 ", 107 ," 492,606,903,204,132 ", 77 ,10,10,10,10,10,10,10,10,80
L5FWMMCWN,FEEL,,,9,51,15894000," 616,196,439,875,356 ", 112 ," 489,991,041,359,437 ", 49 ," 503,904,406,831,116 ", 29 ,10,10,10,10,10,10,10,10,80
AKMY82517,いずのあい,VW65MCVF8,スリスリーズ,16,52,15883000," 625,097,025,663,996 ", 49 ," 483,129,614,447,964 ", 70 ," 493,682,564,044,029 ", 73 ,10,10,10,10,10,10,10,10,80
IEBYCC1D7,わらび餅,RFYKY8DCD,LA.LA.LA,14,53,15842000," 614,050,981,281,438 ", 124 ," 492,730,840,608,773 ", 39 ," 503,101,818,957,545 ", 31 ,10,10,10,10,10,10,10,10,80
FSHR5FP4W,Kian,KT4C59NXG,めぐ島,16,54,15840000," 619,011,895,717,713 ", 91 ," 485,042,167,506,294 ", 64 ," 494,420,936,095,462 ", 70 ,10,10,10,10,10,10,10,10,80
JRXUOPXXN,ぐんま,49AMYCXCD,ルドベキア,15,55,15820000," 630,926,727,037,524 ", 20 ," 486,349,508,469,537 ", 56 ," 496,248,713,375,483 ", 62 ,10,10,10,10,10,10,10,10,80
ALF76WC94,あにょつき,11FB0EDDT,スクステ同好会,15,56,15813000," 615,815,977,713,658 ", 113 ," 484,514,606,511,582 ", 65 ," 496,361,931,560,434 ", 61 ,10,10,10,10,10,10,10,10,80
42J4J5OSG,ハラシヨ,W26TRPM1R,めぐ党藤島派,16,57,15747000," 627,604,768,496,722 ", 38 ," 440,277,205,725,829 ", 258 ," 506,023,772,781,500 ", 24 ,10,10,10,10,10,10,10,10,80
L0HOC7EEE,子犬,YE7CX8RNP,蓮ノ大三十角ex,5,58,15730000," 614,432,469,243,403 ", 121 ," 485,290,889,334,286 ", 62 ," 490,283,363,257,030 ", 93 ,10,10,10,10,10,10,10,10,80
LDLTRQ88V,しらたま,YCTM6RYDP,金沢おでん同好会,16,59,15718000," 623,124,746,038,594 ", 60 ," 497,282,524,180,697 ", 26 ," 490,546,383,629,589 ", 92 ,10,10,10,10,10,10,10,10,80
1P6AUGHX2,もじゃもじゃ,RWARTHA1M,乙宗梢大好き部,15,60,15695000," 623,035,364,810,606 ", 63 ," 468,435,966,456,520 ", 126 ," 492,113,946,854,225 ", 80 ,10,10,10,10,10,10,10,10,80
CS46LXDBO,ひらひら,RFYKY8DCD,LA.LA.LA,14,61,15665000," 625,294,421,365,810 ", 48 ," 481,897,089,911,775 ", 76 ," 497,979,895,828,700 ", 56 ,10,10,10,10,10,10,10,10,80
1Y0XFNNDJ,シヅ,EYN9H9N16,蓮すきすきクラブ,15,62,15663000," 626,283,672,329,408 ", 43 ," 493,309,623,489,286 ", 37 ," 501,586,457,735,811 ", 36 ,10,10,10,10,10,10,10,10,80
4KFUM6ADN,ねくすと,M5LHG6R4T,乙宗動物園,16,63,15661000," 565,483,844,971,603 ", 401 ," 489,815,274,892,075 ", 50 ," 508,133,961,589,853 ", 12 ,10,10,10,10,10,10,10,10,80
XB2VHAJYV,まさお,GMEF2K8DL,花咲く泥も好き²,9,64,15655000," 626,629,152,105,935 ", 42 ," 481,526,500,865,037 ", 78 ," 492,278,424,122,157 ", 79 ,10,10,10,10,10,10,10,10,80
W4E0R6NA9,そらをとぶ,0TKFF5EG3,サークル名募集中,16,65,15635000," 620,870,657,130,635 ", 79 ," 490,106,232,860,788 ", 48 ," 498,117,776,899,714 ", 53 ,10,10,10,10,10,10,10,10,80
4YTEQDE04,まんまる,EYN9H9N16,蓮すきすきクラブ,15,66,15581000," 612,582,605,548,774 ", 134 ," 471,043,831,896,325 ", 112 ," 490,637,586,874,269 ", 91 ,10,10,10,10,10,10,10,10,80
KBI8MUTYD,まけれれ,EYN9H9N16,蓮すきすきクラブ,15,67,15537000," 617,849,663,398,178 ", 100 ," 462,005,656,916,065 ", 159 ," 499,869,443,546,869 ", 45 ,10,10,10,10,10,10,10,10,80
UA5OC8495,zth,M5LHG6R4T,乙宗動物園,16,68,15526000," 620,826,987,540,047 ", 81 ," 416,587,390,766,742 ", 389 ," 480,825,614,946,962 ", 143 ,10,10,10,10,10,10,10,10,80
W0WYHMBR4,リョータ,49AMYCXCD,ルドベキア,15,69,15525000," 623,081,780,291,650 ", 61 ," 478,345,705,302,692 ", 86 ," 489,871,612,692,256 ", 95 ,10,10,10,10,10,10,10,10,80
CL0CDYUYY,ふくやま,PBRDPWEY1,村村会,16,70,15501000," 626,137,098,184,048 ", 44 ," 479,807,563,670,042 ", 83 ," 482,383,613,568,156 ", 132 ,10,10,10,10,10,10,10,10,80
7XT268BWG,夏はこずめぐ,EYN9H9N16,蓮すきすきクラブ,16,71,15489000," 617,831,611,102,436 ", 102 ," 487,546,936,238,092 ", 53 ," 499,804,143,730,879 ", 47 ,10,10,10,10,10,10,10,10,80
NXLLUPEY0,ゆ〜いん,R181MKNX1,みらくらは人生！,15,72,15418000," 624,596,562,408,436 ", 52 ," 461,026,885,393,529 ", 168 ," 495,672,303,159,717 ", 64 ,10,10,10,10,10,10,10,10,80
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,16,73,15376000," 629,685,992,583,899 ", 29 ," 461,212,929,902,536 ", 166 ," 473,506,995,497,114 ", 194 ,10,10,10,10,10,10,10,10,80
JLADG5GPX,うぇすとれ,PBRDPWEY1,村村会,16,74,15309000," 622,845,454,788,599 ", 65 ," 491,372,076,893,914 ", 41 ," 491,946,938,060,381 ", 83 ,10,10,10,10,10,10,10,10,80
P4ZNDWHDA,どんき,GXR6C85BT,花帆ちゃん親衛隊,16,75,15275000," 619,294,920,073,945 ", 89 ," 481,753,083,101,146 ", 77 ," 498,007,259,908,113 ", 55 ,10,10,10,10,10,10,10,10,80
N6KDBV2A2,ハンバーグ,7R8NKPAB1,花帆推し倶楽部,16,75,15275000," 610,653,664,154,409 ", 146 ," 475,347,097,549,660 ", 99 ," 490,701,782,291,272 ", 90 ,10,10,10,10,10,10,10,10,80
8Q0P3A5Y5,よしお,CM5THHYHB,「」ノ空だけれど,16,77,15225000," 635,238,502,464,529 ", 8 ," 459,443,401,806,703 ", 174 ," 482,655,322,991,217 ", 130 ,10,10,10,10,10,10,10,10,80
DEVDG82YE,ジョーくん,11FB0EDDT,スクステ同好会,10,78,15201000," 606,201,221,881,036 ", 166 , - , - ," 481,676,809,002,975 ", 137 ,10,10,10,10,10,10,10,10,80
71CYB5LAJ,梓弓,YE7CX8RNP,蓮ノ大三十角ex,15,79,15184000," 633,612,476,804,039 ", 13 ," 445,347,463,260,083 ", 235 ," 486,265,122,533,522 ", 112 ,10,10,10,10,10,10,10,10,80
C7IMXOP79,ナーガ,RWARTHA1M,乙宗梢大好き部,6,80,15176000," 622,642,638,286,941 ", 68 ," 485,405,349,715,211 ", 61 ," 497,372,658,615,422 ", 58 ,10,10,10,10,10,10,10,10,80
AL804BYBX,はなぶさ,YE7CX8RNP,蓮ノ大三十角ex,16,81,15172000," 617,855,325,816,382 ", 99 ," 471,840,034,093,979 ", 110 ," 492,920,685,155,584 ", 76 ,10,10,10,10,10,10,10,10,80
KN3FIHXL7,トミィ,RFYKY8DCD,LA.LA.LA,14,82,15158000," 618,785,224,202,735 ", 93 ," 491,173,358,012,322 ", 42 ," 483,180,094,573,399 ", 127 ,10,10,10,10,10,10,10,10,80
CW1FRNLB8,kazu,B5V2LNN43,WMW,16,83,15153000," 618,641,500,845,748 ", 94 ," 460,523,148,256,417 ", 170 ," 484,001,561,448,224 ", 124 ,10,10,10,10,10,10,10,10,80
76L1SWWX0,カプ・デカホ,GXR6C85BT,花帆ちゃん親衛隊,16,84,15141000," 614,752,048,952,822 ", 120 ," 486,087,139,722,595 ", 57 ," 495,043,817,853,826 ", 67 ,10,10,10,10,10,10,10,10,80
7L6LDY5MT,handaeun,YE7CX8RNP,蓮ノ大三十角ex,16,85,15128000," 608,596,025,004,586 ", 153 ," 485,600,788,962,382 ", 60 ," 482,172,887,013,955 ", 133 ,9,10,10,10,10,10,10,10,79
QUQRGUWJL,にしおり,49AMYCXCD,ルドベキア,16,86,15121000," 595,597,384,893,911 ", 226 ," 485,769,241,367,964 ", 58 ," 486,225,168,806,666 ", 113 ,10,10,10,10,10,10,10,10,80
